"pathway","description","functional_category","t","p","FDR","mcra_asv_contrib","mean_counts_per_million","shown_in_panel_c"
"PWY-5896","superpathway of menaquinol-10 biosynthesis","Aerobic respiration",-1.85470720195547,0.0622138149983392,0.110103710538912,0.0121656535572753,1351.82138640887,FALSE
"PWY-5862","superpathway of demethylmenaquinol-9 biosynthesis","Aerobic respiration",-2.10923192521585,0.0340794503698756,0.0749747908137262,0.0126046229755852,1021.99347877357,FALSE
"PWY-7254","TCA cycle VII (acetate-producers)","Aerobic respiration",-2.31726261988448,0.0201539851445891,0.050323140821152,0.0223007925281951,2860.64028383074,FALSE
"PWY-5845","superpathway of menaquinol-9 biosynthesis","Aerobic respiration",-2.35178617687762,0.0183104894370092,0.0462810842983223,0.012629386074585,1409.30603179015,FALSE
"UBISYN-PWY","superpathway of ubiquinol-8 biosynthesis (prokaryotic)","Aerobic respiration",-3.04872107077353,0.0023588207365426,0.00905698150729091,0.00581075021745197,2221.64907616379,FALSE
"REDCITCYC","TCA cycle VIII (helicobacter)","Aerobic respiration",-3.0919122579736,0.00203816574183745,0.00797628323969079,0.0279510193488336,4651.73959942928,FALSE
"PWY-5855","ubiquinol-7 biosynthesis (prokaryotic)","Aerobic respiration",-3.11293131853306,0.00192001710344867,0.00781446961103609,0.00547761180633742,2285.46635127401,FALSE
"PWY-5856","ubiquinol-9 biosynthesis (prokaryotic)","Aerobic respiration",-3.11293131853306,0.00192001710344867,0.00781446961103609,0.00547761180633742,2285.46635127401,FALSE
"PWY-5857","ubiquinol-10 biosynthesis (prokaryotic)","Aerobic respiration",-3.11293131853306,0.00192001710344867,0.00781446961103609,0.00547761180633742,2285.46635127401,FALSE
"PWY-6708","ubiquinol-8 biosynthesis (prokaryotic)","Aerobic respiration",-3.11293131853306,0.00192001710344867,0.00781446961103609,0.00547761180633742,2285.46635127401,FALSE
"TCA-GLYOX-BYPASS","superpathway of glyoxylate bypass and TCA","Aerobic respiration",-3.1509889912895,0.0016972727626309,0.00727147383569237,0.0192717937665637,3633.21365167527,FALSE
"PWY-5705","allantoin degradation to glyoxylate III","Aerobic respiration",-3.38255694630557,0.000781096057509778,0.00412865058969454,0,898.877610283616,FALSE
"PWY-5913","TCA cycle VI (obligate autotrophs)","Aerobic respiration",-3.41576124227727,0.00068351988233918,0.00370923456149395,0.0235958864395962,5637.81100517209,FALSE
"GLYOXYLATE-BYPASS","glyoxylate cycle","Aerobic respiration",-3.4371370623114,0.000649626117279344,0.00357294364503639,0.0180548077677931,3443.97646142898,FALSE
"PWY-3781","aerobic respiration I (cytochrome c)","Aerobic respiration",-3.91364987006091,0.000105536735197997,0.000715890853759744,0.00539673910631246,14902.1420884353,TRUE
"TCA","TCA cycle I (prokaryotic)","Aerobic respiration",-3.94578598432427,9.33910093105728e-05,0.000655347254989709,0.0247746800362584,6195.60645285267,TRUE
"PWY-6969","TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)","Aerobic respiration",-4.2146730760696,3.14091112046491e-05,0.000241198269062116,0.0318902401000881,6271.85615490981,TRUE
"P105-PWY","TCA cycle IV (2-oxoglutarate decarboxylase)","Aerobic respiration",-6.28560882359174,1.54157909931217e-09,3.69072172600031e-08,0.013749713174001,5125.48603338667,TRUE
"PWY-7286","7-(3-amino-3-carboxypropyl)-wyosine biosynthesis","Archaeal / methanogenesis (excluded: circular)",20.5741144541208,6.13261624317147e-51,2.49597481097079e-48,0.474375637266324,94.3439683354006,FALSE
"PWY-6654","phosphopantothenate biosynthesis III","Archaeal / methanogenesis (excluded: circular)",17.6845247409784,1.22385463300831e-42,2.49054417817191e-40,0.309197587286643,144.699530419598,FALSE
"PWY-6148","tetrahydromethanopterin biosynthesis","Archaeal / methanogenesis (excluded: circular)",17.5062670031817,3.93881000276394e-42,5.34365223708308e-40,0.329678005139151,85.9329883013341,FALSE
"PWY-6174","mevalonate pathway II (archaea)","Archaeal / methanogenesis (excluded: circular)",16.0827032376447,7.08785270568516e-38,7.21189012803465e-36,0.466230139315019,111.184860348469,FALSE
"PWY-6167","flavin biosynthesis II (archaea)","Archaeal / methanogenesis (excluded: circular)",15.642702805282,1.43318162278084e-36,1.1666098409436e-34,0.381050405429449,153.504631854945,FALSE
"PWY-6141","archaetidylserine and archaetidylethanolamine biosynthesis","Archaeal / methanogenesis (excluded: circular)",14.4598192422894,5.51053410297715e-33,3.7379789665195e-31,0.948406533908323,7.22752550503872,FALSE
"METH-ACETATE-PWY","methanogenesis from acetate","Archaeal / methanogenesis (excluded: circular)",14.1883705745666,3.91149853194133e-32,2.2742570035716e-30,0.178153823490634,274.903240420123,FALSE
"PWY-6349","CDP-archaeol biosynthesis","Archaeal / methanogenesis (excluded: circular)",8.89583867628704,2.32078257813004e-16,9.88361339423155e-15,0.902076398198301,15.9809955901017,FALSE
"P261-PWY","coenzyme M biosynthesis I","Archaeal / methanogenesis (excluded: circular)",8.88995292464059,2.42840623936893e-16,9.88361339423155e-15,0.700878862400961,50.1146641782559,FALSE
"PWY-6350","archaetidylinositol biosynthesis","Archaeal / methanogenesis (excluded: circular)",8.66169133648494,1.04293139797202e-15,3.85884617249647e-14,0.918627300721535,13.2004182084278,FALSE
"P241-PWY","coenzyme B biosynthesis","Archaeal / methanogenesis (excluded: circular)",7.27036041250123,5.61999495093098e-12,1.75949072694531e-10,0.883464337331699,19.5004815003529,FALSE
"PWY-7391","isoprene biosynthesis II (engineered)","Archaeal / methanogenesis (excluded: circular)",5.36850523210107,1.68246928923207e-07,3.26078571770214e-06,0.23806195747493,52.9080845700114,FALSE
"PWY-7400","L-arginine biosynthesis IV (archaebacteria)","Archaeal / methanogenesis (excluded: circular)",3.82076912351665,0.000157611169922893,0.00101821819299392,0.0326731934072674,5517.19206947394,FALSE
"PWY-6165","chorismate biosynthesis II (archaea)","Archaeal / methanogenesis (excluded: circular)",2.77294770098392,0.00554944541177419,0.0177844431700165,0.162954447315193,53.2266981614519,FALSE
"METHANOGENESIS-PWY","methanogenesis from H2 and CO2","Archaeal / methanogenesis (excluded: circular)",2.59993951823509,0.00946591177525564,0.02656983512089,0.922175386911527,15.4105530420508,FALSE
"PWY-5532","adenosine nucleotides degradation IV","Archaeal / methanogenesis (excluded: circular)",1.95147990018204,0.0523701842202106,0.10247435085397,0.80047430308944,10.5787916344859,FALSE
"PWY-5198","factor 420 biosynthesis","Archaeal / methanogenesis (excluded: circular)",-1.10214073454101,0.266278164937947,0.356453583527718,0.324505718787743,353.780536582554,FALSE
"PWY-1861","formaldehyde assimilation II (RuMP Cycle)","C1 / carbon fixation",11.525807042407,4.70893614575095e-24,2.3956712641508e-22,0.0997986720873928,969.473497785359,TRUE
"CODH-PWY","reductive acetyl coenzyme A pathway","C1 / carbon fixation",7.60424517329146,7.54980113970698e-13,2.56064088655062e-11,0.0375354791519257,167.261544970654,TRUE
"CALVIN-PWY","Calvin-Benson-Bassham cycle","C1 / carbon fixation",6.04974921695872,5.52828796259563e-09,1.18421747409285e-07,0.0262698078997144,5825.06863383562,TRUE
"RUMP-PWY","formaldehyde oxidation I","C1 / carbon fixation",5.90868167781389,1.08774914584006e-08,2.21356951178453e-07,0.114272948306179,642.863223727672,FALSE
"PWY-1622","formaldehyde assimilation I (serine pathway)","C1 / carbon fixation",-1.21864544330177,0.21899833435715,0.310867636998117,0.00795089956263275,519.588210349024,FALSE
"PWY-5088","L-glutamate degradation VIII (to propanoate)","Fermentation / carbohydrate",6.27829195298723,1.52117377780487e-09,3.69072172600031e-08,0.0959746842174097,61.3635438829519,TRUE
"PWY-7456","mannan degradation","Fermentation / carbohydrate",4.39919916887026,1.49709518374463e-05,0.000138481304496379,0.0595774924241049,498.691654700456,TRUE
"ANAEROFRUCAT-PWY","homolactic fermentation","Fermentation / carbohydrate",4.30955399391421,2.1205243863046e-05,0.00017110402068551,0.0221272786999006,4757.23397207231,TRUE
"ANAGLYCOLYSIS-PWY","glycolysis III (from glucose)","Fermentation / carbohydrate",3.40310342830822,0.000732700682580625,0.00392380497118835,0.0163794963411356,5890.80254723654,TRUE
"GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)","Fermentation / carbohydrate",3.20212048986265,0.00146227564545414,0.00661273541888703,0.0240562533619218,5544.85384723404,FALSE
"GLYCOCAT-PWY","glycogen degradation I (bacterial)","Fermentation / carbohydrate",3.0392978525606,0.00243770542035467,0.00927239351480702,0.00884775035603301,4058.98971027767,FALSE
"PWY-5484","glycolysis II (from fructose 6-phosphate)","Fermentation / carbohydrate",2.95867411046752,0.00321389147495439,0.0118054096930838,0.0250333652975309,5235.98257235443,FALSE
"P162-PWY","L-glutamate degradation V (via hydroxyglutarate)","Fermentation / carbohydrate",2.91803395875955,0.00355111959540735,0.0127903157108919,0.0257882964446522,216.058480915836,FALSE
"P341-PWY","glycolysis V (Pyrococcus)","Fermentation / carbohydrate",2.38229201066078,0.0177192146020195,0.0453567317171191,0.0457145244044673,7.77777347734165,FALSE
"GLYCOLYSIS-E-D","superpathway of glycolysis and Entner-Doudoroff","Fermentation / carbohydrate",2.30759423193837,0.0205675231260688,0.0507332237109697,0.0193524518999118,4462.84462139213,FALSE
"PWY-6737","starch degradation V","Fermentation / carbohydrate",2.29540334793125,0.0215895672467471,0.0526164902360843,0.0164860097558288,3965.87672510875,FALSE
"GLYCOGENSYNTH-PWY","glycogen biosynthesis I (from ADP-D-Glucose)","Fermentation / carbohydrate",1.93962475978482,0.0514325146169701,0.101632482435675,0.0146520052796141,3982.66508459902,FALSE
"PWY-5100","pyruvate fermentation to acetate and lactate II","Fermentation / carbohydrate",1.93821098831495,0.0515775673431802,0.101632482435675,0.0550441548928624,2745.50832623942,FALSE
"PWY-6590","superpathway of Clostridium acetobutylicum acidogenic fermentation","Fermentation / carbohydrate",1.09519368776341,0.269977322459043,0.359087484447159,0.0493936972889097,348.911317062143,FALSE
"P122-PWY","heterolactic fermentation","Fermentation / carbohydrate",0.996467398800108,0.31686509456241,0.40427615513135,0.00730601455406198,1994.21004573957,FALSE
"CENTFERM-PWY","pyruvate fermentation to butanoate","Fermentation / carbohydrate",0.458533780226132,0.643802237751611,0.713971418977944,0.0666609037466384,296.060999783672,FALSE
"PWY-5677","succinate fermentation to butanoate","Fermentation / carbohydrate",0.360784895101145,0.716320207944771,0.772551618208439,0,174.217990463217,FALSE
"PWY-6641","superpathway of sulfolactate degradation","Fermentation / carbohydrate",-0.0290436726696931,0.976892042480616,0.976892042480616,0.0548345899341307,69.9650150667025,FALSE
"PWY-6588","pyruvate fermentation to acetone","Fermentation / carbohydrate",-0.320875512093202,0.745758623969786,0.796650288597646,0.0608652309476291,1199.48397118825,FALSE
"FERMENTATION-PWY","mixed acid fermentation","Fermentation / carbohydrate",-0.557144684534343,0.573806368722922,0.646922969723627,0.014815131283548,4726.81037190033,FALSE
"PWY-5743","3-hydroxypropanoate cycle","Fermentation / carbohydrate",-0.606149400178919,0.543242402628768,0.619326772744842,0,12.3695900690941,FALSE
"P163-PWY","L-lysine fermentation to acetate and butanoate","Fermentation / carbohydrate",-0.697925937638136,0.487122648177697,0.564840221676133,0.00761840778487889,201.854768453101,FALSE
"PWY-7024","superpathway of the 3-hydroxypropanoate cycle","Fermentation / carbohydrate",-0.755821269380981,0.451852701080821,0.528459911896248,0,14.2571246324126,FALSE
"PWY-7446","sulfoglycolysis","Fermentation / carbohydrate",-0.892538933377586,0.367996874753743,0.4511286988698,0,68.6742274651332,FALSE
"GLCMANNANAUT-PWY","superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation","Fermentation / carbohydrate",-0.895126042962141,0.366446707796266,0.4511286988698,0,721.707192726742,FALSE
"PWY-5676","acetyl-CoA fermentation to butanoate II","Fermentation / carbohydrate",-0.915670533572661,0.35577836353639,0.442818941771593,0.00852029303086597,1521.75164022841,FALSE
"PWY-622","starch biosynthesis","Fermentation / carbohydrate",-0.947756119553817,0.339103498504246,0.428618397177727,0.00284604127151436,21.3135019004522,FALSE
"PWY-7111","pyruvate fermentation to isobutanol (engineered)","Fermentation / carbohydrate",-1.02234995652663,0.302671340039869,0.388603266234154,0.0205612748540693,10288.1108824551,FALSE
"PWY-6731","starch degradation III","Fermentation / carbohydrate",-1.14293214548691,0.254945011402349,0.344726311098858,0.00234657687239119,24.7706871621829,FALSE
"PWY-5941","glycogen degradation II (eukaryotic)","Fermentation / carbohydrate",-1.53574396831363,0.121825252141325,0.192929484908636,0.00359572938352014,1018.19872338611,FALSE
"P461-PWY","hexitol fermentation to lactate, formate, ethanol and acetate","Fermentation / carbohydrate",-1.59263912029625,0.10887843718837,0.175509693254219,0.00756386481081591,926.325191384394,FALSE
"PWY0-1277","3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation","Fermentation / carbohydrate",-1.88098974998975,0.0585992818781102,0.10940324644216,0,544.844676881776,FALSE
"P108-PWY","pyruvate fermentation to propanoate I","Fermentation / carbohydrate",-1.89484206487977,0.0567744017591992,0.107475262865089,0.0146597145305227,3337.3058806469,FALSE
"PWY-5022","4-aminobutanoate degradation V","Fermentation / carbohydrate",-1.92242052380975,0.0535113191060131,0.103710032743559,3.98353020470369e-05,1709.29723413892,FALSE
"HCAMHPDEG-PWY","3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate","Fermentation / carbohydrate",-1.93577303617735,0.0516902306245325,0.101632482435675,0,312.846615751112,FALSE
"ARGDEG-PWY","superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation","Fermentation / carbohydrate",-1.97973956128996,0.0479713866208406,0.0966552195776343,0.0103006299433231,561.234900954167,FALSE
"GLYCOLYSIS-TCA-GLYOX-BYPASS","superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass","Fermentation / carbohydrate",-2.5438659965139,0.010969329202102,0.02976344656837,0.0200202229282895,4037.88553608247,FALSE
"P281-PWY","3-phenylpropanoate degradation","Fermentation / carbohydrate",-2.73964286287666,0.00611602328106993,0.0190016906518738,0,554.924957212846,FALSE
"PHOSLIPSYN-PWY","superpathway of phospholipid biosynthesis I (bacteria)","Lipid / fatty-acid biosynthesis (not displayed)",1.80230154497177,0.0707638731650466,0.12308075375288,0.00607926904146754,6500.78252810561,FALSE
"KDO-NAGLIPASYN-PWY","superpathway of (Kdo)2-lipid A biosynthesis","Lipid / fatty-acid biosynthesis (not displayed)",-2.05149616400672,0.0402589022662892,0.0860097214500573,0,1056.79021532065,FALSE
"PWY-7094","fatty acid salvage","Lipid / fatty-acid biosynthesis (not displayed)",-2.58380966450635,0.00980475760102699,0.0269630834028242,0.00144574525122734,6209.91900717736,FALSE
"FAO-PWY","fatty acid &beta;-oxidation I","Lipid / fatty-acid biosynthesis (not displayed)",-2.59059197750688,0.00961727538239668,0.0268098019221606,0.00196356422401299,5477.33617610334,FALSE
"NAGLIPASYN-PWY","lipid IVA biosynthesis","Lipid / fatty-acid biosynthesis (not displayed)",-2.89807017658642,0.00377024077022151,0.0134604209954399,0,2159.46011590418,FALSE
"FASYN-INITIAL-PWY","superpathway of fatty acid biosynthesis initiation (E. coli)","Lipid / fatty-acid biosynthesis (not displayed)",-2.94154746132692,0.00340542592190148,0.0123750745554813,0,2353.60678175708,FALSE
"FASYN-ELONG-PWY","fatty acid elongation -- saturated","Lipid / fatty-acid biosynthesis (not displayed)",-3.10154036472173,0.0019662814510426,0.00782426794760892,1.09425649499225e-05,7346.37491829669,FALSE
"PWY-6282","palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)","Lipid / fatty-acid biosynthesis (not displayed)",-3.20364400262351,0.00145385413613856,0.00661273541888703,5.17808803938485e-06,2900.99065994318,FALSE
"PWYG-321","mycolate biosynthesis","Lipid / fatty-acid biosynthesis (not displayed)",-3.22709180508053,0.00134450974748989,0.00621835758214076,0.000198786164833688,3219.46566233697,FALSE
"PWY-5989","stearate biosynthesis II (bacteria and plants)","Lipid / fatty-acid biosynthesis (not displayed)",-3.2403445743146,0.0012880852777876,0.00616765538893594,0.000941186496021116,2957.38751279725,FALSE
"PWY-7664","oleate biosynthesis IV (anaerobic)","Lipid / fatty-acid biosynthesis (not displayed)",-3.28134689797971,0.00111417979747596,0.00539846639967518,5.23406554730767e-06,3093.87117688142,FALSE
"PWY-6467","Kdo transfer to lipid IVA III (Chlamydia)","Lipid / fatty-acid biosynthesis (not displayed)",-3.52693608898786,0.000453015670181647,0.00263396253948472,0,2352.35981033657,FALSE
"NAD-BIOSYNTHESIS-II","NAD salvage pathway II","Other housekeeping (excluded)",6.98886727686964,2.94000859858015e-11,8.54702499730086e-10,0.120142142456986,712.09592530123,FALSE
"PWY-7210","pyrimidine deoxyribonucleotides biosynthesis from CTP","Other housekeeping (excluded)",6.84548505559369,6.95044152494499e-11,1.88588646710174e-09,0.146544566672545,292.73644498741,FALSE
"PWY-7198","pyrimidine deoxyribonucleotides de novo biosynthesis IV","Other housekeeping (excluded)",6.26141182286921,1.80316771897911e-09,4.07716256458055e-08,0.15263258480823,227.910977028529,FALSE
"PWY0-166","superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)","Other housekeeping (excluded)",5.28654134097189,2.51434773122714e-07,4.30909059349139e-06,0.0346198801004493,4070.84450917815,FALSE
"PYRIDNUCSAL-PWY","NAD salvage pathway I","Other housekeeping (excluded)",5.28528666480391,2.54098708215709e-07,4.30909059349139e-06,0.0127979659271566,3915.92641471985,FALSE
"COA-PWY","coenzyme A biosynthesis I","Other housekeeping (excluded)",5.11083159086937,6.38973578686795e-07,1.0402489861021e-05,0.0231088578123746,5238.97365360144,FALSE
"PWY-6163","chorismate biosynthesis from 3-dehydroquinate","Other housekeeping (excluded)",5.07830050096492,8.07337456864377e-07,1.26379363439924e-05,0.0305304390537873,5714.63642747815,FALSE
"PWY-5104","L-isoleucine biosynthesis IV","Other housekeeping (excluded)",4.86747282667283,1.81841365333643e-06,2.55509111301248e-05,0.075386974819976,4130.99208091883,FALSE
"ARO-PWY","chorismate biosynthesis I","Other housekeeping (excluded)",4.76919022327846,3.20938647692211e-06,4.21361385841065e-05,0.02077390033799,5857.91711591157,FALSE
"PWY-7219","adenosine ribonucleotides de novo biosynthesis","Other housekeeping (excluded)",4.7478284595794,3.52423274440905e-06,4.48238352179526e-05,0.0335200923360142,6575.334092123,FALSE
"PWY0-1586","peptidoglycan maturation (meso-diaminopimelate containing)","Other housekeeping (excluded)",4.65771779605411,4.69856807936454e-06,5.79490063121626e-05,0,5177.92181670374,FALSE
"PWY-6387","UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)","Other housekeeping (excluded)",4.65327207802797,5.010913572649e-06,5.99835830608278e-05,0.0113306781406761,5454.92809497732,FALSE
"PWY-6471","peptidoglycan biosynthesis IV (Enterococcus faecium)","Other housekeeping (excluded)",4.57453276685465,6.84941538669512e-06,7.74364461773587e-05,0.0156420078693197,1481.01366434815,FALSE
"PEPTIDOGLYCANSYN-PWY","peptidoglycan biosynthesis I (meso-diaminopimelate containing)","Other housekeeping (excluded)",4.55990367950566,7.58170293366407e-06,8.33987322703048e-05,0.0133111745428526,5384.64657068863,FALSE
"PWY-7229","superpathway of adenosine nucleotides de novo biosynthesis I","Other housekeeping (excluded)",4.55723609557728,8.17652340033007e-06,8.69384642949308e-05,0.0303651070285312,6588.20386209722,FALSE
"DENOVOPURINE2-PWY","superpathway of purine nucleotides de novo biosynthesis II","Other housekeeping (excluded)",4.52826262223559,8.33071279484595e-06,8.69384642949308e-05,0.0390568475752376,4275.62683662618,FALSE
"PWY-6126","superpathway of adenosine nucleotides de novo biosynthesis II","Other housekeeping (excluded)",4.514566405145,9.762133763065e-06,9.93297110391864e-05,0.0303725718517359,6301.96094573116,FALSE
"PWY-7208","superpathway of pyrimidine nucleobases salvage","Other housekeeping (excluded)",4.4625000373669,1.19099184602758e-05,0.000118227727154445,0.0297393045655736,6326.77974918724,FALSE
"TEICHOICACID-PWY","teichoic acid (poly-glycerol) biosynthesis","Other housekeeping (excluded)",4.44029215984346,1.22446942755485e-05,0.000118656918336863,0.0302097688388675,491.925215378607,FALSE
"PWY-7377","cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)","Other housekeeping (excluded)",4.3240110854534,1.9898693668114e-05,0.00016528098618209,0.134264157378453,607.106027846841,FALSE
"PWY-6385","peptidoglycan biosynthesis III (mycobacteria)","Other housekeeping (excluded)",4.2739117865238,2.5697184925537e-05,0.000201129889705645,0.0114944687333394,5292.38235570998,FALSE
"PWY-5686","UMP biosynthesis","Other housekeeping (excluded)",4.09070718647303,5.52710963536702e-05,0.000409006113017159,0.0328911353404128,6059.67467833727,FALSE
"PWY-7187","pyrimidine deoxyribonucleotides de novo biosynthesis II","Other housekeeping (excluded)",4.0903086269398,5.23428735073469e-05,0.000394510176249818,0.0526770300919619,3300.50362789366,FALSE
"1CMET2-PWY","N10-formyl-tetrahydrofolate biosynthesis","Other housekeeping (excluded)",4.03742327367957,6.4654376362882e-05,0.000469898771065946,0.016232837938451,4354.00539204663,FALSE
"PWY-7392","taxadiene biosynthesis (engineered)","Other housekeeping (excluded)",4.00879678230135,7.28278363950535e-05,0.000520016305487487,0.0138445520601485,3422.64441621597,FALSE
"PWY-6609","adenine and adenosine salvage III","Other housekeeping (excluded)",3.93881856535885,9.5990551826674e-05,0.000662172111753497,0,3926.44267199262,FALSE
"ARGSYNBSUB-PWY","L-arginine biosynthesis II (acetyl cycle)","Other housekeeping (excluded)",3.89309757340851,0.00011741531441057,0.000783410376477082,0.0318040823418016,5954.0839459589,FALSE
"PWY-6386","UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)","Other housekeeping (excluded)",3.88717153106307,0.000120442451391242,0.000790646414777994,0.00977154188963217,5309.73375773831,FALSE
"GLUCONEO-PWY","gluconeogenesis I","Other housekeeping (excluded)",3.82286890248509,0.000162218745400888,0.00103160983403377,0.027907447290835,5289.63120410716,FALSE
"ARGSYN-PWY","L-arginine biosynthesis I (via L-ornithine)","Other housekeeping (excluded)",3.78494271945363,0.000181490742505832,0.00113641126461344,0.0322219375117444,5558.60907696015,FALSE
"PWY-7196","superpathway of pyrimidine ribonucleosides salvage","Other housekeeping (excluded)",3.72699105320985,0.000216794947403927,0.00133690217565755,0.0270714285662001,3871.46469997835,FALSE
"COMPLETE-ARO-PWY","superpathway of aromatic amino acid biosynthesis","Other housekeeping (excluded)",3.61331005672471,0.000352733965135252,0.00214272722104548,0.0241554086002245,6136.0552885307,FALSE
"PWY0-1296","purine ribonucleosides degradation","Other housekeeping (excluded)",3.5428131817789,0.000428556881400569,0.00252786450333379,0,2613.51161312608,FALSE
"PWY0-162","superpathway of pyrimidine ribonucleotides de novo biosynthesis","Other housekeeping (excluded)",3.49872417283047,0.00052305875056342,0.00299837903491989,0.0324591838557159,5812.21609397368,FALSE
"PWY-5667","CDP-diacylglycerol biosynthesis I","Other housekeeping (excluded)",3.44125127256422,0.000633922836328565,0.0035343369093935,2.84354037474896e-06,6767.41059857162,FALSE
"PWY0-1319","CDP-diacylglycerol biosynthesis II","Other housekeeping (excluded)",3.44125127255279,0.000633922836328545,0.0035343369093935,2.84354037474896e-06,6767.41059857162,FALSE
"HSERMETANA-PWY","L-methionine biosynthesis III","Other housekeeping (excluded)",3.35443380485836,0.000864846853062267,0.00451272652815824,0.0262045074488879,4773.33471268344,FALSE
"PWY-7184","pyrimidine deoxyribonucleotides de novo biosynthesis I","Other housekeeping (excluded)",3.30624201479284,0.000987686043170426,0.00502485274462954,0.0358444430933021,4279.87364741941,FALSE
"PWY0-1298","superpathway of pyrimidine deoxyribonucleosides degradation","Other housekeeping (excluded)",3.29869751705539,0.00102207090836837,0.00513559086056701,0.00722488181884082,2349.84863209798,FALSE
"PWY-7220","adenosine deoxyribonucleotides de novo biosynthesis II","Other housekeeping (excluded)",3.22626830998438,0.00133012507249034,0.00621835758214076,0.0270227724374246,6178.20212955974,FALSE
"PWY-7222","guanosine deoxyribonucleotides de novo biosynthesis II","Other housekeeping (excluded)",3.22626830998438,0.00133012507249034,0.00621835758214076,0.0270227724374246,6178.20212955974,FALSE
"NONOXIPENT-PWY","pentose phosphate pathway (non-oxidative branch)","Other housekeeping (excluded)",3.16781295408712,0.00158596059638439,0.00686687194391964,0.0137331689514205,7509.18879700432,FALSE
"DAPLYSINESYN-PWY","L-lysine biosynthesis I","Other housekeeping (excluded)",3.10402907685949,0.00195462782243546,0.00782426794760892,0.0269613161087966,5421.44958030333,FALSE
"HISTSYN-PWY","L-histidine biosynthesis","Other housekeeping (excluded)",3.03198938518275,0.00255965935553301,0.00964612368242534,0.0327266718765436,5211.7552596595,FALSE
"PWY-6123","inosine-5'-phosphate biosynthesis I","Other housekeeping (excluded)",3.02813032624667,0.00259593223106917,0.00969306805546011,0.0263049411971231,5154.82455090516,FALSE
"PWY4FS-7","phosphatidylglycerol biosynthesis I (plastidic)","Other housekeeping (excluded)",2.86546207809949,0.00426130406165438,0.01469788773808,0.00354822558403631,6042.07313122649,FALSE
"PWY4FS-8","phosphatidylglycerol biosynthesis II (non-plastidic)","Other housekeeping (excluded)",2.86546207809932,0.00426130406165464,0.01469788773808,0.00354822558403666,6042.07313122649,FALSE
"PWY-6121","5-aminoimidazole ribonucleotide biosynthesis I","Other housekeeping (excluded)",2.85567647802732,0.00439757321821352,0.0150404394942261,0.0336306241818424,6138.70070204622,FALSE
"PWY-7003","glycerol degradation to butanol","Other housekeeping (excluded)",2.81485676994295,0.00490408508493648,0.016096472819106,0.0487634033713033,953.52781030624,FALSE
