Species_Code,DBH,Latitude,Longitude
PIST,9.10,41.98910,-72.12923
BELE,1.50,41.98910,-72.12954
PIST,2.70,41.98910,-72.12952
BELE,2.00,41.98910,-72.12944
BELE,2.30,41.98910,-72.12936
BELE,7.10,41.98910,-72.12928
TSCA,21.20,41.98910,-72.12998
BELE,1.90,41.98910,-72.12961
QURU,59.80,41.98910,-72.12948
BELE,1.10,41.98910,-72.12929
BELE,6.20,41.98910,-72.12924
BELE,1.90,41.98910,-72.12945
BELE,8.10,41.98910,-72.12928
BELE,2.10,41.98910,-72.12929
BELE,2.50,41.98910,-72.12944
BELE,2.20,41.98910,-72.12929
PIST,4.30,41.98910,-72.12924
BELE,12.10,41.98910,-72.12924
TSCA,2.60,41.98910,-72.12924
ACRU,33.80,41.98910,-72.12982
PIST,1.10,41.98910,-72.12950
BELE,3.40,41.98910,-72.12934
BELE,1.20,41.98910,-72.12964
BELE,1.10,41.98911,-72.12958
BELE,4.20,41.98911,-72.12929
BELE,2.40,41.98911,-72.12926
PIST,1.50,41.98911,-72.12923
BELE,6.50,41.98911,-72.12929
BELE,1.50,41.98911,-72.12927
BELE,5.10,41.98911,-72.12929
PIST,3.00,41.98911,-72.12947
BELE,2.90,41.98911,-72.12941
PIST,2.80,41.98911,-72.12942
PIST,1.80,41.98911,-72.12943
BELE,1.90,41.98911,-72.12932
BELE,2.40,41.98911,-72.12929
BELE,4.00,41.98911,-72.12929
BELE,2.60,41.98911,-72.12951
BELE,2.60,41.98911,-72.12944
BELE,6.20,41.98911,-72.12925
BELE,2.50,41.98911,-72.12950
PIST,1.70,41.98912,-72.12959
BELE,1.50,41.98912,-72.12941
BELE,2.00,41.98912,-72.12924
BELE,1.20,41.98912,-72.12954
BELE,1.10,41.98912,-72.12941
BELE,1.20,41.98912,-72.12941
BELE,1.50,41.98912,-72.12957
BELE,1.30,41.98912,-72.12950
QURU,42.40,41.98912,-72.13006
BELE,1.10,41.98912,-72.12944
BELE,2.50,41.98912,-72.12950
ACRU,10.50,41.98913,-72.12979
TSCA,9.70,41.98913,-72.12978
TSCA,23.00,41.98913,-72.12978
BELE,1.00,41.98913,-72.12925
BELE,2.30,41.98913,-72.12941
BELE,1.50,41.98913,-72.12951
BELE,2.00,41.98913,-72.12933
TSCA,26.30,41.98913,-72.12991
BELE,2.50,41.98913,-72.12942
BELE,1.60,41.98913,-72.12931
BELE,1.60,41.98913,-72.12930
BELE,1.70,41.98913,-72.12929
ACRU,6.40,41.98913,-72.13033
TSCA,24.80,41.98913,-72.12991
QURU,40.20,41.98914,-72.13018
BELE,1.20,41.98914,-72.12940
QURU,46.30,41.98914,-72.13032
BELE,1.20,41.98914,-72.12922
QURU,28.00,41.98914,-72.13018
BELE,4.00,41.98914,-72.12949
BELE,1.60,41.98914,-72.12951
BELE,2.00,41.98914,-72.12929
BELE,1.50,41.98914,-72.12929
BELE,1.30,41.98914,-72.12922
BELE,6.70,41.98914,-72.12922
PIST,3.60,41.98914,-72.12899
PIST,2.00,41.98914,-72.12899
QURU,53.50,41.98914,-72.12994
BELE,2.00,41.98914,-72.12925
BELE,1.10,41.98915,-72.12951
BELE,1.80,41.98915,-72.12924
BELE,3.00,41.98915,-72.12943
BELE,1.60,41.98915,-72.12958
BELE,1.20,41.98915,-72.12966
BELE,1.40,41.98915,-72.12963
BELE,2.60,41.98915,-72.12940
BELE,2.10,41.98915,-72.12929
BELE,1.30,41.98915,-72.12924
BELE,1.10,41.98915,-72.12940
BELE,1.50,41.98915,-72.12922
BELE,1.30,41.98915,-72.12922
BELE,1.20,41.98915,-72.12922
BELE,2.20,41.98915,-72.12966
BELE,1.30,41.98915,-72.12929
BELE,1.50,41.98915,-72.12922
PIST,3.90,41.98915,-72.12903
TSCA,1.00,41.98915,-72.12966
BELE,2.30,41.98915,-72.12966
BELE,1.40,41.98915,-72.12953
BELE,2.00,41.98915,-72.12928
PIST,5.80,41.98915,-72.12898
TSCA,47.20,41.98915,-72.13010
ACRU,27.00,41.98915,-72.12973
BELE,3.10,41.98915,-72.12941
TSCA,1.60,41.98916,-72.12966
BELE,2.00,41.98916,-72.12907
BELE,3.40,41.98916,-72.12898
BELE,3.30,41.98916,-72.12941
BELE,1.00,41.98916,-72.12906
PIST,1.40,41.98916,-72.12897
TSCA,20.20,41.98916,-72.13010
PIST,1.80,41.98916,-72.12964
BELE,1.30,41.98916,-72.12942
BELE,1.40,41.98916,-72.12906
BELE,2.20,41.98916,-72.12905
PIST,6.80,41.98916,-72.12903
PIST,1.50,41.98916,-72.12900
TSCA,28.80,41.98916,-72.12986
BELE,1.40,41.98916,-72.12907
PIST,1.20,41.98916,-72.12897
BELE,1.70,41.98916,-72.12897
BELE,1.20,41.98916,-72.12906
BELE,1.70,41.98916,-72.12905
BELE,2.60,41.98916,-72.12905
PIST,1.40,41.98916,-72.12904
BELE,1.90,41.98916,-72.12943
BELE,1.50,41.98916,-72.12941
BELE,4.80,41.98916,-72.12937
BELE,1.00,41.98916,-72.12930
BELE,1.30,41.98916,-72.12960
BELE,1.20,41.98916,-72.12899
BELE,2.00,41.98916,-72.12898
BELE,1.40,41.98916,-72.12953
BELE,1.20,41.98916,-72.12914
BELE,1.60,41.98916,-72.12907
PIST,1.20,41.98916,-72.12904
PIST,4.50,41.98916,-72.12902
TSCA,1.60,41.98916,-72.12964
BELE,1.10,41.98916,-72.12942
BELE,1.40,41.98916,-72.12927
BELE,1.50,41.98916,-72.12927
BELE,1.60,41.98916,-72.12897
PIST,2.80,41.98916,-72.12965
BELE,3.60,41.98916,-72.12949
BELE,1.70,41.98916,-72.12923
BELE,5.30,41.98916,-72.12903
PIST,2.50,41.98916,-72.12902
BELE,3.60,41.98916,-72.12898
BELE,1.40,41.98917,-72.12937
BELE,1.50,41.98917,-72.12927
BELE,1.00,41.98917,-72.12924
BELE,2.80,41.98917,-72.12905
BELE,2.60,41.98917,-72.12905
BELE,1.00,41.98917,-72.12902
BELE,1.10,41.98917,-72.12897
BELE,1.50,41.98917,-72.12958
BELE,3.00,41.98917,-72.12930
BELE,1.10,41.98917,-72.12930
PIST,7.80,41.98917,-72.12905
BELE,2.50,41.98917,-72.12905
BELE,1.80,41.98917,-72.12904
PIST,1.00,41.98917,-72.12898
PIST,1.30,41.98917,-72.12947
BELE,1.00,41.98917,-72.12926
BELE,1.70,41.98917,-72.12918
BELE,1.90,41.98917,-72.12914
PIST,7.90,41.98917,-72.12905
PIST,2.00,41.98917,-72.12901
BELE,3.70,41.98917,-72.12901
PIST,3.60,41.98917,-72.12899
TSCA,57.50,41.98917,-72.13046
QURU,44.70,41.98917,-72.13022
ACRU,17.90,41.98917,-72.13012
PIST,1.20,41.98917,-72.12965
PIST,5.50,41.98917,-72.12934
PIST,4.30,41.98917,-72.12925
BELE,1.70,41.98917,-72.12907
BELE,1.00,41.98917,-72.12906
BELE,3.80,41.98917,-72.12906
BELE,2.80,41.98917,-72.12902
TSCA,14.90,41.98917,-72.12984
QURU,55.70,41.98917,-72.12967
BELE,1.10,41.98917,-72.12946
BELE,1.20,41.98917,-72.12911
BELE,2.10,41.98917,-72.12904
BELE,1.90,41.98917,-72.12927
BELE,1.80,41.98917,-72.12924
BELE,1.90,41.98917,-72.12924
BELE,1.50,41.98917,-72.12907
PIST,3.00,41.98917,-72.12898
BELE,1.10,41.98917,-72.12927
BELE,1.40,41.98917,-72.12925
PIST,4.40,41.98917,-72.12924
PIST,4.20,41.98917,-72.12923
PIST,3.60,41.98917,-72.12918
BELE,18.00,41.98917,-72.12904
BELE,1.50,41.98917,-72.12904
BELE,1.70,41.98917,-72.12904
PIST,2.50,41.98917,-72.12904
BELE,1.30,41.98917,-72.12897
BELE,1.20,41.98917,-72.12908
TSCA,33.00,41.98917,-72.12981
PIST,1.50,41.98917,-72.12925
TSCA,16.80,41.98917,-72.12977
QURU,19.80,41.98917,-72.12974
PIST,5.20,41.98917,-72.12967
PIST,3.20,41.98917,-72.12967
BELE,2.00,41.98917,-72.12930
BELE,1.50,41.98917,-72.12908
PIST,1.90,41.98918,-72.12967
BELE,2.20,41.98918,-72.12926
BELE,2.10,41.98918,-72.12908
BELE,5.30,41.98918,-72.12906
PIST,4.20,41.98918,-72.12900
BELE,1.10,41.98918,-72.12964
BELE,1.70,41.98918,-72.12931
BELE,2.30,41.98918,-72.12906
BELE,2.00,41.98918,-72.12902
TSCA,2.30,41.98918,-72.12955
BELE,1.90,41.98918,-72.12910
PIST,4.50,41.98918,-72.12967
BELE,1.20,41.98918,-72.12953
BELE,2.00,41.98918,-72.12930
BELE,1.20,41.98918,-72.12930
BELE,2.00,41.98918,-72.12921
BELE,2.30,41.98918,-72.12909
BELE,2.60,41.98918,-72.12896
BELE,1.00,41.98918,-72.12930
BELE,1.10,41.98918,-72.12921
PIST,1.00,41.98918,-72.12897
TSCA,23.10,41.98918,-72.13015
BELE,3.40,41.98918,-72.12946
BELE,1.70,41.98918,-72.12930
BELE,1.50,41.98918,-72.12913
BELE,1.70,41.98918,-72.12913
BELE,1.50,41.98918,-72.12904
BELE,1.50,41.98918,-72.12904
BELE,4.50,41.98918,-72.12901
PIST,14.10,41.98918,-72.12899
BELE,1.40,41.98918,-72.12931
PIST,2.00,41.98918,-72.12922
BELE,2.50,41.98918,-72.12938
BELE,3.80,41.98918,-72.12904
PIST,3.30,41.98918,-72.12900
PIST,7.00,41.98918,-72.12896
BELE,2.70,41.98918,-72.12906
TSCA,8.30,41.98918,-72.13031
BELE,1.30,41.98918,-72.12965
PIST,1.10,41.98918,-72.12905
BELE,2.10,41.98918,-72.12901
BELE,1.20,41.98918,-72.12900
BELE,1.50,41.98919,-72.12906
BELE,2.50,41.98919,-72.12904
ACRU,27.20,41.98919,-72.13061
BELE,2.90,41.98919,-72.12946
BELE,3.60,41.98919,-72.12946
BELE,1.50,41.98919,-72.12912
PIST,2.30,41.98919,-72.12899
TSCA,39.90,41.98919,-72.13031
PIST,1.90,41.98919,-72.12925
BELE,1.50,41.98919,-72.12904
BELE,3.80,41.98919,-72.12916
PIST,1.10,41.98919,-72.12902
PIST,3.00,41.98919,-72.12900
BELE,1.10,41.98919,-72.12908
PIST,5.20,41.98919,-72.12901
PIST,7.00,41.98919,-72.12896
TSCA,23.40,41.98919,-72.13071
TSCA,24.00,41.98919,-72.13031
BELE,1.80,41.98919,-72.12909
TSCA,20.00,41.98919,-72.13005
BELE,2.90,41.98919,-72.12946
PIST,5.00,41.98919,-72.12898
TSCA,22.00,41.98919,-72.13038
PIST,2.10,41.98919,-72.12901
PIST,7.50,41.98919,-72.12898
TSCA,19.90,41.98919,-72.13011
BELE,2.10,41.98919,-72.12964
BELE,1.80,41.98919,-72.12908
BELE,1.20,41.98919,-72.12901
PIST,14.10,41.98919,-72.12900
TSCA,22.10,41.98920,-72.13048
TSCA,13.50,41.98920,-72.13005
TSCA,20.00,41.98920,-72.12936
PIST,1.40,41.98920,-72.12901
BELE,2.30,41.98920,-72.12898
TSCA,13.90,41.98920,-72.13035
BELE,1.50,41.98920,-72.12955
PIST,5.30,41.98920,-72.12897
PIST,2.00,41.98920,-72.12927
PIST,2.30,41.98920,-72.12923
BELE,2.30,41.98920,-72.12903
PIST,7.00,41.98920,-72.12901
BELE,1.00,41.98920,-72.12899
BELE,1.10,41.98920,-72.12898
TSCA,50.20,41.98920,-72.13050
TSCA,25.40,41.98920,-72.13015
BELE,1.30,41.98920,-72.12904
BELE,1.40,41.98920,-72.12903
BELE,4.10,41.98920,-72.12901
PIST,11.60,41.98920,-72.12899
TSCA,6.00,41.98920,-72.13042
ACRU,47.70,41.98920,-72.12986
BELE,3.10,41.98920,-72.12946
BELE,1.50,41.98920,-72.12903
BELE,1.60,41.98920,-72.12901
BELE,81.50,41.98920,-72.13066
ACRU,21.00,41.98920,-72.13008
PIST,3.90,41.98920,-72.12956
BELE,2.90,41.98920,-72.12946
BELE,2.30,41.98920,-72.12904
BELE,5.50,41.98920,-72.12899
BELE,1.60,41.98920,-72.12983
BELE,1.70,41.98920,-72.12944
BELE,9.90,41.98920,-72.12901
PIST,2.40,41.98920,-72.12900
BELE,1.20,41.98920,-72.12984
TSCA,2.70,41.98920,-72.12969
PIST,1.20,41.98920,-72.12956
PIST,2.70,41.98920,-72.12901
PIST,2.50,41.98920,-72.12897
TSCA,14.50,41.98920,-72.13057
PIST,5.20,41.98920,-72.12969
BELE,1.40,41.98920,-72.12911
TSCA,18.90,41.98920,-72.13057
BELE,2.60,41.98920,-72.12962
BELE,1.00,41.98920,-72.12908
TSCA,48.60,41.98921,-72.13042
TSCA,16.70,41.98921,-72.13006
TSCA,36.80,41.98921,-72.13002
BELE,3.10,41.98921,-72.12900
PIST,2.30,41.98921,-72.12900
PIST,4.60,41.98921,-72.12899
TSCA,45.80,41.98921,-72.13012
BELE,1.60,41.98921,-72.12905
PIST,2.20,41.98921,-72.12900
BELE,3.10,41.98921,-72.12900
TSCA,47.50,41.98921,-72.13065
QURU,41.10,41.98921,-72.13027
BELE,1.20,41.98921,-72.12957
BELE,1.30,41.98921,-72.12911
BELE,1.00,41.98921,-72.12905
PIST,1.50,41.98921,-72.12900
PIST,2.40,41.98921,-72.12901
TSCA,14.90,41.98921,-72.13056
PIST,2.80,41.98921,-72.12899
BELE,1.80,41.98921,-72.12898
TSCA,10.90,41.98921,-72.13078
TSCA,22.40,41.98921,-72.13035
BELE,2.00,41.98921,-72.12985
BELE,1.90,41.98921,-72.12983
BELE,1.10,41.98921,-72.12957
PIST,2.90,41.98921,-72.12899
ACRU,39.80,41.98921,-72.12984
BELE,1.00,41.98921,-72.12912
BELE,1.30,41.98921,-72.12912
BELE,3.10,41.98921,-72.12898
PIST,2.30,41.98921,-72.12969
BELE,1.30,41.98921,-72.12962
PIST,2.20,41.98921,-72.12919
PIST,6.50,41.98921,-72.12904
PIST,1.90,41.98921,-72.12899
TSCA,16.10,41.98921,-72.13043
PIST,1.90,41.98921,-72.12952
BELE,5.00,41.98921,-72.12900
PIST,1.20,41.98921,-72.12899
ACRU,27.00,41.98921,-72.13073
QURU,29.50,41.98921,-72.13013
TSCA,4.20,41.98921,-72.12969
PIST,2.50,41.98921,-72.12957
PIST,1.70,41.98921,-72.12898
BELE,1.70,41.98922,-72.12960
TSCA,12.30,41.98922,-72.13046
BELE,1.00,41.98922,-72.12904
TSCA,27.90,41.98922,-72.13011
ACRU,28.10,41.98922,-72.12957
BELE,1.40,41.98922,-72.12914
TSCA,47.10,41.98922,-72.13044
TSCA,31.40,41.98922,-72.13008
ACRU,24.20,41.98922,-72.12975
PIST,1.50,41.98922,-72.12903
TSCA,18.00,41.98922,-72.13047
BELE,1.10,41.98922,-72.12903
TSCA,3.50,41.98923,-72.13091
TSCA,30.30,41.98923,-72.13059
ACRU,27.90,41.98923,-72.12931
BELE,1.20,41.98923,-72.12909
PIST,2.90,41.98923,-72.12902
BELE,4.90,41.98923,-72.12902
TSCA,17.70,41.98923,-72.13070
TSCA,5.30,41.98923,-72.12976
PIST,7.60,41.98923,-72.12905
BELE,1.00,41.98923,-72.12903
BELE,1.70,41.98923,-72.12902
BELE,5.60,41.98923,-72.12902
ACRU,23.50,41.98923,-72.13089
BELE,2.40,41.98923,-72.12903
TSCA,1.00,41.98923,-72.12902
PIST,1.00,41.98923,-72.12902
TSCA,46.80,41.98923,-72.13066
BELE,1.70,41.98923,-72.12908
PIST,2.20,41.98923,-72.12902
QURU,35.10,41.98923,-72.12965
TSCA,30.10,41.98923,-72.13055
ACRU,20.50,41.98923,-72.13038
BELE,2.40,41.98923,-72.12902
BELE,1.10,41.98923,-72.12898
TSCA,38.60,41.98923,-72.12963
BELE,20.10,41.98923,-72.12940
PIST,1.60,41.98923,-72.12901
TSCA,23.50,41.98923,-72.13034
PIST,2.00,41.98923,-72.12908
TSCA,23.30,41.98924,-72.13075
BELE,1.90,41.98924,-72.12915
BELE,2.80,41.98924,-72.12915
PIST,3.90,41.98924,-72.12901
PIST,1.00,41.98924,-72.12984
BELE,6.40,41.98924,-72.12902
BELE,3.10,41.98924,-72.12898
PIST,3.70,41.98924,-72.12897
TSCA,37.20,41.98924,-72.12944
PIST,2.50,41.98924,-72.12901
BELE,1.40,41.98924,-72.12899
TSCA,27.30,41.98924,-72.13058
TSCA,1.60,41.98924,-72.12982
PIST,1.40,41.98924,-72.12914
BELE,2.40,41.98924,-72.12914
ACRU,18.30,41.98924,-72.13032
TSCA,35.00,41.98924,-72.12946
BELE,4.70,41.98924,-72.12897
BELE,1.70,41.98924,-72.12896
PIST,2.60,41.98924,-72.12906
TSCA,24.70,41.98924,-72.13020
BELE,6.70,41.98924,-72.12901
BELE,2.00,41.98924,-72.12895
PIST,4.20,41.98924,-72.12904
PIST,3.00,41.98924,-72.12901
TSCA,34.90,41.98925,-72.12968
BELE,1.50,41.98925,-72.12914
QURU,65.00,41.98925,-72.12965
BELE,1.20,41.98925,-72.12911
TSCA,27.60,41.98925,-72.13015
TSCA,48.30,41.98925,-72.13006
BELE,1.30,41.98925,-72.12907
BELE,1.10,41.98925,-72.12907
BELE,1.40,41.98925,-72.12901
ACRU,12.20,41.98925,-72.13038
TSCA,16.80,41.98925,-72.13024
PIST,4.10,41.98925,-72.12974
BELE,1.30,41.98925,-72.12909
PIST,2.00,41.98925,-72.12901
BELE,1.20,41.98925,-72.12896
ACRU,26.10,41.98926,-72.13075
ACRU,28.90,41.98926,-72.13061
PIST,4.40,41.98926,-72.12977
BELE,1.50,41.98926,-72.12901
PIST,1.90,41.98926,-72.12895
TSCA,34.80,41.98926,-72.12929
ACRU,24.70,41.98926,-72.12987
BELE,2.00,41.98926,-72.12980
QURU,46.60,41.98926,-72.12962
BELE,1.40,41.98926,-72.12898
BELE,1.60,41.98926,-72.12897
BELE,1.70,41.98926,-72.12897
BELE,1.50,41.98926,-72.12896
BELE,3.40,41.98926,-72.12895
PIST,3.20,41.98926,-72.12915
BELE,3.90,41.98926,-72.12979
PIST,1.10,41.98926,-72.12912
BELE,9.50,41.98926,-72.12903
QURU,47.10,41.98926,-72.13021
TSCA,1.30,41.98926,-72.12988
BELE,1.40,41.98926,-72.12901
BELE,1.60,41.98926,-72.12896
BELE,1.10,41.98926,-72.12894
PIST,7.30,41.98926,-72.12894
PIST,10.30,41.98926,-72.12894
TSCA,13.20,41.98926,-72.13031
PIST,1.80,41.98926,-72.12985
BELE,1.60,41.98926,-72.12907
BELE,3.30,41.98926,-72.12904
BELE,4.00,41.98926,-72.12904
BELE,3.10,41.98926,-72.12902
TSCA,28.00,41.98926,-72.13019
BELE,1.10,41.98926,-72.12897
PIST,8.40,41.98926,-72.12895
BELE,8.20,41.98926,-72.12895
TSCA,15.50,41.98927,-72.13078
TSCA,24.30,41.98927,-72.13031
PIST,2.70,41.98927,-72.12974
BELE,1.10,41.98927,-72.12904
ACRU,17.00,41.98927,-72.13081
BELE,2.00,41.98927,-72.12984
PIST,3.00,41.98927,-72.12976
PIST,2.40,41.98927,-72.12914
PIST,2.60,41.98927,-72.12914
BELE,1.10,41.98927,-72.12904
PIST,2.80,41.98927,-72.12902
BELE,1.30,41.98927,-72.12898
BELE,2.40,41.98927,-72.12974
PIST,2.20,41.98927,-72.12973
BELE,26.10,41.98927,-72.12924
PIST,2.30,41.98927,-72.12903
TSCA,32.00,41.98927,-72.13060
PIST,2.90,41.98927,-72.12912
BELE,1.50,41.98927,-72.12905
BELE,1.70,41.98927,-72.12898
QURU,48.20,41.98927,-72.12931
BELE,1.10,41.98927,-72.12898
PIST,10.80,41.98927,-72.12902
ACRU,18.00,41.98927,-72.13010
BELE,2.00,41.98927,-72.12981
TSCA,1.10,41.98927,-72.12901
TSCA,23.20,41.98927,-72.13011
TSCA,46.30,41.98927,-72.13001
PIST,2.70,41.98927,-72.12912
BELE,1.60,41.98927,-72.12908
BELE,1.20,41.98927,-72.12897
BELE,7.00,41.98927,-72.12910
TSCA,6.20,41.98927,-72.12901
BELE,1.10,41.98927,-72.12897
BELE,1.50,41.98927,-72.12896
TSCA,10.70,41.98928,-72.13048
PIST,1.30,41.98928,-72.12894
BELE,1.00,41.98928,-72.12911
BELE,2.00,41.98928,-72.12901
PIST,3.10,41.98928,-72.12914
TSCA,22.00,41.98928,-72.13073
BELE,1.50,41.98928,-72.12980
BELE,1.00,41.98928,-72.12977
BELE,1.00,41.98928,-72.12900
PIST,1.70,41.98928,-72.12909
BELE,1.90,41.98928,-72.12907
BELE,1.10,41.98928,-72.12903
BELE,2.30,41.98928,-72.12900
BELE,1.40,41.98928,-72.12899
PIST,3.70,41.98928,-72.12984
PIST,2.90,41.98928,-72.12913
BELE,1.30,41.98928,-72.12912
PIST,3.70,41.98928,-72.12909
BELE,1.30,41.98928,-72.12898
TSCA,34.20,41.98928,-72.13078
TSCA,11.30,41.98928,-72.13050
TSCA,24.00,41.98928,-72.13024
PIST,1.70,41.98928,-72.12980
BELE,2.40,41.98928,-72.12902
BELE,1.10,41.98928,-72.12900
BELE,1.10,41.98928,-72.12899
BELE,1.50,41.98928,-72.12897
BELE,1.30,41.98928,-72.12894
BELE,33.60,41.98928,-72.13063
PIST,1.20,41.98928,-72.12912
PIST,2.40,41.98928,-72.12908
TSCA,23.50,41.98928,-72.13035
PIST,2.30,41.98928,-72.12984
BELE,1.70,41.98928,-72.12977
BELE,1.40,41.98928,-72.12977
PIST,2.20,41.98928,-72.12910
BELE,1.30,41.98928,-72.12902
BELE,1.00,41.98928,-72.12901
PIST,1.40,41.98929,-72.12987
BELE,1.30,41.98929,-72.12978
BELE,2.70,41.98929,-72.12908
BELE,1.20,41.98929,-72.12901
BELE,1.50,41.98929,-72.12900
BELE,1.50,41.98929,-72.12900
BELE,1.20,41.98929,-72.12899
BELE,1.00,41.98929,-72.12899
BELE,1.00,41.98929,-72.12895
BELE,1.60,41.98929,-72.12894
BELE,1.00,41.98929,-72.12976
BELE,2.00,41.98929,-72.12975
BELE,1.30,41.98929,-72.12903
BELE,1.70,41.98929,-72.12902
BELE,1.20,41.98929,-72.12900
TSCA,15.00,41.98929,-72.13069
TSCA,26.30,41.98929,-72.13043
TSCA,32.80,41.98929,-72.13018
PIST,2.00,41.98929,-72.12979
TSCA,20.80,41.98929,-72.12923
PIST,4.50,41.98929,-72.12909
PIST,1.70,41.98929,-72.12908
BELE,1.10,41.98929,-72.12907
BELE,1.70,41.98929,-72.12906
BELE,1.50,41.98929,-72.12901
BELE,1.70,41.98929,-72.12897
BELE,1.40,41.98929,-72.12895
PIST,5.00,41.98929,-72.12871
BELE,2.90,41.98929,-72.12870
BELE,6.50,41.98929,-72.12870
BELE,1.30,41.98929,-72.12870
PIST,3.20,41.98929,-72.12910
PIST,1.00,41.98929,-72.12909
BELE,1.20,41.98929,-72.12895
PIST,4.10,41.98929,-72.12871
BELE,6.30,41.98929,-72.12870
TSCA,24.10,41.98929,-72.13061
PIST,3.50,41.98929,-72.12983
BELE,2.10,41.98929,-72.12977
