Tree_ID,VWC_mean,ORP_mean,SoilTemp_mean,OrganicDepth_mean,MineralDepth_mean,n_measurements
ML1,13.05,292.5,18.5,3.75,14.25,2
ML2,12.066666666666666,304.5,18.75,6,11.5,2
ML3,13.283333333333333,352.5,18.6,7,8.75,2
MLGP,8.033333333333333,226,16.95,8.75,8.25,2
PB1,13.308333333333334,226.5,18.6,5,14,4
PB2,11.666666666666668,252.25,18.825,7,12.875,4
PB3,21.925,241.25,18.55,4.5,17.75,4
PB4,14.175,325.75,18.375,3.875,9.125,4
PB5,13.933333333333334,328.25,18.2,4.375,11,4
PB501,9.141666666666666,277.75,17.525,6.625,16.875,4
RM1,21.766666666666666,250.5,14.25,5.125,16,4
RM10,51.36666666666667,128.25,15.55,15.25,NA,4
RM14,11.758333333333333,255,18.5,9.25,7.75,4
RM2,23.266666666666666,235.25,15.15,6.25,9.5,4
RM3,22.84166666666667,333.25,15.725,14.625,14.625,4
RM301,8.883333333333333,280.75,17.05,3.875,16.25,4
RM302,12.175,226.75,17.575,5.875,8.625,4
RM303,11.925,149.5,17.975,7.75,9.5,4
RM304,7.025,216,17.725,3.25,4,4
RM4,14.241666666666667,326.25,15.025,14.25,17.875,4
RM5,26.5,314.3333333333333,15.175,13,18.5,4
RM501,14.691666666666666,326.75,16.9,7.5,17.25,4
RM502,15.591666666666667,382,17.475,4.875,22.75,4
RM503,8.391666666666666,253.25,17.7,3.125,21.75,4
RMS1,21.555555555555557,310.25,16.8,17.833333333333332,21.75,4
RO1,15.858333333333334,273.75,17.95,8,9.875,4
RO10,18.258333333333333,368.25,18.375,5.25,16.875,4
RO101,20.125,394.75,17.625,5.625,13.75,4
RO102,20.5,414.25,17.925,4.5,18.25,4
RO103,13.975,432.75,17.225,7.125,16.75,4
RO104,17.35,439,17.675,5.125,9.75,4
RO105,23.8,429,17.775,4,14,4
RO11,13.375,385.25,18.875,5.375,24.875,4
RO13,17.875,332.5,18.475,10.125,12.625,4
RO2,7.250000000000001,223.5,18.075,9.5,15.5,4
RO3,7.5249999999999995,292.25,18.425,8.25,13,4
RO7,11.791666666666668,316,18.875,7.25,11.625,4
RO8,11.791666666666668,316,18.875,7.25,11.625,4
RO9,13.408333333333333,311.25,18.5,5.875,9.125,4
SH1,20.433333333333334,304.75,18.975,0.75,15.5,4
SM1,40.175,376.25,18.2,NA,NA,4
SM10,33.025,454.25,18.975,1,16.25,4
SM11,24.566666666666666,245.25,17.35,0.75,21.875,4
SM12,35.388888888888886,298.6666666666667,16.933333333333334,0.6666666666666666,24.333333333333332,4
SM13,40.544444444444444,246,16.833333333333332,0.6666666666666666,21.666666666666668,4
SM14,27.34166666666667,295,17.55,0.625,18.5,4
SM15,28.200000000000003,390,18.8,1,20,4
SM2,41.525,383.25,17.4,1,19,4
SM3,40.125,418.75,17.525,1,13.75,4
SM4,38.425,442.5,18.25,1,17.5,4
SM5,37.375,414.75,18.85,2,14.5,4
SM6,36.075,386,18.675,1,17.5,4
SM7,33.4,401,18.875,1.5,20,4
SM8,38.074999999999996,412.5,18.65,1,20,4
SM9,36.4,426.5,19.075,1,20,4
WA10,23.87777777777778,230,18.166666666666664,NA,NA,4
WA101,22.15833333333333,203.75,16.975,1.25,15.25,4
WA102,22.15833333333333,203.75,16.975,1.25,15.25,4
WA103,22.15833333333333,203.75,16.975,1.25,15.25,4
WA104,18.68888888888889,181,18.233333333333334,1,14.666666666666666,4
WA105,18.68888888888889,181,18.233333333333334,1,14.666666666666666,4
WA12,19.525,229,18.15,0.75,20.75,4
WA14/1/XV,23.258333333333333,220,18.2,0.8333333333333334,16.666666666666668,4
WA15,25.858333333333334,203,17.975,1.25,17,4
WA5,30.066666666666666,202.25,18,1.125,16,4
WO1,17.975,332.25,15.275,7.625,15.375,4
WP06,9.158333333333333,313.5,18.425,10.875,14,4
WP08,10.908333333333333,262,18.4,7.875,14.75,4
WP101,15.375,424.5,17.95,5.25,10,4
WP102,17.3,469,18.2,5,12,4
WP103,13.85,414.25,18.275,4.125,15,4
WP2,21.308333333333334,290,16.1,16.75,19.875,4
WP3,33.858333333333334,292.5,17.6,45,0,4
WP4,28.950000000000003,307.5,16.45,37.625,0,4
WP401,9.75,266.25,17.525,3.75,18.375,4
WP402,10.608333333333333,167.25,16.325,3.25,19,4
WP403,14.666666666666666,251.25,16.9,4.75,10.225,4
WP5,29.008333333333333,182.3,16.625,8.75,7.5,4
WP7,10.183333333333334,334.5,18.6,7.75,12.875,4
WP9,16.441666666666666,352.5,18.6,6,22.375,4
WPBERNICE,20.395833333333332,296.25,19.525,2.0625,17.25,8
WPX2,31.991666666666667,276.25,17.675,0.5,17.5,4
WPX22,31.991666666666667,276.25,17.675,0.5,17.5,4
WPX5,26.791666666666668,289.5,17.975,1.375,15.75,4
WPX7,24.35,318.75,18.2,0.75,13.625,4
YB10,40.03333333333333,139,15.675,17,14.5,4
YB11,36.583333333333336,241.25,15.7,8.75,13.5,4
YB11',44.916666666666664,143.25,15.85,11,19.75,4
YB12,44.916666666666664,143.25,15.85,11,19.75,4
YB13,44.916666666666664,143.25,15.85,11,19.75,4
YB14,50.6,191,15.375,10,21,4
YB15,23.155555555555555,300.75,15.15,2.6666666666666665,12.375,4
YB2,49.641666666666666,140.75,15.65,10.125,NA,4
YB3,13.266666666666667,303.5,18.1,8.625,14.875,4
YB4,17.875,423,18,15.125,16.125,4
YB5,43.983333333333334,288,14.9,7.833333333333333,17.75,4
YB9,49.875,182,15.75,12,8.75,4
YBCUL8R,33.666666666666664,286.875,18.825,3.375,22.75,4
YBYB,8.558333333333334,345.75,18.05,10.75,19.125,4
