Tree_ID,Tree_sp,Plot,Cardinal.Direction,Distance.from.stem..cm,Total.Hole.depth..cm,Organic.Sample.Depth..cm,Mineral.Sample.Depth..cm,Soil.Temp,VWC1,VWC2,VWC3,ORP..mV,Time.Collected,Date.Collected,Personel,Notes
PB5,BEPA,,S,115,13.5,4.5,9,18.5,10.5,18.9,16.2,357,16:54,7/26/21,"Judith, Wyatt, Jon",
PB5,BEPA,,W,115,20,4,16,18.2,15.7,14.1,14.4,347,16:55,7/26/21,"Judith, Wyatt, Jon",
PB5,BEPA,,N,115,20,5,15,18,13.9,12.6,16.3,362,16:57,7/26/21,"Judith, Wyatt, Jon",
PB5,BEPA,,E,115,8,4,4,18.1,9.6,12.9,12.1,247,17:00,7/26/21,"Judith, Wyatt, Jon",
YB3,BEAL,,S,100,21,7,14,18.5,12.5,11.8,10,307,17:22,7/26/21,"Judith, Wyatt, Jon",
YB3,BEAL,,W,100,17,8,9,18.1,11.9,12.9,15.3,313,17:24,7/26/21,"Judith, Wyatt, Jon",
YB3,BEAL,,N,100,29.5,11.5,18,17.4,15.5,15.8,11.8,291,17:26,7/26/21,"Judith, Wyatt, Jon",
YB3,BEAL,,E,100,26.5,8,18.5,18.4,13.1,15.9,12.7,303,17:20,7/26/21,"Judith, Wyatt, Jon",
RO101,QURU,,W,,23.5,3.5,20,17.5,25.9,NA,,417,9:20,7/23/21,"Jon, Wyatt, Taylor",
RO101,QURU,,N,,15,9.5,5.5,17.4,10.9,NA,,409,9:03,7/23/21,"Jon, Wyatt, Taylor",
RO101,QURU,,E,,12,5.5,6.5,17.5,22.4,NA,,458,9:10,7/23/21,"Jon, Wyatt, Taylor",
RO101,QURU,,S,,27,4,23,18.1,21.3,NA,,295,9:15,7/23/21,"Jon, Wyatt, Taylor",
H103,TSCA,,N,,21,4,17,17.4,31.9,NA,,384,9:47,7/23/21,"Jon, Wyatt, Taylor",
H103,TSCA,,E,,16.5,9,7.5,17.7,22.2,NA,,438,9:50,7/23/21,"Jon, Wyatt, Taylor",
H103,TSCA,,S,,28.5,10,18.5,17.6,19.5,NA,,466,9:52,7/23/21,"Jon, Wyatt, Taylor",
H103,TSCA,,W,,9.5,5,4.5,17.3,38.8,NA,,443,9:45,7/23/21,"Jon, Wyatt, Taylor",
H101,TSCA,,N,,19,6,13,17.2,35.1,NA,,465,10:25,7/23/21,"Jon, Wyatt, Taylor",Dead RO ~1.5m S
H101,TSCA,,E,,13,4,9,17.1,32.5,NA,,365,10:27,7/23/21,"Jon, Wyatt, Taylor",
H101,TSCA,,S,,4.5,4.5,,17.1,33.2,NA,,413,10:30,7/23/21,"Jon, Wyatt, Taylor",
H101,TSCA,,W,,12,10.5,1.5,17,24.1,NA,,448,10:32,7/23/21,"Jon, Wyatt, Taylor",
RO102,QURU,,N,,26,2,24,17.6,17.2,NA,,406,12:07,7/23/21,"Jon, Wyatt, Taylor",
RO102,QURU,,E,,26,3,23,18,26.3,NA,,434,12:10,7/23/21,"Jon, Wyatt, Taylor",
RO102,QURU,,S,,25.5,5.5,20,18.1,20.4,NA,,384,12:12,7/23/21,"Jon, Wyatt, Taylor",
RO102,QURU,,W,,13.5,7.5,6,18,18.1,NA,,433,12:14,7/23/21,"Jon, Wyatt, Taylor",
RO105,QURU,,W,,24,3.5,20.5,17.7,18.5,NA,,443,13:50,7/23/21,"Jon, Wyatt, Taylor",
RO105,QURU,,N,,8,3,5,17.4,20.6,NA,,417,13:52,7/23/21,"Jon, Wyatt, Taylor",
RO105,QURU,,E,,18,5.5,12.5,17.9,31.3,NA,,431,13:55,7/23/21,"Jon, Wyatt, Taylor",
RO105,QURU,,S,,22,4,18,18.1,24.8,NA,,425,13:58,7/23/21,"Jon, Wyatt, Taylor",
H104,TSCA,,W,,28.5,4.5,24,17.6,18.1,NA,,385,14:25,7/23/21,"Jon, Wyatt, Taylor",
H104,TSCA,,N,,27,4,23,17.3,28.2,NA,,364,14:26,7/23/21,"Jon, Wyatt, Taylor",
H104,TSCA,,E,,8.5,3.5,5,17.7,29.1,NA,,432,14:28,7/23/21,"Jon, Wyatt, Taylor",
H104,TSCA,,S,,17.5,3.5,14,17.6,35.1,NA,,433,14:30,7/23/21,"Jon, Wyatt, Taylor",
H102,TSCA,,N,,27,2,25,17.3,40.9,NA,,420,15:25,7/23/21,"Jon, Wyatt, Taylor",
H102,TSCA,,E,,24,3,21,17.3,34.8,NA,,444,15:30,7/23/21,"Jon, Wyatt, Taylor",
H102,TSCA,,S,,4,2,2,17.6,30.9,NA,,423,15:35,7/23/21,"Jon, Wyatt, Taylor",
H102,TSCA,,W,,27,3,24,17.2,25.6,NA,,433,15:36,7/23/21,"Jon, Wyatt, Taylor",
RO104,QURU,,W,,12,6.5,5.5,17.7,15.9,NA,,428,16:16,7/23/21,"Jon, Wyatt, Taylor",
RO104,QURU,,N,,8,3.5,4.5,17.6,20.5,NA,,443,16:14,7/23/21,"Jon, Wyatt, Taylor",
RO104,QURU,,E,,24.5,5.5,19,17.8,18.3,NA,,466,16:12,7/23/21,"Jon, Wyatt, Taylor",
RO104,QURU,,S,,15,5,10,17.6,14.7,NA,,419,16:10,7/23/21,"Jon, Wyatt, Taylor",
RO103,QURU,,N,,26,10,16,16.1,17.5,NA,,402,16:57,,,
RO103,QURU,,E,,24,9.5,14.5,17.6,11.5,NA,,430,16:59,,,
RO103,QURU,,S,,19,3.5,15.5,17.8,13.6,NA,,465,17:01,,,
RO103,QURU,,W,,26.5,5.5,21,17.4,13.3,NA,,434,16:55,,,
BB11,BELE,,W,,2,2,,15,16.6,NA,,349,10:10,7/22/21,"Jon, Wyatt, Taylor",
BB11,BELE,,N,,11.5,7.5,4,14.1,22.9,NA,,398,10:13,7/22/21,"Jon, Wyatt, Taylor",
BB11,BELE,,E,,20.5,17,3.5,14.8,11.4,NA,,368,10:15,7/22/21,"Jon, Wyatt, Taylor",
BB11,BELE,,S,,21.5,7.5,14,15.3,17.1,NA,,376,10:17,7/22/21,"Jon, Wyatt, Taylor",
BB12,BELE,,N,,5.5,3.5,2,17.9,12.2,NA,,427,11:08,7/22/21,"Jon, Wyatt, Taylor",
BB12,BELE,,E,,19,11,8,18.1,11.8,NA,,428,11:10,7/22/21,"Jon, Wyatt, Taylor",
BB12,BELE,,S,,11,4.5,6.5,18,13,NA,,439,11:15,7/22/21,"Jon, Wyatt, Taylor",
BB12,BELE,,W,,6.5,4.5,2,17.7,12.2,NA,,399,11:18,7/22/21,"Jon, Wyatt, Taylor",
BB13,BELE,,N,,20.75,12,8.75,17.8,23.1,NA,,333,12:05,7/22/21,"Jon, Wyatt, Taylor",
BB13,BELE,,E,,11,7.5,3.5,18.5,12.7,NA,,347,12:10,7/22/21,"Jon, Wyatt, Taylor",
BB13,BELE,,S,,26,3.5,22.5,18.3,22.9,NA,,387,12:15,7/22/21,"Jon, Wyatt, Taylor",
BB13,BELE,,W,,4.5,3,1.5,18.3,14.9,NA,,374,12:18,7/22/21,"Jon, Wyatt, Taylor",
BB14,BELE,,N,,14,1,13,18.2,10.8,NA,,347,12:39,7/22/21,"Jon, Wyatt, Taylor",
BB14,BELE,,E,,7,2.5,4.5,18.2,11.2,NA,,402,12:41,7/22/21,"Jon, Wyatt, Taylor",
BB14,BELE,,S,,16,2,14,18.3,13.9,NA,,395,12:45,7/22/21,"Jon, Wyatt, Taylor",
BB14,BELE,,W,,22,1,21,14.6,18.4,NA,,374,12:50,7/22/21,"Jon, Wyatt, Taylor",
BB16,BELE,,N,,16,4.5,11.5,16.4,31.1,NA,,368,14:05,7/22/21,"Jon, Wyatt, Taylor",
BB16,BELE,,E,,8,4.5,3.5,17.1,24.2,NA,,377,14:08,7/22/21,"Jon, Wyatt, Taylor",
BB16,BELE,,S,,16.5,2,14.5,17.2,19.4,NA,,381,14:10,7/22/21,"Jon, Wyatt, Taylor",
BB16,BELE,,W,,27,4.5,22.5,17.4,17.8,NA,,344,14:15,7/22/21,"Jon, Wyatt, Taylor",
BB16',BELE,,N,,9.5,3.5,6,17,14.6,NA,,409,14:37,7/22/21,"Jon, Wyatt, Taylor",
BB16',BELE,,E,,9.5,3.5,6,17.4,15.7,NA,,381,14:40,7/22/21,"Jon, Wyatt, Taylor",
BB16',BELE,,S,,16.5,5.5,11,17.1,19.5,NA,,440,14:45,7/22/21,"Jon, Wyatt, Taylor",
BB16',BELE,,W,,11,4.5,6.5,17.3,15.5,NA,,416,14:48,7/22/21,"Jon, Wyatt, Taylor",
WP101,PIST,,N,,12.5,4.5,8,17.9,16.4,NA,,438,15:56,7/22/21,"Jon, Wyatt, Taylor",
WP101,PIST,,E,,17,5,12,17.8,10,NA,,393,16:01,7/22/21,"Jon, Wyatt, Taylor",
WP101,PIST,,S,,14.5,6.5,8,17.9,21.1,NA,,398,16:06,7/22/21,"Jon, Wyatt, Taylor",
WP101,PIST,,W,,17,5,12,18.2,14,NA,,469,16:08,7/22/21,"Jon, Wyatt, Taylor",
WP102,PIST,,N,,17,5,12,18.2,16.3,NA,,469,16:09,7/22/21,"Jon, Wyatt, Taylor",
WP102,PIST,,E,,17,5,12,18.2,11.4,NA,,469,16:10,7/22/21,"Jon, Wyatt, Taylor",
WP102,PIST,,S,,17,5,12,18.2,20.8,NA,,469,16:11,7/22/21,"Jon, Wyatt, Taylor",
WP102,PIST,,W,,17,5,12,18.2,20.7,NA,,469,16:12,7/22/21,"Jon, Wyatt, Taylor",
WP103,PIST,,N,,17.5,4,13.5,18.8,11.6,NA,,400,17:00,,,
WP103,PIST,,E,,23.5,7,16.5,18,14.5,NA,,432,,,,
WP103,PIST,,S,,12,3,9,18,15.8,NA,,397,,,,
