"base","d13CH4_Heartwood","d13CH4_Sapwood","d13CO2_Heartwood","d13CO2_Sapwood","ch4_Heartwood","ch4_Sapwood","enrich_CH4","enrich_CO2"
"HM11",-9.21900805328778,-1.85633597200618,-21.2389642744097,-20.7210655318125,0.531289253877847,0.460975101554584,7.3626720812816,0.51789874259719
"HM15",7.66258439693486,0.958862309921248,-21.144288378875,-21.4681130817535,0.504845442621598,0.451799096572639,-6.70372208701361,-0.323824702878504
"HM2",-43.5713252660695,-27.2612085376673,-25.1755265396041,-24.7315396415139,3.13649716948194,0.824345178898125,16.3101167284021,0.443986898090245
"HM5",-63.4274832914437,-56.2884843717917,-20.7386523965636,-22.0130843386736,33.5556978190691,8.35840646496113,7.13899891965194,-1.27443194211001
"HX3",-1.5734215785856,0.96236561913194,-12.7303566458713,-22.2390958976736,0.402736155008443,0.474837666783021,2.53578719771754,-9.50873925180237
"HX4",-8.38609269755807,-1.41123948743403,-23.2340690845744,-21.8085734493403,0.57856015687436,0.436539201893612,6.97485321012404,1.42549563523413
"HX5",-12.0897562798913,-18.3940770740274,-20.3656994055675,-20.7006019187986,0.593130753726644,0.692203989683785,-6.30432079413605,-0.334902513231135
"HZ1",9.62751611239322,9.49754262087129,-22.268930556007,-22.6123034852708,0.479638554885972,0.437299229704305,-0.129973491521923,-0.343372929263861
"RM1",-56.5222070215417,-30.8984427841413,-23.1945535204722,-22.9018427685069,2.26482465304723,0.588281953777952,25.6237642374004,0.292710751965313
"RM13",-5.61070604991909,-17.969582947138,-21.8886681843889,-23.113972014809,0.906750755284236,0.718666785098194,-12.358876897219,-1.22530383042018
"RM16",-27.1201999065407,-20.1775190730561,-21.8648882166111,-21.9644861390347,0.802504574729481,0.542676875882639,6.9426808334846,-0.0995979224236123
"RM3",-59.0609880546702,-19.0479820493041,-22.3760726644375,-21.5733193649688,1.12198130012049,0.517728694922733,40.0130060053661,0.802753299468623
"RM302",-10.8023508379348,-21.7795366875139,-20.4352668515366,-21.3029459141319,2.61604906908467,2.1467901959375,-10.9771858495791,-0.867679062595361
"RM4",-55.3252795912926,-50.5707939495104,-20.1184705925889,-20.9165877989306,9.62112132289093,3.5570238860316,4.75448564178225,-0.798117206341651
"RM5",-54.0910385606243,-73.0692475686527,-20.2068287532916,-19.922673203191,0.589512675488992,0.779334220478193,-18.9782090080285,0.28415555010066
"RM6",-79.0387222338643,-66.7759914212881,-21.9126019037582,-21.8266511634097,32.0380898338682,2.89122108074757,12.2627308125762,0.0859507403485402
"RM7",-39.0243571333055,-56.5026197533195,-23.0841005176111,-23.1524602747882,0.947583087432292,1.6677826706125,-17.4782626200139,-0.0683597571771237
"RMN0",-80.5931444498687,-76.0533115231678,-17.1123908719635,-19.4025991869854,1939.79483915219,261.193360164818,4.53983292670087,-2.29020831502193
"RO102",-63.8864319085055,-64.6300599324322,-16.7480222485678,-18.618652520359,892.269756011612,683.527108074798,-0.743628023926732,-1.87063027179122
"RO103",-47.5665436714197,-48.1195233467179,-22.8678733141679,-22.9917411268535,110.807395253759,117.0766482637,-0.552979675298204,-0.123867812685585
"RO104",-52.7124485258723,-53.4357526409635,-20.741739021219,-20.219725147292,15.4081767067263,16.9264393218613,-0.723304115091196,0.522013873927015
"RO105",-68.8177384190329,-99.697396123764,-17.9637902130147,-21.0980514879583,143.460563285092,2.86835176649896,-30.8796577047311,-3.13426127494368
"RO18",-64.0679843811094,-69.610754743066,-19.9065400591752,-21.2200663788403,46.7058229629124,9.32084385198367,-5.54277036195661,-1.31352631966508
"RO3",-51.9193815005625,-60.4390102246112,-20.7653278817222,-22.240771308191,2.49732131107083,1.22166715386875,-8.51962872404864,-1.47544342646879
"RO7",-60.3509919004872,-56.757849358978,-16.5919505048608,-20.1292933570659,492.254981357435,25.4447917392674,3.59314254150924,-3.53734285220515
"RO8",-67.6607563814964,-60.5988313219549,-14.8281124263905,-19.5571141471597,810.913541796642,8.5859896613191,7.06192505954147,-4.72900172076918
"RO??",-61.6785929467216,-73.6708749864167,-18.482283506326,-24.5742662789028,405.567879237545,4.99840183668333,-11.9922820396952,-6.09198277257672
"ROZ1",-69.6525343679781,-71.3618255199268,-19.6521647272336,-20.8803151646557,349.305551106168,166.00816789348,-1.70929115194863,-1.22815043742209
"SM1",-67.0538038577129,-68.1366194878437,-20.8988702779491,-21.6133422407928,99.6997151554835,38.8361827298873,-1.08281563013084,-0.714471962843671
"SM1001",-75.1901734615928,-74.5220822062846,-22.0508138242254,-22.7161291169453,75.5838711948654,36.8174603834088,0.668091255308227,-0.665315292719832
"SM2",-55.0501469549617,-11.1484541939486,-23.3534832506516,-10.9094658472535,4.28597774837665,0.42019349399243,43.9016927610131,12.4440174033981
"SM3",-71.9832380607592,-71.9588927807802,-20.6658528457883,-22.7192115087253,554.143288993503,52.7998416288352,0.0243452799789878,-2.05335866293698
"SM4",-113.98504383191,-129.288651955069,-25.3157121832215,-24.9820784473611,0.849403636365468,0.753928846669166,-15.3036081231593,0.333633735860342
"SM5",-70.9646661161315,-70.4481050880949,-21.7256204795,-22.1724216904489,263.047124530365,140.883779181387,0.516561028036591,-0.446801210948916
"SM6",-87.8137204626875,-113.395026034583,-23.6629324638819,-23.3561818045382,2.4954172586382,2.40044728805556,-25.5813055718958,0.306750659343713
"SM7",-52.1323628986873,-55.3204382766007,-23.8209938891564,-23.4997499411575,43.2783128004,20.4472958936154,-3.18807537791348,0.32124394799887
"SM8",-119.655438157743,-119.094237129132,-21.7826833435139,-21.5706668584444,2.05681412891354,2.5915710765316,0.561201028611066,0.212016485069444
"SM9",-103.998392883063,-119.487098872215,-21.1387666115764,-20.8571023181806,1.48056290217986,1.4058480927757,-15.4887059891526,0.281664293395838
"WP101",-1.83196892059569,9.38624658486167,-23.8508009107083,-23.1046647942743,0.592591696645591,0.508517980468055,11.2182155054574,0.74613611643403
"WP102",34.8825323234708,50.0458371939338,-26.1331790752882,-26.3208106190383,0.489039807007639,0.462635424744773,15.163304870463,-0.187631543750118
"WP103",-39.7471979395,-27.2018746054055,-22.6572961664445,-22.0272369732951,1.89453791269375,0.953243355844166,12.5453233340944,0.630059193149343
"WP2",39.5617059983673,17.5472810906726,-25.6245434867847,-23.5796620770521,0.406615531891354,0.375653652515556,-22.0144249076947,2.04488140973263
"WP4",-46.0553398367944,16.2934005781897,-25.5866160435575,-21.0690221871667,3.64301692245714,0.435501249647292,62.3487404149841,4.51759385639082
"WP9",-25.0469557410879,-39.5078759964861,-21.2825108395139,-21.3267591153195,0.673993033296424,1.44762910820417,-14.4609202553982,-0.0442482758055718
"WPX22",-30.176752026107,-31.7030979933541,-10.1642180170667,-22.5993182014861,0.657037445672639,3.89817905611181,-1.52634596724711,-12.4351001844194
"WPX3",-25.0890615134445,-16.8579002143785,-22.4658765699583,-21.731105903173,1.13506995283055,0.531129189097612,8.23116129906601,0.734770666785273
"WPX4",-44.8923230547883,-11.8300876461175,-21.579274626416,-11.7020057505945,45.7442636713613,0.451407996880382,33.0622354086708,9.87726887582157
"WPX5",-5.76252405840417,-12.7280659505135,-20.1871024816736,-11.8757185471972,0.494827716241528,0.430561309300139,-6.96554189210931,8.31138393447642
