,✴✴✴TARGET MASS FOR SOIL: 250 mg✴✴✴,,,,,,,,,,,,
"BELE_BBX6
Soil_Mineral
Lab ID: 64e",269,7/29/2022,Qespi,,,,Plate 1,64,H8,,8/4/2022,Cade,8/4/2022
"BELE_BBX7
Soil_Mineral
Lab ID: 65e",253.3,7/29/2022,Qespi,,,,Plate 1,65,A9,,8/4/2022,Cade,8/4/2022
"BEPA_PB1
Soil_Mineral
Lab ID: 66e",269.4,7/29/2022,Qespi,,,,Plate 1,66,B9,,8/4/2022,Cade,8/4/2022
"BEPA_PB2
Soil_Mineral
Lab ID: 67e",256.1,7/29/2022,Qespi,,,,Plate 1,67,C9,,8/4/2022,Cade,8/4/2022
"BEPA_PB3
Soil_Mineral
Lab ID: 68e",250,7/29/2022,Qespi,,,,Plate 1,68,D9,,8/4/2022,Cade,8/4/2022
"BEPA_PB4
Soil_Mineral
Lab ID: 69e",253.6,7/29/2022,Qespi,,,,Plate 1,69,E9,,8/4/2022,Cade,8/4/2022
"BEPA_PB5
Soil_Mineral
Lab ID: 70e",251.4,7/29/2022,Qespi,,,,Plate 1,70,F9,,8/4/2022,Cade,8/4/2022
"BEPA_PB501
Soil_Mineral
Lab ID: 71e",252,7/29/2022,Qespi,,,,Plate 1,71,G9,,8/4/2022,Cade,8/4/2022
"CAOV_SH1
Soil_Mineral
Lab ID: 72e",251.8,8/1/2022,Qespi,,,,Plate 1,72,H9,,8/4/2022,Cade,8/4/2022
"FAGR_AB1
Soil_Mineral
Lab ID: 73e",250.6,7/29/2022,Qespi,,,,Plate 1,73,A10,,8/4/2022,Cade,8/4/2022
"FAGR_AB10
Soil_Mineral
Lab ID: 74e",253.6,7/29/2022,Qespi,,,,Plate 1,74,B10,,8/4/2022,Cade,8/4/2022
"FAGR_AB11
Soil_Mineral
Lab ID: 75e",250,7/29/2022,Qespi,,,,Plate 1,75,C10,,8/4/2022,Cade,8/4/2022
"FAGR_AB2
Soil_Mineral
Lab ID: 76e",251.2,7/29/2022,Qespi,,,,Plate 1,76,D10,,8/4/2022,Cade,8/4/2022
"FAGR_AB3
Soil_Mineral
Lab ID: 77e",,,,Missing sample,,,Plate 1,77,E10,Yes,8/4/2022,Cade,8/4/2022
"FAGR_AB3/5
Soil_Mineral
Lab ID: 78e",252.3,7/29/2022,Qespi,,,,Plate 1,78,F10,,8/4/2022,Cade,8/4/2022
"FAGR_AB4
Soil_Mineral
Lab ID: 79e",253,7/29/2022,Qespi,,,,Plate 1,79,G10,,8/4/2022,Cade,8/4/2022
"FAGR_AB4/6
Soil_Mineral
Lab ID: 80e",255.2,7/29/2022,Qespi,,,,Plate 1,80,H10,,8/4/2022,Cade,8/4/2022
"FAGR_AB5
Soil_Mineral
Lab ID: 81e",251.1,7/29/2022,Qespi,,,,Plate 1,81,A11,,8/4/2022,Cade,8/4/2022
"FAGR_AB501
Soil_Mineral
Lab ID: 82e",267.3,8/1/2022,Qespi,,,,Plate 1,82,B11,,8/4/2022,Cade,8/4/2022
"FAGR_AB6
Soil_Mineral
Lab ID: 83e",251.8,8/1/2022,Qespi,,,,Plate 1,83,C11,,8/4/2022,Cade,8/4/2022
"FAGR_AB6'
Soil_Mineral
Lab ID: 84e",255.3,8/1/2022,Qespi,,,,Plate 1,84,D11,,8/4/2022,Cade,8/4/2022
"FAGR_AB9
Soil_Mineral
Lab ID: 85e",250.5,8/1/2022,Qespi,,,,Plate 1,85,E11,,8/4/2022,Cade,8/4/2022
"FAGR_ABT14P
Soil_Mineral
Lab ID: 86e",260.8,8/1/2022,Qespi,,,,Plate 1,86,F11,,8/4/2022,Cade,8/4/2022
"FRAM_WA1
Soil_Mineral
Lab ID: 87e",252.2,8/1/2022,Qespi,,,,Plate 1,87,G11,,8/4/2022,Cade,8/4/2022
"FRAM_WA10
Soil_Mineral
Lab ID: 88e",261.7,8/1/2022,Qespi,,,,Plate 1,88,H11,,8/4/2022,Cade,8/4/2022
"FRAM_WA101
Soil_Mineral
Lab ID: 89e",256.5,8/1/2022,Qespi,,,,Plate 1,89,A12,,8/4/2022,Cade,8/4/2022
"FRAM_WA102
Soil_Mineral
Lab ID: 90e",,,,Missing sample ,,,Plate 1,90,B12,Yes,8/4/2022,Cade,8/4/2022
"FRAM_WA102
Soil_Mineral
Lab ID: 91e",,,,The sample is missing ,,,Plate 1,91,C12,Yes,8/4/2022,Cade,8/4/2022
"FRAM_WA103
Soil_Mineral
Lab ID: 92e",,,,sample missing ,,,Plate 1,92,D12,Yes,8/4/2022,Cade,8/4/2022
"FRAM_WA103*
Soil_Mineral
Lab ID: 93e",,,,sample missing ,,,Plate 1,93,E12,Yes,8/4/2022,Cade,8/4/2022
"FRAM_WA104
Soil_Mineral
Lab ID: 94e",252.4,8/1/2022,Qespi,,,,Plate 1,94,F12,,8/4/2022,Cade,8/4/2022
"FRAM_WA12
Soil_Mineral
Lab ID: 95e",257,8/1/2022,Qespi,,,,Plate 1,95,G12,,8/4/2022,Cade,8/4/2022
"FRAM_WA14
Soil_Mineral
Lab ID: 96e",,,,The sample is missing ,,,Plate 1,96,H12,Yes,8/4/2022,Cade,8/4/2022
"FRAM_WA14
Soil_Mineral
Lab ID: 97e",,,,miaing sample,,,Plate 2,1,A1,Yes,8/5/2022,Cade,8/5/2022
"FRAM_WA15
Soil_Mineral
Lab ID: 98e",250.8,8/1/2022,Qespi,,,,Plate 2,2,B1,,8/5/2022,Cade,8/5/2022
"FRAM_WA5
Soil_Mineral
Lab ID: 99e",251.3,8/1/2022,Qespi,,,,Plate 2,3,C1,,8/5/2022,Cade,8/5/2022
"FRAM_WAX1
Soil_Mineral
Lab ID: 100e",,,,Missing sample,,,Plate 2,4,D1,Yes,8/5/2022,Cade,8/5/2022
"KALA_ML2
Soil_Mineral
Lab ID: 101e",251,8/1/2022,Qespi,,,,Plate 2,5,E1,,8/5/2022,Cade,8/5/2022
"KALA_MLGP
Soil_Mineral
Lab ID: 102e",250.5,8/1/2022,Qespi,,,,Plate 2,6,F1,,8/5/2022,Cade,8/5/2022
"PIST_WP101
Soil_Mineral
Lab ID: 103e",253.4,8/1/2022,Qespi ,,,,Plate 2,7,G1,,8/5/2022,Cade,8/5/2022
"PIST_WP102
Soil_Mineral
Lab ID: 104e",,,,Sample missing ,,,Plate 2,8,H1,Yes,8/5/2022,Cade,8/5/2022
"PIST_WP103
Soil_Mineral
Lab ID: 105e",250.8,8/1/2022,Qespi,,,,Plate 2,9,A2,,8/5/2022,Cade,8/5/2022
"PIST_WP2
Soil_Mineral
Lab ID: 106e",250.8,8/1/2022,Qespi,,,,Plate 2,10,B2,,8/5/2022,Cade,8/5/2022
"PIST_WP3
Soil_Mineral
Lab ID: 107e",,,,Sample is missing,,,Plate 2,11,C2,Yes,8/5/2022,Cade,8/5/2022
"PIST_WP4
Soil_Mineral
Lab ID: 108e",,,,"N/A sample not available, this what is written in the sample bag.",,,Plate 2,12,D2,Yes,8/5/2022,Cade,8/5/2022
"PIST_WP401
Soil_Mineral
Lab ID: 109e",250,8/1/2022,Qespi,,,,Plate 2,13,E2,,8/5/2022,Cade,8/5/2022
"PIST_WP402
Soil_Mineral
Lab ID: 110e",250.8,8/1/2022,Qespi,,,,Plate 2,14,F2,,8/5/2022,Cade,8/5/2022
"PIST_WP403
Soil_Mineral
Lab ID: 111e",256.2,8/1/2022,Qespi,,,,Plate 2,15,G2,,8/5/2022,Cade,8/5/2022
"PIST_WP5
Soil_Mineral
Lab ID: 112e",250.7,8/1/2022,Qespi,,,,Plate 2,16,H2,,8/5/2022,Cade,8/5/2022
"PIST_WP6
Soil_Mineral
Lab ID: 113e",252.8,8/1/2022,Qespi,,,,Plate 2,17,A3,,8/5/2022,Cade,8/5/2022
"PIST_WP7
Soil_Mineral
Lab ID: 114e",251.2,8/1/2022,Qespi,,,,Plate 2,18,B3,,8/5/2022,Cade,8/5/2022
"PIST_WP8
Soil_Mineral
Lab ID: 115e",255.6,8/1/2022,Qespi,,,,Plate 2,19,C3,,8/5/2022,Cade,8/5/2022
"PIST_WP9
Soil_Mineral
Lab ID: 116e",252.8,8/1/2022,Qespi,,,,Plate 2,20,D3,,8/5/2022,Cade,8/5/2022
"PIST_WPBERENICE
Soil_Mineral
Lab ID: 117e",,,,Missing sample,,,Plate 2,21,E3,Yes,8/5/2022,Cade,8/5/2022
"PIST_WPX2
Soil_Mineral
Lab ID: 118e",255,8/1/2022,Qespi,,,,Plate 2,22,F3,,8/5/2022,Cade,8/5/2022
"PIST_WPX22
Soil_Mineral
Lab ID: 119e",,,,Sample is missing ,,,Plate 2,23,G3,Yes,8/5/2022,Cade,8/5/2022
"PIST_WPX5
Soil_Mineral
Lab ID: 120e",266.4,8/1/2022,Qespi,,,,Plate 2,24,H3,,8/5/2022,Cade,8/5/2022
"PIST_WPX7
Soil_Mineral
Lab ID: 121e",269.9,8/1/2022,Qespi,,,,Plate 2,25,A4,,8/5/2022,Cade,8/5/2022
"PRSE_BC1
Soil_Mineral
Lab ID: 122e",251.6,8/1/2022,Qespi,,,,Plate 2,26,B4,,8/5/2022,Cade,8/5/2022
"PRSE_BC2
Soil_Mineral
Lab ID: 123e",255.1,8/1/2022,Qespi,,,,Plate 2,27,C4,,8/5/2022,Cade,8/5/2022
"PRSE_BC4
Soil_Mineral
Lab ID: 124e",251.3,8/1/2022,Qespi,,,,Plate 2,28,D4,,8/5/2022,Cade,8/5/2022
"QUAL_WO1
Soil_Mineral
Lab ID: 125e",252.3,8/1/2022,Qespi,,,,Plate 2,29,E4,,8/5/2022,Cade,8/5/2022
"QURU_BOWSER
Soil_Mineral
Lab ID: 126e",,,,,,,Plate 2,30,F4,Yes,8/5/2022,Cade,8/5/2022
"QURU_RO1
Soil_Mineral
Lab ID: 127e",251.9,8/1/2022,Qespi,,,,Plate 2,31,G4,,8/5/2022,Cade,8/5/2022
"QURU_RO10
Soil_Mineral
Lab ID: 128e",250.7,8/1/2022,Qespi,,,,Plate 2,32,H4,,8/5/2022,Cade,8/5/2022
"QURU_RO101
Soil_Mineral
Lab ID: 129e",250.9,8/1/2022,Qespi,,,,Plate 2,33,A5,,8/5/2022,Cade,8/5/2022
"QURU_RO102
Soil_Mineral
Lab ID: 130e",250.7,8/1/2022,Qespi,,,,Plate 2,34,B5,,8/5/2022,Cade,8/5/2022
"QURU_RO103
Soil_Mineral
Lab ID: 131e",251.1,8/1/2022,Qespi,,,,Plate 2,35,C5,,8/5/2022,Cade,8/5/2022
"QURU_RO104
Soil_Mineral
Lab ID: 132e",253,8/1/2022,Qespi,,,,Plate 2,36,D5,,8/5/2022,Cade,8/5/2022
"QURU_RO105
Soil_Mineral
Lab ID: 133e",253.7,8/1/2022,Qespi,,,,Plate 2,37,E5,,8/5/2022,Cade,8/5/2022
"QURU_RO11
Soil_Mineral
Lab ID: 134e",,,,The Sample is missing ,,,Plate 2,38,F5,Yes,8/5/2022,Cade,8/5/2022
"QURU_RO13
Soil_Mineral
Lab ID: 135e",258,8/1/2022,Qespi,,,,Plate 2,39,G5,,8/5/2022,Cade,8/5/2022
"QURU_RO2
Soil_Mineral
Lab ID: 136e",255.4,8/1/2022,Qespi,,,,Plate 2,40,H5,,8/5/2022,Cade,8/5/2022
"QURU_RO3
Soil_Mineral
Lab ID: 137e",255.7,8/1/2022,Qespi,,,,Plate 2,41,A6,,8/5/2022,Cade,8/5/2022
"QURU_RO7
Soil_Mineral
Lab ID: 138e",,,,Missing sample,,,Plate 2,42,B6,Yes,8/5/2022,Cade,8/5/2022
"QURU_RO8
Soil_Mineral
Lab ID: 139e",,,,The sample is missing ,,,Plate 2,43,C6,Yes,8/5/2022,Cade,8/5/2022
"QURU_RO9
Soil_Mineral
Lab ID: 140e",253.2,8/1/2022,Qespi,,,,Plate 2,44,D6,,8/5/2022,Cade,8/5/2022
"QUVE_BO1
Soil_Mineral
Lab ID: 141e",254.2,8/1/2022,Qespi,,,,Plate 2,45,E6,,8/5/2022,Cade,8/5/2022
"SAAL_SA1
Soil_Mineral
Lab ID: 142e",252.2,8/1/2022,Qespi,,,,Plate 2,46,F6,,8/5/2022,Cade,8/5/2022
"TSCA_H101
Soil_Mineral
Lab ID: 143e",255.6,8/1/2022,Qespi,,,,Plate 2,47,G6,,8/5/2022,Cade,8/5/2022
"TSCA_H102
Soil_Mineral
Lab ID: 144e",254.1,8/1/2022,Qespi,,,,Plate 2,48,H6,,8/5/2022,Cade,8/5/2022
"TSCA_H103
Soil_Mineral
Lab ID: 145e",254.9,8/1/2022,Qespi,,,,Plate 2,49,A7,,8/5/2022,Cade,8/5/2022
"TSCA_H104
Soil_Mineral
Lab ID: 146e",252.5,8/1/2022,Qespi,,,,Plate 2,50,B7,,8/5/2022,Cade,8/5/2022
"TSCA_H2
Soil_Mineral
Lab ID: 147e",250.4,8/1/2022,Qespi,,,,Plate 2,51,C7,,8/5/2022,Cade,8/5/2022
"TSCA_H3
Soil_Mineral
Lab ID: 148e",,,,Missing sample ,,,Plate 2,52,D7,Yes,8/5/2022,Cade,8/5/2022
"TSCA_H301
Soil_Mineral
Lab ID: 149e",250.2,8/1/2022,Qespi,,,,Plate 2,53,E7,,8/5/2022,Cade,8/5/2022
"TSCA_H4
Soil_Mineral
Lab ID: 150e",,,,The sample is missing ,,,Plate 2,54,F7,Yes,8/5/2022,Cade,8/5/2022
"TSCA_H5
Soil_Mineral
Lab ID: 151e",255.5,8/1/2022,Qespi,,,,Plate 2,55,G7,,8/5/2022,Cade,8/5/2022
"TSCA_H8
Soil_Mineral
Lab ID: 152e",258.7,8/1/2022,Qespi,,,,Plate 2,56,H7,,8/5/2022,Cade,8/5/2022
"TSCA_H9
Soil_Mineral
Lab ID: 153e",251.4,8/1/2022,Qespi,,,,Plate 2,57,A8,,8/5/2022,Cade,8/5/2022
"TSCA_HX2
Soil_Mineral
Lab ID: 154e",250.8,8/1/2022,Qespi,,,,Plate 2,58,B8,,8/5/2022,Cade,8/5/2022
"TSCA_HX3
Soil_Mineral
Lab ID: 155e",255.6,8/1/2022,Qespi,,,,Plate 2,59,C8,,8/5/2022,Cade,8/5/2022
"TSCA_HX4
Soil_Mineral
Lab ID: 156e",250.3,8/1/2022,Qespi,,,,Plate 2,60,D8,,8/5/2022,Cade,8/5/2022
"TSCA_HX5
Soil_Mineral
Lab ID: 157e",,,,Sample is missing ,,,Plate 2,61,E8,Yes,8/5/2022,Cade,8/5/2022
"TSCA_HZ1
Soil_Mineral
Lab ID: 158e",255.7,8/1/2022,Qespi,,,,Plate 2,62,F8,,8/5/2022,Cade,8/5/2022
