consensus_tree_id,normalized_id,Plot,DBH,source,variant_1,variant_2,name_in_datasheets,name_in_trees_dbh,name_in_labels,name_in_flux_temp,name_in_flux_dimensions,name_in_soil_data,name_in_ddpcr_data,name_variants
H4,h4,Lowland,31.5,datasheets,H4,NA,H4,H4,H4,H4,H4,H4,H4,7
H5,h5,Lowland,44,datasheets,H5,NA,H5,H5,H5,H5,H5,H5,H5,7
H6,h6,Lowland,40.5,trees_dbh,H6,NA,NA,H6,H6,NA,NA,NA,NA,2
H8,h8,Lowland,42.5,datasheets,H8,NA,H8,H8,H8,H8,H8,H8,H8,7
H9,h9,Lowland,30.5,datasheets,H9,NA,H9,H9,H9,H9,H9,H9,H9,7
HM7,h7,Lowland,30.5,datasheets,HM7,H7,HM7,H7,H7,HM7,HM7,NA,NA,5
ML1,ml1,Lowland,4.1,datasheets,ML1,NA,ML1,NA,NA,ML1,ML1,ML1,NA,4
ML2,ml2,Lowland,7,datasheets,ML2,NA,ML2,NA,NA,ML2,ML2,ML2,ML2,5
ML3,ml3,Lowland,4,datasheets,ML3,NA,ML3,NA,NA,ML3,ML3,ML3,NA,4
OB501,pb501,Lowland,32,datasheets,OB501,PB501,OB501,NA,NA,OB501,OB501,PB501,PB501,5
PB1,pb1,Lowland,28.5,datasheets,PB1,NA,PB1,PB1,PB1,PB1,PB1,PB1,PB1,7
PB2,pb2,Lowland,33,datasheets,PB2,NA,PB2,PB2,PB2,PB2,PB2,PB2,PB2,7
PB3,pb3,Lowland,33.8,datasheets,PB3,NA,PB3,PB3,PB3,PB3,PB3,PB3,PB3,7
PB4,pb4,Lowland,23,trees_dbh,PB4,PB4?,PB4 | PB4?,PB4,PB4,PB4 | PB4?,PB4 | PB4?,PB4,PB4,10
PB5,pb5,Lowland,37.5,trees_dbh,PB5,NA,NA,PB5,PB5,NA,NA,PB5,PB5,4
RM1,rm1,Lowland,36.5,datasheets,RM1,NA,RM1,RM1,RM1,RM1,RM1,RM1,RM1,7
RM10,rm10,Lowland,29,datasheets,RM10,NA,RM10,RM10,RM10,RM10,RM10,RM10,RM10,7
RM11,rm11,Lowland,40.5,trees_dbh,RM11,NA,NA,RM11,RM11,NA,NA,NA,NA,2
RM12,rm12,Lowland,27,trees_dbh,RM12,NA,NA,RM12,RM12,NA,NA,NA,NA,2
RM13,rm13,Lowland,26.5,trees_dbh,RM13,NA,NA,RM13,RM13,NA,NA,NA,NA,2
RM14,rm14,Lowland,26.5,datasheets,RM14,NA,RM14,RM14,RM14,RM14,RM14,RM14,RM14,7
RM16,rm16,Lowland,33.5,trees_dbh,RM16,NA,NA,RM16,RM16,NA,NA,NA,NA,2
RM2,rm2,Lowland,36.5,datasheets,RM2,NA,RM2,RM2,RM2,RM2,RM2,RM2,RM2,7
RM3,rm3,Lowland,36,datasheets,RM3,NA,RM3,RM3,RM3,RM3,RM3,RM3,RM3,7
RM4,rm4,Lowland,38,datasheets,RM4,NA,RM4,RM4,RM4,NA,RM4,RM4,RM4,6
