"family","p","t","FDR"
"Syntrophomonadaceae",0.252187221530771,1.13496720786813,0.675790253330176
"Isosphaeraceae",0.255448474972529,-1.13029985039422,0.675790253330176
"Micromonosporaceae",0.260661383550696,-1.11494320943754,0.675790253330176
"Caulobacteraceae",0.281586968013063,-1.06786640222898,0.675790253330176
"Hymenobacteraceae",0.283724843820831,-1.0628301310806,0.675790253330176
"Parachlamydiaceae",0.286370191138427,-1.05750759445897,0.675790253330176
"Sphingobacteriaceae",0.29845933746581,-1.0302742860176,0.675790253330176
"Polyangiaceae",0.302555659843466,-1.02167710709965,0.675790253330176
"Reyranellaceae",0.316669623362567,-0.992579591811713,0.675790253330176
"Myxococcaceae",0.320997193901709,-0.983294233484269,0.675790253330176
"Kineosporiaceae",0.321033600728717,-1.00888396782011,0.675790253330176
"Pedosphaeraceae",0.321570458966137,-0.988286974653387,0.675790253330176
"Tepidisphaeraceae",0.334665124144078,-0.957483443858805,0.675790253330176
"Xanthomonadaceae",0.33559342273078,-0.954476274893649,0.675790253330176
"Nocardioidaceae",0.337895126665088,-0.956319338528027,0.675790253330176
"Sandaracinaceae",0.365355087738721,-0.897447633633827,0.716382524977885
"Unknown Family",0.389843051202346,-0.853552476107082,0.744266960850258
"Cytophagaceae",0.394461489250637,-0.888652850194539,0.744266960850258
"Comamonadaceae",0.410853208282091,-0.815932731850137,0.748388441534353
"Oligoflexaceae",0.411613642843894,-0.813121686232735,0.748388441534353
"Solibacteraceae",0.424475996136377,-0.796170572997416,0.752935770404366
"Ruminococcaceae",0.429173389130489,0.78301492959966,0.752935770404366
"Fimbriimonadaceae",0.458621907017846,-0.734272285600484,0.784727290896756
"Cellulomonadaceae",0.47009833158162,-0.715274925833009,0.784727290896756
"Acetobacteraceae",0.470836374538053,-0.714344968547343,0.784727290896756
"Pectobacteriaceae",0.481433632408535,-0.69714253352868,0.789235462964811
"Abditibacteriaceae",0.494197908496346,-0.677030012385313,0.797093400800558
"Rhodobacteraceae",0.502378185798914,-0.723254990161668,0.797425691744308
"Acidobacteriaceae (Subgroup 1)",0.519243969331279,-0.638038764829669,0.797603506226387
"Flavobacteriaceae",0.526742634445671,-0.627037269094864,0.797603506226387
"Mycobacteriaceae",0.559072192466673,-0.577500083368511,0.797603506226387
"Moraxellaceae",0.560880804781746,-0.575722003909785,0.797603506226387
"Xanthobacteraceae",0.569587553725288,-0.564093503238416,0.797603506226387
"Beijerinckiaceae",0.569782015416065,-0.562724734467051,0.797603506226387
"Frankiaceae",0.571360946558196,-0.560323033682666,0.797603506226387
"Diplorickettsiaceae",0.572892611213759,-0.55782685721414,0.797603506226387
"Pseudomonadaceae",0.574274524482999,-0.55644495151838,0.797603506226387
"Oscillospiraceae",0.60962099479669,0.505472626292513,0.825791491342845
"Chthonomonadaceae",0.61558429110333,-0.498216550981121,0.825791491342845
"Microbacteriaceae",0.619343618507133,-0.492481206278132,0.825791491342845
"Micrococcaceae",0.628382453111958,-0.478997227983241,0.826819017252577
"Intrasporangiaceae",0.65506874521973,-0.443166303998975,0.832803044400175
"Micropepsaceae",0.668131853398782,0.426323102897723,0.832803044400175
"Rhodanobacteraceae",0.668480395085049,-0.423824392543037,0.832803044400175
"Sporomusaceae",0.672759353119421,0.418088382145996,0.832803044400175
"Solirubrobacteraceae",0.68338635978191,-0.403587670327136,0.832803044400175
"Legionellaceae",0.687205523209253,-0.398677296416631,0.832803044400175
"Obscuribacteraceae",0.691226526852145,-0.39349863056249,0.832803044400175
"Haliangiaceae",0.708147923388138,-0.372936839826044,0.840699678017833
"A4b",0.714594726315158,-0.362540890277791,0.840699678017833
"Paenibacillaceae",0.762366524134833,-0.298677699700038,0.872967375877833
"Anaerovoracaceae",0.764822608975033,-0.296012007624894,0.872967375877833
"Burkholderiaceae",0.768211290772493,0.291748516359213,0.872967375877833
"Clostridiaceae",0.806496592288845,0.242397796908017,0.906175946391961
"Corynebacteriaceae",0.853449591796319,-0.182821970005577,0.938263712540241
"Lactobacillaceae",0.85381997841162,-0.182299508334121,0.938263712540241
"Family XI",0.873818320378772,-0.15718618377912,0.941074683139594
"Staphylococcaceae",0.875199455319823,-0.155385929323326,0.941074683139594
"Sedimentibacteraceae",0.888024583008855,-0.139367381715076,0.94470700320091
"Acidothermaceae",0.909401555076721,-0.112628129141912,0.957264794817601
"Bacteroidaceae",0.946553427409192,-0.0662125566506142,0.975475489087275
"Streptococcaceae",0.955371860140295,0.0556509656997232,0.975475489087275
"Opitutaceae",0.963925539593138,0.0454513795096996,0.975475489087275
"Oxalobacteraceae",0.965720734196403,0.042522703418264,0.975475489087275
"Enterobacteriaceae",0.98278658860256,-0.0212913679741661,0.98278658860256
