"tree_id","species","x","y","dbh_m","BasalArea_m2","mean_flux_nmol","mean_flux_mg","mean_moisture"
1710,"TSCA",-72.1299142404215,41.9902654246346,0.135,0.0143138815279185,0.0294850341602113,0.0407601112230761,22.1458390585943
1712,"ACSA",-72.1299304305728,41.9902593278324,0.22,0.0380132711084365,0.0294589887307368,0.0407241060213705,22.8784345537772
1714,"ACRU",-72.1301441367824,41.9902389377051,0.35,0.0962112750161874,0.0369887210160845,0.0511332079326352,31.6343608831911
1715,"PIST",-72.1288271595676,41.989632552417,0.015,0.000176714586764426,0.0281922646870162,0.0389729867033312,19.2175400039774
1716,"PIST",-72.1289424675892,41.9896851076925,0.014,0.0001539380400259,0.0283966096526735,0.0392554731838559,20.4094326205509
1717,"PIST",-72.1289220007037,41.9896833381827,0.01,7.85398163397448e-05,0.0283966096526735,0.0392554731838559,20.4094326205509
1718,"KALA",-72.1303572015632,41.9905526929277,0.012,0.000113097335529233,0.039814116511526,0.0550390346655335,35.2947796656258
1720,"PIST",-72.1288134266499,41.9896645407171,0.012,0.000113097335529233,0.0281922646870162,0.0389729867033312,19.1914488359498
1722,"PIST",-72.128935738418,41.9896823992653,0.016,0.000201061929829747,0.0283966096526735,0.0392554731838559,20.4094326205509
1723,"PIST",-72.1288783279407,41.9896447385757,0.02,0.000314159265358979,0.0281741815811802,0.0389479886178235,19.4663549944281
1725,"PIST",-72.1286216480612,41.9896028748714,0.017,0.000226980069221863,0.0284041946491417,0.0392659586829735,20.4430846117264
1726,"KALA",-72.1303694050492,41.9905944729585,0.024,0.00045238934211693,0.040305931546444,0.0557189197698042,38.2515075434277
1728,"PIST",-72.1288294614778,41.9895607114198,0.042,0.0013854423602331,0.0282226019268261,0.0390149249036444,18.3266447137222
1729,"PIST",-72.1285927639267,41.989558908001,0.057,0.00255175863287831,0.0285059315149316,0.0394065997262415,20.6259536151881
1730,"PIST",-72.1296434044756,41.9902573229501,0.013,0.000132732289614169,0.0287025364143369,0.0396783863391793,21.0116331557178
1732,"KALA",-72.1303773204216,41.9905662880776,0.015,0.000176714586764426,0.0402659466498861,0.0556636446488026,37.985604139928
1733,"KALA",-72.1299751924878,41.9905108445244,0.013,0.000132732289614169,0.0300975783382022,0.0416068922947307,23.8268571013972
1734,"KALA",-72.1299008909134,41.9904874082425,0.028,0.000615752160103599,0.0286360589754303,0.0395864879276349,21.0764651019379
1735,"PIST",-72.1286596421791,41.9896343378586,0.013,0.000132732289614169,0.0284042644145892,0.0392660551267281,20.260215608546
1736,"KALA",-72.1299723145561,41.9904867242106,0.016,0.000201061929829747,0.0302803655400272,0.0418595773225336,24.2328431074807
1737,"PIST",-72.1288080251631,41.9896355235367,0.021,0.000346360590058275,0.0282278291536403,0.0390221510219924,18.9687250133391
1738,"KALA",-72.1298431280492,41.9904460492293,0.014,0.0001539380400259,0.0295631536635262,0.0408681036244586,22.3941175399466
1740,"PIST",-72.1288177535099,41.9895427391939,0.017,0.000226980069221863,0.0283536121365038,0.0391960334175028,17.8551059006608
1741,"KALA",-72.1299221879243,41.9904235361589,0.019,0.000283528736986479,0.0291433923722677,0.0402878256154228,21.7293024851104
1742,"PIST",-72.1289171482378,41.9895795106702,0.013,0.000132732289614169,0.0282232519738822,0.0390158235286947,19.0469985174218
1743,"PIST",-72.1288924883315,41.989657553051,0.018,0.000254469004940773,0.028277881910971,0.0390913439537263,19.9378938074895
1744,"KALA",-72.1295407714955,41.9897215219172,0.011,9.50331777710913e-05,0.032368385560567,0.0447460561989279,25.8346652942204
1745,"KALA",-72.1284939793964,41.9903221791071,0.015,0.000176714586764426,0.028582853834221,0.0395129371404272,16.9011204016603
1746,"PIST",-72.1288647142829,41.9895415890638,0.018,0.000254469004940773,0.0282226019268261,0.0390149249036444,18.3527358817498
1747,"PIST",-72.1289245818819,41.9896051414108,0.015,0.000176714586764426,0.0281820911713135,0.0389589228352238,19.5111263396569
1748,"KALA",-72.1302871685504,41.9904905489213,0.012,0.000113097335529233,0.0365470279445283,0.0505226114305159,29.4086894849235
1751,"PIST",-72.128849030545,41.9896491171734,0.035,0.000962112750161874,0.0281741815811802,0.0389479886178235,19.4402638264005
1752,"PIST",-72.1296530781148,41.9902631568419,0.011,9.50331777710913e-05,0.0295029853757553,0.0407849269834441,22.6490168025363
1753,"PIST",-72.1286686135989,41.9896327742169,0.011,9.50331777710913e-05,0.0282016909757423,0.0389860176048662,19.8054426774322
1754,"PIST",-72.1289915151855,41.9895819527709,0.01,7.85398163397448e-05,0.0280903457519096,0.0388320939674398,19.6552350227823
1755,"PIST",-72.1296174688913,41.9902475312384,0.011,9.50331777710913e-05,0.0291649120945257,0.0403175744794724,21.7922874375813
1756,"KALA",-72.1295000041819,41.9903024515063,0.016,0.000201061929829747,0.0304114487740376,0.0420407867852296,24.3011816485527
1758,"PIST",-72.1288765107788,41.9896782887501,0.015,0.000176714586764426,0.028277881910971,0.0390913439537263,19.9118026394619
1759,"PIST",-72.128911627574,41.9896856313129,0.016,0.000201061929829747,0.0282822626672123,0.0390973999111544,20.1606176301001
1760,"PIST",-72.1288027526138,41.9895334673295,0.027,0.00057255526111674,0.0283536121365038,0.0391960334175028,17.8551059006608
1761,"PIST",-72.1286744809606,41.9894993029982,0.013,0.000132732289614169,0.0281638568726647,0.0389337157407717,18.853778930509
1762,"PIST",-72.1288958529148,41.9896589072659,0.014,0.0001539380400259,0.028277881910971,0.0390913439537263,19.9378938074895
1763,"PIST",-72.1289032648189,41.9895448157272,0.019,0.000283528736986479,0.0281694072093094,0.0389413885261494,18.6015508722005
1764,"KALA",-72.1302739255429,41.9905152959616,0.02,0.000314159265358979,0.0335351943457861,0.0463590526636147,27.2991044941566
1765,"PIST",-72.1288713958642,41.9896894898934,0.011,9.50331777710913e-05,0.0282822626672123,0.0390973999111544,20.1345264620726
1766,"PIST",-72.1296604377588,41.9902632082575,0.011,9.50331777710913e-05,0.0295029853757553,0.0407849269834441,22.6490168025363
1767,"BELE",-72.1291883028014,41.9898451781514,0.043,0.00145220120412188,0.030025899230523,0.0415078030962749,23.4061561703003
1768,"PIST",-72.1288432183749,41.9896839700963,0.017,0.000226980069221863,0.028081969263623,0.0388205143100324,19.6629876490112
1769,"PIST",-72.1289186908409,41.9895833656638,0.01,7.85398163397448e-05,0.0282232519738822,0.0390158235286947,19.0469985174218
1770,"KALA",-72.129081733453,41.989652222823,0.01,7.85398163397448e-05,0.0294497290310016,0.0407113054124566,22.8232784942977
1771,"KALA",-72.1290834788221,41.9896086180653,0.016,0.000201061929829747,0.0294850341602113,0.0407601112230761,22.1153300776435
1772,"KALA",-72.1303687719215,41.9905816052343,0.013,0.000132732289614169,0.0399559197650342,0.0552350634831833,35.9615477448431
1773,"KALA",-72.1299395883836,41.9905262684161,0.018,0.000254469004940773,0.0290069533025132,0.0400992122453942,21.5467859682764
1775,"PIST",-72.1290086150172,41.989566843359,0.017,0.000226980069221863,0.0280903457519096,0.0388320939674398,19.6552350227823
1776,"ACRU",-72.1292272070832,41.9898676282107,0.061,0.0029224665660019,0.0296966690508959,0.0410526752959584,23.1312430284467
1777,"PIST",-72.12901366311,41.9895766370251,0.012,0.000113097335529233,0.0280903457519096,0.0388320939674398,19.6552350227823
1778,"KALA",-72.1298830755879,41.9904174966891,0.013,0.000132732289614169,0.0295631536635262,0.0408681036244586,22.388128704021
1779,"PIST",-72.1289064885009,41.9895415854793,0.014,0.0001539380400259,0.0281694072093094,0.0389413885261494,18.6015508722005
1780,"KALA",-72.1295621716642,41.9902786378136,0.012,0.000113097335529233,0.0295616956609297,0.0408660880816692,22.486672409554
1781,"KALA",-72.1294448375948,41.9902760436956,0.027,0.00057255526111674,0.030025899230523,0.0415078030962749,23.3909619855778
1782,"PIST",-72.1289121122486,41.9896473404891,0.013,0.000132732289614169,0.028277881910971,0.0390913439537263,19.9378938074895
1783,"PIST",-72.1289068540305,41.9896384324737,0.014,0.0001539380400259,0.0282090371840516,0.0389961730032329,19.7151699850663
1784,"KALA",-72.129081103054,41.9896548797896,0.011,9.50331777710913e-05,0.0294497290310016,0.0407113054124566,22.8232784942977
1785,"KALA",-72.1298831473991,41.9904275512686,0.012,0.000113097335529233,0.0294850341602113,0.0407601112230761,22.170516243026
