"Model","Variable","%IncMSE","IncNodePurity"
"v3_complete","log_mmox_sap",-0.064858227313984,0.0730639068985172
"v3_complete","log_methanotroph_heart",1.82007060998678,0.0579501067129387
"v3_complete","log_methanotroph_sap",4.87200061670248,0.348343560142037
"v3_complete","log_soil_mcra",3.77817526341121,0.237608481050676
"v3_complete","log_soil_pmoa",1.10982132655452,0.177847883845373
"v3_complete","log_soil_mmox",0.150944503213764,0.0783369356050264
"v4_roughfix","species",12.9597108164304,1.8896586573721
"v4_roughfix","dbh_norm",3.20632181861537,0.382790783541263
"v4_roughfix","log_mcra_heart",6.56170439947801,1.17544547499718
"v4_roughfix","log_mcra_sap",3.51002821590829,0.555833235354263
"v4_roughfix","log_pmoa_heart",3.99359044236353,0.482448494802011
"v4_roughfix","log_pmoa_sap",4.01771194411703,0.676107506929811
