"family","p","t","FDR","mean_pct"
"Dysgonomonadaceae",0.344996887554799,0.934025302547142,0.710701493915665,0.00212851399710315
"Rhizobiaceae",0.347585288439475,-0.928474396886547,0.710701493915665,0.00849332745451404
"Sedimentibacteraceae",0.357491466236513,0.909591847398357,0.710701493915665,0.00739629939506331
"Acidothermaceae",0.367452052496702,0.90063257351346,0.710701493915665,0.023468765716901
"Methylacidiphilaceae",0.373709406270285,0.879267187646561,0.710701493915665,0.000987910458252354
"Ethanoligenenaceae",0.374561463627059,-0.877306801519295,0.710701493915665,0.0029241499612955
"Cellulomonadaceae",0.375991247562919,-0.876451317902204,0.710701493915665,0.0446645312813006
"Eggerthellaceae",0.377691624434381,-0.887065357127754,0.710701493915665,0.00256973418065394
"Rhodobacteraceae",0.382287961143225,-0.865532685225197,0.710701493915665,0.000933584454221185
"Micrococcaceae",0.386154380842823,0.860002648225674,0.710701493915665,0.00145262064275072
"Christensenellaceae",0.390495326327288,0.850630336945254,0.710701493915665,0.00145774006170153
"Ilumatobacteraceae",0.403132003344195,-0.826015368556607,0.710715250250622,0.00221341288084523
"Frankiaceae",0.406643628506943,0.819990203398656,0.710715250250622,0.0113658830611486
"Fimbriimonadaceae",0.413933057838274,0.816555243487238,0.710715250250622,0.00131175378585836
"Pedosphaeraceae",0.427476115779511,0.813604409881232,0.720376417332138,0.000405245067839977
"Bdellovibrionaceae",0.440681245921744,-0.787679676854034,0.729127152343249,0.000965606493672311
"Xanthobacteraceae",0.469671235684815,0.717114280437842,0.763215757987824,0.0158659364616618
"Abditibacteriaceae",0.478755678286045,0.704638215670966,0.764329240772457,0.000558108610427725
"Staphylococcaceae",0.490339951702749,-0.684492029293997,0.769326475947417,0.00241877335091968
"Clostridiaceae",0.520673515280526,0.634777190390847,0.803072710008947,0.00641867969596851
"Moraxellaceae",0.545836527122925,-0.596932525518919,0.824545561031661,0.00147881751102381
"Obscuribacteraceae",0.556360970643628,0.581797495511504,0.824545561031661,0.00102445881262335
"Methanobacteriaceae",0.574459581143465,-0.559270468878787,0.824545561031661,0.0274900332555138
"Mycobacteriaceae",0.580812229857065,-0.545336372806601,0.824545561031661,0.00980963103228855
"Solirubrobacteraceae",0.589033296980032,-0.535452342401083,0.824545561031661,0.0355298359441884
"Myxococcaceae",0.596452329387319,0.523921121825088,0.824545561031661,0.00242419751440676
"Parachlamydiaceae",0.60642351514385,-0.510530816574688,0.824545561031661,0.000932458232617702
"Ruminococcaceae",0.607082995484849,-0.510861294557701,0.824545561031661,0.0149477044900133
"Opitutaceae",0.631016259741769,0.481712450816934,0.844448229948543,0.000590246988770036
"Sandaracinaceae",0.653064148504233,0.450381722066423,0.861287500201235,0.00174598970266115
"LWQ8",0.68566342796224,-0.405159127001416,0.876437844428135,0.00124085736130213
"Kineosporiaceae",0.691699816675805,-0.391937905261066,0.876437844428135,0.00213394785921482
"Family XI",0.6956007368898,0.386773330005213,0.876437844428135,0.00313482726185226
"Paenibacillaceae",0.70307651256323,0.379418879377442,0.876437844428135,0.0192624340474244
"Gemmatimonadaceae",0.719304189613157,0.356440432772768,0.884549746686449,0.00590827856965924
"Streptococcaceae",0.740216938066,-0.32867956811437,0.884570211316357,0.00507575465584779
"Oligoflexaceae",0.740894033561626,-0.332120006151427,0.884570211316357,0.000727001630937661
"Microbacteriaceae",0.761331894127602,-0.307266316528669,0.884570211316357,0.00719087039267847
"Reyranellaceae",0.763278626028827,-0.301234022641589,0.884570211316357,0.000827446918758223
"Oscillospiraceae",0.767923590043871,-0.291528013155839,0.884570211316357,0.00762011785465354
"Comamonadaceae",0.790928488554575,-0.264547245700452,0.899681155730829,0.0142206913635934
"Spirosomaceae",0.820655268698692,-0.223929851461187,0.916938048231353,0.0040753404606824
"Erysipelotrichaceae",0.826394896636775,0.216800252209854,0.916938048231353,0.00243284877389672
"Rhodanobacteraceae",0.843636323693667,0.199211170991256,0.916938048231353,0.0014680099795664
"Hymenobacteraceae",0.846404352213557,0.19131545253174,0.916938048231353,0.000777019297409334
"Intrasporangiaceae",0.863754509981473,-0.16987808059097,0.924725416568401,0.0014893535981495
"Micropepsaceae",0.904642255052288,-0.120126715790651,0.956617050867346,0.00218645068522459
"Nocardioidaceae",0.915728085671094,-0.10633786212976,0.956617050867346,0.00539962346946814
"Pseudomonadaceae",0.926289051548766,0.0904557535188398,0.956617050867346,0.00723598724932075
"Unknown Family",0.935592500298833,-0.0801602997134724,0.956617050867346,0.00361129110688911
"Hungateiclostridiaceae",0.951971610635044,-0.0591232030478709,0.962549072975433,0.00164127098302027
"Gemmataceae",0.968501971563496,0.0392017500439626,0.968501971563496,0.00765489232198064
