Section Id,Quadrat,Sub_Quadrat,Tag,Stem_Tag,Species_Code,PX,PY,DBH,Status,POM,Codes,Notes,Secondary,Latitude,Longitude
,409,d,9245,,PIST,195.4,85,1.5,LI,1.3,M,,FALSE,41.98965864,-72.12841307
,408,c,9250,,PIST,176.2,96,1.5,LI,1.3,M,,FALSE,41.98978605,-72.12861873
,409,c,9263,,PIST,197.4,92.6,1.5,LI,1.3,M,,FALSE,41.98972282,-72.12837326
,409,c,9267,,PIST,198.4,92.7,1.5,LI,1.3,M,,FALSE,41.98972214,-72.12836114
,107,d,9282,,BELE,151.1,22,1.5,LI,1.3,M,,FALSE,41.98916986,-72.12907332
,409,c,9315,,PIST,192.3,90.2,1.5,LI,1.3,M,,FALSE,41.98970953,-72.12843908
,409,d,9321,,PIST,187.2,90.1,1.5,LI,1.3,M,,FALSE,41.98971661,-72.12850006
,409,d,9332,,PIST,193.1,89.2,1.5,LI,1.3,M,,FALSE,41.98969943,-72.12843165
,409,c,9334,,PIST,199,96.4,1.5,LI,1.3,M,,FALSE,41.98975398,-72.12834621
,107,c,9336,,BELE,158.6,33.3,1.5,LI,1.3,M,,FALSE,41.98925823,-72.1289602
,408,d,9348,,PIST,174.2,81.5,1.5,LI,1.3,M,,FALSE,41.98966075,-72.12867303
,408,d,9370,,PIST,179.8,82.1,1.5,LI,1.3,M,,FALSE,41.98965732,-72.12860504
,409,d,9376,,PIST,196,85.7,1.5,LI,1.3,M,,FALSE,41.9896639,-72.12840444
,409,d,9377,,PIST,194.8,88.6,1.5,LI,1.3,M,,FALSE,41.98969146,-72.12841265
,409,d,9379,,PIST,197.8,88.7,1.5,LI,1.3,M,,FALSE,41.98968766,-72.12837669
,408,d,9399,,PIST,176.8,84,1.5,LI,1.3,M,,FALSE,41.98967883,-72.1286368
,107,a,9403,,BELE,144.3,29.3,1.5,LI,1.3,M,,FALSE,41.98924514,-72.129139
,409,c,9414,,PIST,199,95,1.5,LI,1.3,M,,FALSE,41.98974158,-72.12834915
,409,c,9418,,PIST,199.5,97,1.5,LI,1.3,M,,FALSE,41.98975851,-72.12833899
,408,c,9441,,PIST,179.1,95.3,1.5,LI,1.3,M,,FALSE,41.98977532,-72.12858565
,409,c,9459,,PIST,198.4,90.7,1.5,LI,1.3,M,,FALSE,41.98970443,-72.12836534
,107,c,9468,,BELE,154.3,35.8,1.5,LI,1.3,M,,FALSE,41.98928709,-72.12900619
,107,c,9491,,BELE,153.2,36.5,1.5,LI,1.3,M,,FALSE,41.989295,-72.12901782
,107,d,9512,,FAGR,159.9,24.5,1.5,LI,1.3,M,,FALSE,41.98917826,-72.12896321
,107,a,9527,,BELE,146,22.3,1.5,LI,1.3,M,,FALSE,41.98918049,-72.12913346
,107,d,9535,,PIST,156.7,27.2,1.5,LI,1.3,M,,FALSE,41.98920717,-72.12899566
,107,d,9547,,BELE,150.5,22.4,1.5,LI,1.3,M,,FALSE,41.98917434,-72.12907963
,107,d,9565,,BELE,153.5,22.6,1.5,LI,1.3,M,,FALSE,41.98917143,-72.12904346
,107,c,9588,,BELE,158.7,35.1,1.5,LI,1.3,M,,FALSE,41.98927401,-72.12895523
,107,d,9597,,PIST,153.8,28.5,1.5,LI,1.3,M,,FALSE,41.98922321,-72.12902749
,107,d,9604,,PIST,157.4,21.7,1.5,LI,1.3,M,,FALSE,41.98915737,-72.12899888
,107,d,9625,,BELE,154,23.6,1.5,LI,1.3,M,,FALSE,41.98917951,-72.1290354
,107,d,9639,,BELE,153.5,24.4,1.5,LI,1.3,M,,FALSE,41.98918737,-72.12903968
,107,d,9693,,BELE,154.3,25.8,1.5,LI,1.3,M,,FALSE,41.98919852,-72.1290272
,107,c,9787,,BELE,153,36.4,1.5,LI,1.3,M,,FALSE,41.98929443,-72.12902042
,107,d,9828,,BELE,154,23.7,1.5,LI,1.3,M,,FALSE,41.98918039,-72.12903519
,107,d,9844,,BELE,151.9,23.8,1.5,LI,1.3,M,,FALSE,41.98918456,-72.12906
,107,c,9851,,BELE,152.2,38.9,1.5,LI,1.3,M,,FALSE,41.98931782,-72.1290247
,308,c,,,PIST,171.6,70.2,1.5,LI,,M,,FALSE,41.98956473,-72.12872776
,509,a,992,,PIST,190.5,116.1,1.4,LI,,,,FALSE,41.98994173,-72.1284061
,6,d,1321,,BELE,137.1,2.9,1.4,LI,1.3,M,,FALSE,41.98902257,-72.12928027
,6,d,1327,,BELE,137.1,4.3,1.4,LI,1.3,M,,FALSE,41.98903497,-72.12927733
,6,d,1400,,BELE,137.7,8.8,1.4,LI,1.3,M,,FALSE,41.98907389,-72.12926072
,207,d,1410,,BELE,153.3,43.9,1.4,LI,,,,FALSE,41.98936039,-72.12900108
,6,d,1438,,BELE,139.5,1.2,1.4,LI,1.3,M,,FALSE,41.98900376,-72.12925524
,6,d,1441,,BELE,136.3,6.3,1.4,LI,1.3,M,,FALSE,41.98905393,-72.12928266
,308,a,1674,,PIST,160.7,69.5,1.4,LI,1.3,M,,FALSE,41.98957556,-72.12885911
,407,d,1716,,PIST,151.8,80.3,1.4,,,,,FALSE,41.98968511,-72.12894247
