"compartment","taxon_subset","gene_metric","rho","p","sig","abundance_type"
"Mineral Soil","Type II Alpha","pmoA + mmoX",-0.0956671816841259,0.304870806874202,"","Estimated absolute abundance"
"Mineral Soil","Type II Alpha","% pmoA",0.658757636436103,6.85240980905389e-16,"***","Estimated absolute abundance"
"Mineral Soil","pMMO expected","pmoA",-0.0112482363158525,0.904193406927691,"","Estimated absolute abundance"
"Mineral Soil","pMMO expected","mmoX",-0.0487293836243851,0.60185149161307,"","Estimated absolute abundance"
"Mineral Soil","pMMO expected","pmoA + mmoX",-0.0137703322095107,0.882850494449648,"","Estimated absolute abundance"
"Mineral Soil","pMMO expected","% pmoA",0.213911096165831,0.0205673583820516,"*","Estimated absolute abundance"
"Mineral Soil","sMMO only  Methylocella Methyloferula ","pmoA",NA,NA,"","Estimated absolute abundance"
"Mineral Soil","sMMO only  Methylocella Methyloferula ","mmoX",NA,NA,"","Estimated absolute abundance"
"Mineral Soil","sMMO only  Methylocella Methyloferula ","pmoA + mmoX",NA,NA,"","Estimated absolute abundance"
"Mineral Soil","sMMO only  Methylocella Methyloferula ","% pmoA",NA,NA,"","Estimated absolute abundance"
"Organic Soil","All methanotrophs","pmoA",-0.0118386087055245,0.89831889276079,"","Estimated absolute abundance"
"Organic Soil","All methanotrophs","mmoX",-0.226603387247698,0.0132052694642939,"*","Estimated absolute abundance"
"Organic Soil","All methanotrophs","pmoA + mmoX",-0.0216720040016142,0.815027130458104,"","Estimated absolute abundance"
"Organic Soil","All methanotrophs","% pmoA",0.436308748326209,7.04186230563148e-07,"***","Estimated absolute abundance"
"Organic Soil","Known only","pmoA",-0.00182386522489866,0.98429383780821,"","Estimated absolute abundance"
"Organic Soil","Known only","mmoX",-0.22055206231343,0.0159392856547656,"*","Estimated absolute abundance"
"Organic Soil","Known only","pmoA + mmoX",-0.011471434115116,0.901456401620952,"","Estimated absolute abundance"
"Organic Soil","Known only","% pmoA",0.435386253608685,7.47752718520397e-07,"***","Estimated absolute abundance"
"Organic Soil","Putative only","pmoA",-0.0342484264709938,0.711552970639455,"","Estimated absolute abundance"
"Organic Soil","Putative only","mmoX",-0.0671612597091355,0.468004583854697,"","Estimated absolute abundance"
"Organic Soil","Putative only","pmoA + mmoX",-0.0376146665578762,0.684639577514841,"","Estimated absolute abundance"
"Organic Soil","Putative only","% pmoA",0.0853416818787757,0.356097800910519,"","Estimated absolute abundance"
"Organic Soil","Methylococcaceae","pmoA",NA,NA,"","Estimated absolute abundance"
"Organic Soil","Methylococcaceae","mmoX",NA,NA,"","Estimated absolute abundance"
"Organic Soil","Methylococcaceae","pmoA + mmoX",NA,NA,"","Estimated absolute abundance"
"Organic Soil","Methylococcaceae","% pmoA",NA,NA,"","Estimated absolute abundance"
"Organic Soil","Methylomonadaceae","pmoA",-3.19829490465325e-05,0.999724562212191,"","Estimated absolute abundance"
"Organic Soil","Methylomonadaceae","mmoX",0.114243093994214,0.21603309867001,"","Estimated absolute abundance"
"Organic Soil","Methylomonadaceae","pmoA + mmoX",-3.19829490465325e-05,0.999724562212191,"","Estimated absolute abundance"
"Organic Soil","Methylomonadaceae","% pmoA",-0.107494691745396,0.244575469096056,"","Estimated absolute abundance"
"Organic Soil","Methylothermaceae","pmoA",NA,NA,"","Estimated absolute abundance"
"Organic Soil","Methylothermaceae","mmoX",NA,NA,"","Estimated absolute abundance"
"Organic Soil","Methylothermaceae","pmoA + mmoX",NA,NA,"","Estimated absolute abundance"
"Organic Soil","Methylothermaceae","% pmoA",NA,NA,"","Estimated absolute abundance"
"Organic Soil","Methylacidiphilaceae","pmoA",-0.0114821417387456,0.901364883164871,"","Estimated absolute abundance"
"Organic Soil","Methylacidiphilaceae","mmoX",-0.215762185343148,0.0184394746568847,"*","Estimated absolute abundance"
"Organic Soil","Methylacidiphilaceae","pmoA + mmoX",-0.0210940185501978,0.819875555259799,"","Estimated absolute abundance"
"Organic Soil","Methylacidiphilaceae","% pmoA",0.41929626450136,2.07163449270039e-06,"***","Estimated absolute abundance"
"Organic Soil","Methylocystaceae","pmoA",NA,NA,"","Estimated absolute abundance"
"Organic Soil","Methylocystaceae","mmoX",NA,NA,"","Estimated absolute abundance"
"Organic Soil","Methylocystaceae","pmoA + mmoX",NA,NA,"","Estimated absolute abundance"
"Organic Soil","Methylocystaceae","% pmoA",NA,NA,"","Estimated absolute abundance"
"Organic Soil","Beijerinckiaceae","pmoA",0.0172955514635789,0.851900047930901,"","Estimated absolute abundance"
"Organic Soil","Beijerinckiaceae","mmoX",-0.272342104948297,0.00273191348761873,"**","Estimated absolute abundance"
"Organic Soil","Beijerinckiaceae","pmoA + mmoX",0.0123719169320053,0.893764577032729,"","Estimated absolute abundance"
"Organic Soil","Beijerinckiaceae","% pmoA",0.376263922427939,2.47261513734973e-05,"***","Estimated absolute abundance"
"Organic Soil","Type I Gamma","pmoA",-3.19829490465325e-05,0.999724562212191,"","Estimated absolute abundance"
"Organic Soil","Type I Gamma","mmoX",0.114243093994214,0.21603309867001,"","Estimated absolute abundance"
"Organic Soil","Type I Gamma","pmoA + mmoX",-3.19829490465325e-05,0.999724562212191,"","Estimated absolute abundance"
"Organic Soil","Type I Gamma","% pmoA",-0.107494691745396,0.244575469096056,"","Estimated absolute abundance"
"Organic Soil","Type II Alpha","pmoA",0.0172955514635789,0.851900047930901,"","Estimated absolute abundance"
"Organic Soil","Type II Alpha","mmoX",-0.272342104948297,0.00273191348761873,"**","Estimated absolute abundance"
"Organic Soil","Type II Alpha","pmoA + mmoX",0.0123719169320053,0.893764577032729,"","Estimated absolute abundance"
"Organic Soil","Type II Alpha","% pmoA",0.376263922427939,2.47261513734973e-05,"***","Estimated absolute abundance"
"Organic Soil","pMMO expected","pmoA",-0.0106112550168762,0.908812505347018,"","Estimated absolute abundance"
"Organic Soil","pMMO expected","mmoX",-0.214370194271308,0.0192268038313955,"*","Estimated absolute abundance"
"Organic Soil","pMMO expected","pmoA + mmoX",-0.0202017165810693,0.827373921224396,"","Estimated absolute abundance"
"Organic Soil","pMMO expected","% pmoA",0.41804704174458,2.23731849043355e-06,"***","Estimated absolute abundance"
"Organic Soil","sMMO only  Methylocella Methyloferula ","pmoA",NA,NA,"","Estimated absolute abundance"
"Organic Soil","sMMO only  Methylocella Methyloferula ","mmoX",NA,NA,"","Estimated absolute abundance"
"Organic Soil","sMMO only  Methylocella Methyloferula ","pmoA + mmoX",NA,NA,"","Estimated absolute abundance"
"Organic Soil","sMMO only  Methylocella Methyloferula ","% pmoA",NA,NA,"","Estimated absolute abundance"
