"pathway","p","t","FDR","description","gene","compartment"
"DENOVOPURINE2-PWY",NA,NA,NA,"superpathway of purine nucleotides de novo biosynthesis II","mmoX","Sapwood"
"DHGLUCONATE-PYR-CAT-PWY",NA,NA,NA,"glucose degradation (oxidative)","mmoX","Sapwood"
"DTDPRHAMSYN-PWY",NA,NA,NA,"dTDP-L-rhamnose biosynthesis I","mmoX","Sapwood"
"ECASYN-PWY",NA,NA,NA,"enterobacterial common antigen biosynthesis","mmoX","Sapwood"
"ENTBACSYN-PWY",NA,NA,NA,"enterobactin biosynthesis","mmoX","Sapwood"
"FAO-PWY",NA,NA,NA,"fatty acid &beta;-oxidation I","mmoX","Sapwood"
"FASYN-ELONG-PWY",NA,NA,NA,"fatty acid elongation -- saturated","mmoX","Sapwood"
"FASYN-INITIAL-PWY",NA,NA,NA,"superpathway of fatty acid biosynthesis initiation (E. coli)","mmoX","Sapwood"
"FERMENTATION-PWY",NA,NA,NA,"mixed acid fermentation","mmoX","Sapwood"
"FOLSYN-PWY",NA,NA,NA,"superpathway of tetrahydrofolate biosynthesis and salvage","mmoX","Sapwood"
"FUC-RHAMCAT-PWY",NA,NA,NA,"superpathway of fucose and rhamnose degradation","mmoX","Sapwood"
"FUCCAT-PWY",NA,NA,NA,"fucose degradation","mmoX","Sapwood"
"GALACT-GLUCUROCAT-PWY",NA,NA,NA,"superpathway of hexuronide and hexuronate degradation","mmoX","Sapwood"
"GALACTARDEG-PWY",NA,NA,NA,"D-galactarate degradation I","mmoX","Sapwood"
"GALACTUROCAT-PWY",NA,NA,NA,"D-galacturonate degradation I","mmoX","Sapwood"
"GALLATE-DEGRADATION-I-PWY",NA,NA,NA,"gallate degradation II","mmoX","Sapwood"
"GLCMANNANAUT-PWY",NA,NA,NA,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation","mmoX","Sapwood"
"GLUCARDEG-PWY",NA,NA,NA,"D-glucarate degradation I","mmoX","Sapwood"
"GLUCARGALACTSUPER-PWY",NA,NA,NA,"superpathway of D-glucarate and D-galactarate degradation","mmoX","Sapwood"
"GLUCONEO-PWY",NA,NA,NA,"gluconeogenesis I","mmoX","Sapwood"
"GLUCOSE1PMETAB-PWY",NA,NA,NA,"glucose and glucose-1-phosphate degradation","mmoX","Sapwood"
"GLUCUROCAT-PWY",NA,NA,NA,"superpathway of &beta;-D-glucuronide and D-glucuronate degradation","mmoX","Sapwood"
"GLUTORN-PWY",NA,NA,NA,"L-ornithine biosynthesis","mmoX","Sapwood"
"GLYCOCAT-PWY",NA,NA,NA,"glycogen degradation I (bacterial)","mmoX","Sapwood"
"GLYCOGENSYNTH-PWY",NA,NA,NA,"glycogen biosynthesis I (from ADP-D-Glucose)","mmoX","Sapwood"
"GLYCOL-GLYOXDEG-PWY",NA,NA,NA,"superpathway of glycol metabolism and degradation","mmoX","Sapwood"
"GLYCOLYSIS",NA,NA,NA,"glycolysis I (from glucose 6-phosphate)","mmoX","Sapwood"
"GLYCOLYSIS-E-D",NA,NA,NA,"superpathway of glycolysis and Entner-Doudoroff","mmoX","Sapwood"
"GLYCOLYSIS-TCA-GLYOX-BYPASS",NA,NA,NA,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass","mmoX","Sapwood"
"GLYOXYLATE-BYPASS",NA,NA,NA,"glyoxylate cycle","mmoX","Sapwood"
"GOLPDLCAT-PWY",NA,NA,NA,"superpathway of glycerol degradation to 1,3-propanediol","mmoX","Sapwood"
"HCAMHPDEG-PWY",NA,NA,NA,"3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate","mmoX","Sapwood"
"HEME-BIOSYNTHESIS-II",NA,NA,NA,"heme biosynthesis I (aerobic)","mmoX","Sapwood"
"HEMESYN2-PWY",NA,NA,NA,"heme biosynthesis II (anaerobic)","mmoX","Sapwood"
"HEXITOLDEGSUPER-PWY",NA,NA,NA,"superpathway of hexitol degradation (bacteria)","mmoX","Sapwood"
"HISDEG-PWY",NA,NA,NA,"L-histidine degradation I","mmoX","Sapwood"
"HISTSYN-PWY",NA,NA,NA,"L-histidine biosynthesis","mmoX","Sapwood"
"HOMOSER-METSYN-PWY",NA,NA,NA,"L-methionine biosynthesis I","mmoX","Sapwood"
"HSERMETANA-PWY",NA,NA,NA,"L-methionine biosynthesis III","mmoX","Sapwood"
"ILEUSYN-PWY",NA,NA,NA,"L-isoleucine biosynthesis I (from threonine)","mmoX","Sapwood"
"KDO-NAGLIPASYN-PWY",NA,NA,NA,"superpathway of (Kdo)2-lipid A biosynthesis","mmoX","Sapwood"
"KETOGLUCONMET-PWY",NA,NA,NA,"ketogluconate metabolism","mmoX","Sapwood"
"LACTOSECAT-PWY",NA,NA,NA,"lactose and galactose degradation I","mmoX","Sapwood"
"LEU-DEG2-PWY",NA,NA,NA,"L-leucine degradation I","mmoX","Sapwood"
"LPSSYN-PWY",NA,NA,NA,"superpathway of lipopolysaccharide biosynthesis","mmoX","Sapwood"
"MET-SAM-PWY",NA,NA,NA,"superpathway of S-adenosyl-L-methionine biosynthesis","mmoX","Sapwood"
"METHGLYUT-PWY",NA,NA,NA,"superpathway of methylglyoxal degradation","mmoX","Sapwood"
"METHYLGALLATE-DEGRADATION-PWY",NA,NA,NA,"methylgallate degradation","mmoX","Sapwood"
"NAD-BIOSYNTHESIS-II",NA,NA,NA,"NAD salvage pathway II","mmoX","Sapwood"
"NADSYN-PWY",NA,NA,NA,"NAD biosynthesis II (from tryptophan)","mmoX","Sapwood"
"NAGLIPASYN-PWY",NA,NA,NA,"lipid IVA biosynthesis","mmoX","Sapwood"
"NONMEVIPP-PWY",NA,NA,NA,"methylerythritol phosphate pathway I","mmoX","Sapwood"
"NONOXIPENT-PWY",NA,NA,NA,"pentose phosphate pathway (non-oxidative branch)","mmoX","Sapwood"
"OANTIGEN-PWY",NA,NA,NA,"O-antigen building blocks biosynthesis (E. coli)","mmoX","Sapwood"
"ORNARGDEG-PWY",NA,NA,NA,"superpathway of L-arginine and L-ornithine degradation","mmoX","Sapwood"
"ORNDEG-PWY",NA,NA,NA,"superpathway of ornithine degradation","mmoX","Sapwood"
"P101-PWY",NA,NA,NA,"ectoine biosynthesis","mmoX","Sapwood"
"P105-PWY",NA,NA,NA,"TCA cycle IV (2-oxoglutarate decarboxylase)","mmoX","Sapwood"
"P108-PWY",NA,NA,NA,"pyruvate fermentation to propanoate I","mmoX","Sapwood"
"P122-PWY",NA,NA,NA,"heterolactic fermentation","mmoX","Sapwood"
"P124-PWY",NA,NA,NA,"Bifidobacterium shunt","mmoX","Sapwood"
"P125-PWY",NA,NA,NA,"superpathway of (R,R)-butanediol biosynthesis","mmoX","Sapwood"
"P161-PWY",NA,NA,NA,"acetylene degradation","mmoX","Sapwood"
"P163-PWY",NA,NA,NA,"L-lysine fermentation to acetate and butanoate","mmoX","Sapwood"
"P164-PWY",NA,NA,NA,"purine nucleobases degradation I (anaerobic)","mmoX","Sapwood"
"P184-PWY",NA,NA,NA,"protocatechuate degradation I (meta-cleavage pathway)","mmoX","Sapwood"
"P221-PWY",NA,NA,NA,"octane oxidation","mmoX","Sapwood"
"P23-PWY",NA,NA,NA,"reductive TCA cycle I","mmoX","Sapwood"
"P261-PWY",NA,NA,NA,"coenzyme M biosynthesis I","mmoX","Sapwood"
"P281-PWY",NA,NA,NA,"3-phenylpropanoate degradation","mmoX","Sapwood"
"P4-PWY",NA,NA,NA,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","mmoX","Sapwood"
"P42-PWY",NA,NA,NA,"incomplete reductive TCA cycle","mmoX","Sapwood"
"P441-PWY",NA,NA,NA,"superpathway of N-acetylneuraminate degradation","mmoX","Sapwood"
"P461-PWY",NA,NA,NA,"hexitol fermentation to lactate, formate, ethanol and acetate","mmoX","Sapwood"
"P562-PWY",NA,NA,NA,"myo-inositol degradation I","mmoX","Sapwood"
"P621-PWY",NA,NA,NA,"nylon-6 oligomer degradation","mmoX","Sapwood"
"PANTO-PWY",NA,NA,NA,"phosphopantothenate biosynthesis I","mmoX","Sapwood"
"PANTOSYN-PWY",NA,NA,NA,"pantothenate and coenzyme A biosynthesis I","mmoX","Sapwood"
"PENTOSE-P-PWY",NA,NA,NA,"pentose phosphate pathway","mmoX","Sapwood"
"PEPTIDOGLYCANSYN-PWY",NA,NA,NA,"peptidoglycan biosynthesis I (meso-diaminopimelate containing)","mmoX","Sapwood"
"PHOSLIPSYN-PWY",NA,NA,NA,"superpathway of phospholipid biosynthesis I (bacteria)","mmoX","Sapwood"
"POLYAMINSYN3-PWY",NA,NA,NA,"superpathway of polyamine biosynthesis II","mmoX","Sapwood"
"POLYAMSYN-PWY",NA,NA,NA,"superpathway of polyamine biosynthesis I","mmoX","Sapwood"
"POLYISOPRENSYN-PWY",NA,NA,NA,"polyisoprenoid biosynthesis (E. coli)","mmoX","Sapwood"
"PPGPPMET-PWY",NA,NA,NA,"ppGpp biosynthesis","mmoX","Sapwood"
"PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY",NA,NA,NA,"protocatechuate degradation II (ortho-cleavage pathway)","mmoX","Sapwood"
"PRPP-PWY",NA,NA,NA,"superpathway of histidine, purine, and pyrimidine biosynthesis","mmoX","Sapwood"
"PWY-1269",NA,NA,NA,"CMP-3-deoxy-D-manno-octulosonate biosynthesis I","mmoX","Sapwood"
"PWY-1501",NA,NA,NA,"mandelate degradation I","mmoX","Sapwood"
"PWY-1622",NA,NA,NA,"formaldehyde assimilation I (serine pathway)","mmoX","Sapwood"
"PWY-181",NA,NA,NA,"photorespiration","mmoX","Sapwood"
"PWY-1861",NA,NA,NA,"formaldehyde assimilation II (RuMP Cycle)","mmoX","Sapwood"
"PWY-1882",NA,NA,NA,"superpathway of C1 compounds oxidation to CO2","mmoX","Sapwood"
"PWY-2942",NA,NA,NA,"L-lysine biosynthesis III","mmoX","Sapwood"
"PWY-3001",NA,NA,NA,"superpathway of L-isoleucine biosynthesis I","mmoX","Sapwood"
"PWY-3661",NA,NA,NA,"glycine betaine degradation I","mmoX","Sapwood"
"PWY-3781",NA,NA,NA,"aerobic respiration I (cytochrome c)","mmoX","Sapwood"
"PWY-3801",NA,NA,NA,"sucrose degradation II (sucrose synthase)","mmoX","Sapwood"
"PWY-4984",NA,NA,NA,"urea cycle","mmoX","Sapwood"
"PWY-5005",NA,NA,NA,"biotin biosynthesis II","mmoX","Sapwood"
"PWY-5022",NA,NA,NA,"4-aminobutanoate degradation V","mmoX","Sapwood"
"PWY-5028",NA,NA,NA,"L-histidine degradation II","mmoX","Sapwood"
"PWY-5088",NA,NA,NA,"L-glutamate degradation VIII (to propanoate)","mmoX","Sapwood"
"PWY-5097",NA,NA,NA,"L-lysine biosynthesis VI","mmoX","Sapwood"
"PWY-5100",NA,NA,NA,"pyruvate fermentation to acetate and lactate II","mmoX","Sapwood"
"PWY-5101",NA,NA,NA,"L-isoleucine biosynthesis II","mmoX","Sapwood"
"PWY-5103",NA,NA,NA,"L-isoleucine biosynthesis III","mmoX","Sapwood"
"PWY-5104",NA,NA,NA,"L-isoleucine biosynthesis IV","mmoX","Sapwood"
"PWY-5121",NA,NA,NA,"superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)","mmoX","Sapwood"
"PWY-5154",NA,NA,NA,"L-arginine biosynthesis III (via N-acetyl-L-citrulline)","mmoX","Sapwood"
"PWY-5178",NA,NA,NA,"toluene degradation IV (aerobic) (via catechol)","mmoX","Sapwood"
"PWY-5180",NA,NA,NA,"toluene degradation I (aerobic) (via o-cresol)","mmoX","Sapwood"
"PWY-5181",NA,NA,NA,"toluene degradation III (aerobic) (via p-cresol)","mmoX","Sapwood"
"PWY-5182",NA,NA,NA,"toluene degradation II (aerobic) (via 4-methylcatechol)","mmoX","Sapwood"
"PWY-5188",NA,NA,NA,"tetrapyrrole biosynthesis I (from glutamate)","mmoX","Sapwood"
"PWY-5189",NA,NA,NA,"tetrapyrrole biosynthesis II (from glycine)","mmoX","Sapwood"
"PWY-5304",NA,NA,NA,"superpathway of sulfur oxidation (Acidianus ambivalens)","mmoX","Sapwood"
"PWY-5345",NA,NA,NA,"superpathway of L-methionine biosynthesis (by sulfhydrylation)","mmoX","Sapwood"
"PWY-5347",NA,NA,NA,"superpathway of L-methionine biosynthesis (transsulfuration)","mmoX","Sapwood"
"PWY-5384",NA,NA,NA,"sucrose degradation IV (sucrose phosphorylase)","mmoX","Sapwood"
"PWY-5392",NA,NA,NA,"reductive TCA cycle II","mmoX","Sapwood"
"PWY-5415",NA,NA,NA,"catechol degradation I (meta-cleavage pathway)","mmoX","Sapwood"
"PWY-5417",NA,NA,NA,"catechol degradation III (ortho-cleavage pathway)","mmoX","Sapwood"
"PWY-5419",NA,NA,NA,"catechol degradation to 2-oxopent-4-enoate II","mmoX","Sapwood"
"PWY-5420",NA,NA,NA,"catechol degradation II (meta-cleavage pathway)","mmoX","Sapwood"
"PWY-5430",NA,NA,NA,"meta cleavage pathway of aromatic compounds","mmoX","Sapwood"
"PWY-5431",NA,NA,NA,"aromatic compounds degradation via &beta;-ketoadipate","mmoX","Sapwood"
"PWY-5484",NA,NA,NA,"glycolysis II (from fructose 6-phosphate)","mmoX","Sapwood"
"PWY-5505",NA,NA,NA,"L-glutamate and L-glutamine biosynthesis","mmoX","Sapwood"
"PWY-5509",NA,NA,NA,"adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I","mmoX","Sapwood"
"PWY-5529",NA,NA,NA,"superpathway of bacteriochlorophyll a biosynthesis","mmoX","Sapwood"
"PWY-5531",NA,NA,NA,"chlorophyllide a biosynthesis II (anaerobic)","mmoX","Sapwood"
"PWY-5651",NA,NA,NA,"L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde","mmoX","Sapwood"
"PWY-5654",NA,NA,NA,"2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate","mmoX","Sapwood"
"PWY-5659",NA,NA,NA,"GDP-mannose biosynthesis","mmoX","Sapwood"
"PWY-5667",NA,NA,NA,"CDP-diacylglycerol biosynthesis I","mmoX","Sapwood"
"PWY-5676",NA,NA,NA,"acetyl-CoA fermentation to butanoate II","mmoX","Sapwood"
"PWY-5686",NA,NA,NA,"UMP biosynthesis","mmoX","Sapwood"
"PWY-5695",NA,NA,NA,"urate biosynthesis/inosine 5'-phosphate degradation","mmoX","Sapwood"
"PWY-5705",NA,NA,NA,"allantoin degradation to glyoxylate III","mmoX","Sapwood"
"PWY-5741",NA,NA,NA,"ethylmalonyl-CoA pathway","mmoX","Sapwood"
"PWY-5747",NA,NA,NA,"2-methylcitrate cycle II","mmoX","Sapwood"
"PWY-5837",NA,NA,NA,"1,4-dihydroxy-2-naphthoate biosynthesis I","mmoX","Sapwood"
"PWY-5838",NA,NA,NA,"superpathway of menaquinol-8 biosynthesis I","mmoX","Sapwood"
"PWY-5840",NA,NA,NA,"superpathway of menaquinol-7 biosynthesis","mmoX","Sapwood"
"PWY-5845",NA,NA,NA,"superpathway of menaquinol-9 biosynthesis","mmoX","Sapwood"
"PWY-5850",NA,NA,NA,"superpathway of menaquinol-6 biosynthesis I","mmoX","Sapwood"
"PWY-5855",NA,NA,NA,"ubiquinol-7 biosynthesis (prokaryotic)","mmoX","Sapwood"
"PWY-5856",NA,NA,NA,"ubiquinol-9 biosynthesis (prokaryotic)","mmoX","Sapwood"
"PWY-5857",NA,NA,NA,"ubiquinol-10 biosynthesis (prokaryotic)","mmoX","Sapwood"
"PWY-5860",NA,NA,NA,"superpathway of demethylmenaquinol-6 biosynthesis I","mmoX","Sapwood"
"PWY-5861",NA,NA,NA,"superpathway of demethylmenaquinol-8 biosynthesis","mmoX","Sapwood"
"PWY-5862",NA,NA,NA,"superpathway of demethylmenaquinol-9 biosynthesis","mmoX","Sapwood"
"PWY-5863",NA,NA,NA,"superpathway of phylloquinol biosynthesis","mmoX","Sapwood"
"PWY-5896",NA,NA,NA,"superpathway of menaquinol-10 biosynthesis","mmoX","Sapwood"
"PWY-5897",NA,NA,NA,"superpathway of menaquinol-11 biosynthesis","mmoX","Sapwood"
"PWY-5898",NA,NA,NA,"superpathway of menaquinol-12 biosynthesis","mmoX","Sapwood"
"PWY-5899",NA,NA,NA,"superpathway of menaquinol-13 biosynthesis","mmoX","Sapwood"
"PWY-5910",NA,NA,NA,"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)","mmoX","Sapwood"
"PWY-5913",NA,NA,NA,"TCA cycle VI (obligate autotrophs)","mmoX","Sapwood"
"PWY-5918",NA,NA,NA,"superpathay of heme biosynthesis from glutamate","mmoX","Sapwood"
"PWY-5920",NA,NA,NA,"superpathway of heme biosynthesis from glycine","mmoX","Sapwood"
"PWY-5941",NA,NA,NA,"glycogen degradation II (eukaryotic)","mmoX","Sapwood"
"PWY-5971",NA,NA,NA,"palmitate biosynthesis II (bacteria and plants)","mmoX","Sapwood"
"PWY-5973",NA,NA,NA,"cis-vaccenate biosynthesis","mmoX","Sapwood"
"PWY-5989",NA,NA,NA,"stearate biosynthesis II (bacteria and plants)","mmoX","Sapwood"
"PWY-6071",NA,NA,NA,"superpathway of phenylethylamine degradation","mmoX","Sapwood"
"PWY-6121",NA,NA,NA,"5-aminoimidazole ribonucleotide biosynthesis I","mmoX","Sapwood"
"PWY-6122",NA,NA,NA,"5-aminoimidazole ribonucleotide biosynthesis II","mmoX","Sapwood"
"PWY-6123",NA,NA,NA,"inosine-5'-phosphate biosynthesis I","mmoX","Sapwood"
"PWY-6125",NA,NA,NA,"superpathway of guanosine nucleotides de novo biosynthesis II","mmoX","Sapwood"
"PWY-6126",NA,NA,NA,"superpathway of adenosine nucleotides de novo biosynthesis II","mmoX","Sapwood"
"PWY-6147",NA,NA,NA,"6-hydroxymethyl-dihydropterin diphosphate biosynthesis I","mmoX","Sapwood"
"PWY-6151",NA,NA,NA,"S-adenosyl-L-methionine cycle I","mmoX","Sapwood"
"PWY-6163",NA,NA,NA,"chorismate biosynthesis from 3-dehydroquinate","mmoX","Sapwood"
"PWY-6182",NA,NA,NA,"superpathway of salicylate degradation","mmoX","Sapwood"
"PWY-6185",NA,NA,NA,"4-methylcatechol degradation (ortho cleavage)","mmoX","Sapwood"
"PWY-621",NA,NA,NA,"sucrose degradation III (sucrose invertase)","mmoX","Sapwood"
"PWY-6263",NA,NA,NA,"superpathway of menaquinol-8 biosynthesis II","mmoX","Sapwood"
"PWY-6269",NA,NA,NA,"adenosylcobalamin salvage from cobinamide II","mmoX","Sapwood"
"PWY-6277",NA,NA,NA,"superpathway of 5-aminoimidazole ribonucleotide biosynthesis","mmoX","Sapwood"
"PWY-6282",NA,NA,NA,"palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)","mmoX","Sapwood"
"PWY-6317",NA,NA,NA,"galactose degradation I (Leloir pathway)","mmoX","Sapwood"
"PWY-6353",NA,NA,NA,"purine nucleotides degradation II (aerobic)","mmoX","Sapwood"
"PWY-6383",NA,NA,NA,"mono-trans, poly-cis decaprenyl phosphate biosynthesis","mmoX","Sapwood"
"PWY-6385",NA,NA,NA,"peptidoglycan biosynthesis III (mycobacteria)","mmoX","Sapwood"
"PWY-6386",NA,NA,NA,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)","mmoX","Sapwood"
"PWY-6387",NA,NA,NA,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)","mmoX","Sapwood"
"PWY-6396",NA,NA,NA,"superpathway of 2,3-butanediol biosynthesis","mmoX","Sapwood"
"PWY-6397",NA,NA,NA,"mycolyl-arabinogalactan-peptidoglycan complex biosynthesis","mmoX","Sapwood"
"PWY-6467",NA,NA,NA,"Kdo transfer to lipid IVA III (Chlamydia)","mmoX","Sapwood"
"PWY-6470",NA,NA,NA,"peptidoglycan biosynthesis V (&beta;-lactam resistance)","mmoX","Sapwood"
"PWY-6471",NA,NA,NA,"peptidoglycan biosynthesis IV (Enterococcus faecium)","mmoX","Sapwood"
"PWY-6478",NA,NA,NA,"GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis","mmoX","Sapwood"
"PWY-6507",NA,NA,NA,"4-deoxy-L-threo-hex-4-enopyranuronate degradation","mmoX","Sapwood"
"PWY-6519",NA,NA,NA,"8-amino-7-oxononanoate biosynthesis I","mmoX","Sapwood"
"PWY-6545",NA,NA,NA,"pyrimidine deoxyribonucleotides de novo biosynthesis III","mmoX","Sapwood"
"PWY-6562",NA,NA,NA,"norspermidine biosynthesis","mmoX","Sapwood"
"PWY-6588",NA,NA,NA,"pyruvate fermentation to acetone","mmoX","Sapwood"
"PWY-6608",NA,NA,NA,"guanosine nucleotides degradation III","mmoX","Sapwood"
"PWY-6609",NA,NA,NA,"adenine and adenosine salvage III","mmoX","Sapwood"
"PWY-6612",NA,NA,NA,"superpathway of tetrahydrofolate biosynthesis","mmoX","Sapwood"
"PWY-6628",NA,NA,NA,"superpathway of L-phenylalanine biosynthesis","mmoX","Sapwood"
"PWY-6629",NA,NA,NA,"superpathway of L-tryptophan biosynthesis","mmoX","Sapwood"
"PWY-6630",NA,NA,NA,"superpathway of L-tyrosine biosynthesis","mmoX","Sapwood"
"PWY-6641",NA,NA,NA,"superpathway of sulfolactate degradation","mmoX","Sapwood"
"PWY-6660",NA,NA,NA,"2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis","mmoX","Sapwood"
"PWY-6662",NA,NA,NA,"superpathway of quinolone and alkylquinolone biosynthesis","mmoX","Sapwood"
"PWY-6690",NA,NA,NA,"cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate","mmoX","Sapwood"
"PWY-6700",NA,NA,NA,"queuosine biosynthesis","mmoX","Sapwood"
"PWY-6703",NA,NA,NA,"preQ0 biosynthesis","mmoX","Sapwood"
"PWY-6708",NA,NA,NA,"ubiquinol-8 biosynthesis (prokaryotic)","mmoX","Sapwood"
"PWY-6713",NA,NA,NA,"L-rhamnose degradation II","mmoX","Sapwood"
"PWY-6728",NA,NA,NA,"methylaspartate cycle","mmoX","Sapwood"
"PWY-6737",NA,NA,NA,"starch degradation V","mmoX","Sapwood"
"PWY-6876",NA,NA,NA,"isopropanol biosynthesis","mmoX","Sapwood"
"PWY-6891",NA,NA,NA,"thiazole biosynthesis II (Bacillus)","mmoX","Sapwood"
"PWY-6892",NA,NA,NA,"thiazole biosynthesis I (E. coli)","mmoX","Sapwood"
"PWY-6895",NA,NA,NA,"superpathway of thiamin diphosphate biosynthesis II","mmoX","Sapwood"
"PWY-6897",NA,NA,NA,"thiamin salvage II","mmoX","Sapwood"
"PWY-6901",NA,NA,NA,"superpathway of glucose and xylose degradation","mmoX","Sapwood"
"PWY-6944",NA,NA,NA,"androstenedione degradation","mmoX","Sapwood"
"PWY-6969",NA,NA,NA,"TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)","mmoX","Sapwood"
"PWY-7003",NA,NA,NA,"glycerol degradation to butanol","mmoX","Sapwood"
"PWY-7007",NA,NA,NA,"methyl ketone biosynthesis","mmoX","Sapwood"
"PWY-7090",NA,NA,NA,"UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis","mmoX","Sapwood"
"PWY-7094",NA,NA,NA,"fatty acid salvage","mmoX","Sapwood"
"PWY-7111",NA,NA,NA,"pyruvate fermentation to isobutanol (engineered)","mmoX","Sapwood"
"PWY-7159",NA,NA,NA,"chlorophyllide a biosynthesis III (aerobic, light independent)","mmoX","Sapwood"
"PWY-7184",NA,NA,NA,"pyrimidine deoxyribonucleotides de novo biosynthesis I","mmoX","Sapwood"
"PWY-7187",NA,NA,NA,"pyrimidine deoxyribonucleotides de novo biosynthesis II","mmoX","Sapwood"
"PWY-7196",NA,NA,NA,"superpathway of pyrimidine ribonucleosides salvage","mmoX","Sapwood"
"PWY-7197",NA,NA,NA,"pyrimidine deoxyribonucleotide phosphorylation","mmoX","Sapwood"
"PWY-7199",NA,NA,NA,"pyrimidine deoxyribonucleosides salvage","mmoX","Sapwood"
"PWY-7200",NA,NA,NA,"superpathway of pyrimidine deoxyribonucleoside salvage","mmoX","Sapwood"
"PWY-7208",NA,NA,NA,"superpathway of pyrimidine nucleobases salvage","mmoX","Sapwood"
"PWY-7211",NA,NA,NA,"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis","mmoX","Sapwood"
"PWY-7219",NA,NA,NA,"adenosine ribonucleotides de novo biosynthesis","mmoX","Sapwood"
"PWY-7220",NA,NA,NA,"adenosine deoxyribonucleotides de novo biosynthesis II","mmoX","Sapwood"
"PWY-7221",NA,NA,NA,"guanosine ribonucleotides de novo biosynthesis","mmoX","Sapwood"
"PWY-7222",NA,NA,NA,"guanosine deoxyribonucleotides de novo biosynthesis II","mmoX","Sapwood"
"PWY-7228",NA,NA,NA,"superpathway of guanosine nucleotides de novo biosynthesis I","mmoX","Sapwood"
"PWY-7229",NA,NA,NA,"superpathway of adenosine nucleotides de novo biosynthesis I","mmoX","Sapwood"
"PWY-7234",NA,NA,NA,"inosine-5'-phosphate biosynthesis III","mmoX","Sapwood"
"PWY-7237",NA,NA,NA,"myo-, chiro- and scillo-inositol degradation","mmoX","Sapwood"
"PWY-7242",NA,NA,NA,"D-fructuronate degradation","mmoX","Sapwood"
"PWY-7254",NA,NA,NA,"TCA cycle VII (acetate-producers)","mmoX","Sapwood"
"PWY-7255",NA,NA,NA,"ergothioneine biosynthesis I (bacteria)","mmoX","Sapwood"
"PWY-7295",NA,NA,NA,"L-arabinose degradation IV","mmoX","Sapwood"
"PWY-7315",NA,NA,NA,"dTDP-N-acetylthomosamine biosynthesis","mmoX","Sapwood"
"PWY-7323",NA,NA,NA,"superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis","mmoX","Sapwood"
"PWY-7328",NA,NA,NA,"superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis","mmoX","Sapwood"
"PWY-7332",NA,NA,NA,"superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis","mmoX","Sapwood"
"PWY-7347",NA,NA,NA,"sucrose biosynthesis III","mmoX","Sapwood"
"PWY-7371",NA,NA,NA,"1,4-dihydroxy-6-naphthoate biosynthesis II","mmoX","Sapwood"
"PWY-7374",NA,NA,NA,"1,4-dihydroxy-6-naphthoate biosynthesis I","mmoX","Sapwood"
"PWY-7376",NA,NA,NA,"cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)","mmoX","Sapwood"
"PWY-7392",NA,NA,NA,"taxadiene biosynthesis (engineered)","mmoX","Sapwood"
"PWY-7400",NA,NA,NA,"L-arginine biosynthesis IV (archaebacteria)","mmoX","Sapwood"
"PWY-7431",NA,NA,NA,"aromatic biogenic amine degradation (bacteria)","mmoX","Sapwood"
"PWY-7446",NA,NA,NA,"sulfoglycolysis","mmoX","Sapwood"
"PWY-7539",NA,NA,NA,"6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)","mmoX","Sapwood"
"PWY-7560",NA,NA,NA,"methylerythritol phosphate pathway II","mmoX","Sapwood"
"PWY-7616",NA,NA,NA,"methanol oxidation to carbon dioxide","mmoX","Sapwood"
"PWY-7663",NA,NA,NA,"gondoate biosynthesis (anaerobic)","mmoX","Sapwood"
"PWY-7664",NA,NA,NA,"oleate biosynthesis IV (anaerobic)","mmoX","Sapwood"
"PWY-841",NA,NA,NA,"superpathway of purine nucleotides de novo biosynthesis I","mmoX","Sapwood"
"PWY-922",NA,NA,NA,"mevalonate pathway I","mmoX","Sapwood"
"PWY0-1061",NA,NA,NA,"superpathway of L-alanine biosynthesis","mmoX","Sapwood"
