section_id,quadrat,sub_quadrat,tag,stem_tag,species_code,x_m,y_m,dbh_mm,status,pom,codes,notes,secondary,latitude,longitude
NA,6,b,3870,NA,BELE,122.6,11.6,1.1,NA,NA,M,NA,TRUE,41.98912227,-72.12943477
NA,6,b,3871,NA,BELE,127.1,16.6,4.8,NA,NA,NA,NA,FALSE,41.98915952,-72.12937064
NA,6,b,3873,NA,BELE,125.2,10.5,2.9,NA,NA,NA,NA,TRUE,41.98910846,-72.1294061
NA,5,d,3874,NA,PIST,110.5,8.7,1.7,LI,1.3,M,NA,FALSE,41.98911548,-72.12958504
NA,6,c,3875,NA,BELE,136.9,12.2,2.4,NA,NA,NA,NA,FALSE,41.98910525,-72.12926311
NA,4,d,3876,NA,PIST,96.2,9.2,2.2,LI,1.3,M,NA,TRUE,41.98914224,-72.12975438
NA,6,c,3877,NA,BELE,137.9,17.3,1.3,NA,NA,NA,NA,FALSE,41.98914885,-72.12924048
NA,6,c,3878,NA,BELE,130.6,10.8,3.4,NA,NA,NA,NA,FALSE,41.98910269,-72.12934112
NA,6,c,3879,NA,BELE,132.8,18.3,3,NA,NA,NA,NA,FALSE,41.98916568,-72.12929915
NA,4,b,3881,NA,KALA,81.3,11,1.5,LI,1.3,M,NA,FALSE,41.98918146,-72.12992814
NA,6,c,3882,NA,PIST,139.9,12.7,1.5,NA,NA,NA,NA,FALSE,41.98910499,-72.12922631
NA,6,b,3883,NA,BELE,127,17.2,1.4,NA,NA,NA,NA,FALSE,41.98916499,-72.12937057
NA,6,c,3884,NA,BELE,132.2,19.6,2,NA,NA,NA,NA,FALSE,41.98917813,-72.12930357
NA,4,c,3885,NA,BELE,95.5,11.1,2.4,NA,NA,M,NA,FALSE,41.98916016,-72.12975873
NA,203,c,3886,NA,KALA,79.3,52.1,2.3,LI,NA,M,NA,TRUE,41.98954858,-72.12986561
NA,6,c,3887,NA,BELE,132.6,17.6,1,NA,NA,NA,NA,FALSE,41.98915979,-72.129303
NA,4,b,3888,NA,KALA,85.1,12.1,1.9,LI,1.3,M,NA,FALSE,41.98918526,-72.12988055
NA,5,d,3889,NA,PIST,119.9,9.5,3,LI,1.3,M,NA,FALSE,41.98910789,-72.12947135
NA,5,c,3890,NA,BELE,114.2,13.6,1.4,LI,NA,M,NA,FALSE,41.9891531,-72.12953065
NA,5,c,3891,NA,BELE,119,19.7,2.9,LI,NA,M,NA,FALSE,41.98919963,-72.12946064
NA,6,c,3892,NA,PIST,138.8,11.3,3,NA,NA,NA,NA,FALSE,41.98909431,-72.12924236
NA,6,b,3893,NA,BELE,124.9,11.7,1.2,NA,NA,NA,NA,FALSE,41.98911956,-72.12940715
NA,4,c,3894,NA,PIST,96.3,17.1,3.4,LI,1.3,M,NA,FALSE,41.98921205,-72.12973659
NA,4,c,3895,NA,PIST,95.1,18.1,4.5,LI,1.3,M,NA,FALSE,41.98922278,-72.12974879
NA,6,c,3896,NA,BELE,134,16.6,2.1,NA,NA,NA,NA,FALSE,41.98914875,-72.12928842
NA,5,c,3897,NA,BELE,117.3,15.4,3.6,LI,NA,M,NA,FALSE,41.9891642,-72.12948993
NA,6,c,3898,NA,BELE,135.2,18.4,1.5,NA,NA,NA,NA,FALSE,41.98916281,-72.12927034
NA,6,c,3900,NA,BELE,139.7,17.7,1.3,NA,NA,NA,NA,FALSE,41.98914959,-72.12921819
NA,5,a,3901,NA,BELE,106.4,6.7,1.2,LI,1.3,M,NA,FALSE,41.98910417,-72.1296381
NA,6,c,3902,NA,BELE,132.2,10.1,2.9,NA,NA,NA,NA,FALSE,41.98909399,-72.12932353
NA,4,c,3904,NA,BELE,91,19.7,2,LI,1.3,M,NA,FALSE,41.98924336,-72.12979428
NA,4,c,3905,NA,PIST,99.3,12.1,1.6,LI,1.3,M,NA,FALSE,41.98916309,-72.12971135
NA,6,c,3907,NA,KALA,138.2,11.8,2.9,NA,NA,NA,NA,FALSE,41.98909967,-72.12924846
NA,6,a,3908,NA,PIST,124.7,8.3,2.6,LI,NA,NA,NA,FALSE,41.98908976,-72.12941668
NA,6,c,3909,NA,BELE,135,19.2,1.9,NA,NA,NA,NA,FALSE,41.98917021,-72.12927104
