sample_id,plate_id,species,material,core_type,target_gene,concentration_copies_per_uL,copies_per_20uL_well,accepted_droplets,positives,negatives,status,analysis_type,sample_mass_mg,extraction_plate
"ACRU_RM304
Soil_Mineral
Lab ID: 10e",1B2,ACRU,Soil,Mineral,pmoa,1178.42712402344,23568.54296875,16571,10485,6086,Manual,loose,250.4,Plate 1
"ACRU_RM304
Soil_Mineral
Lab ID: 10e",1B2,ACRU,Soil,Mineral,mcra_probe,0,0,18211,0,18211,Manual,loose,250.4,Plate 1
"ACSA_SM10
Soil_Mineral
Lab ID: 18e",1B3,ACSA,Soil,Mineral,mcra_probe,0.128956541,2.579130888,18247,2,18245,Manual,loose,265.3,Plate 1
"ACSA_SM10
Soil_Mineral
Lab ID: 18e",1B3,ACSA,Soil,Mineral,pmoa,934.296447753906,18685.9296875,15145,8300,6845,Manual,loose,265.3,Plate 1
"ACSA_SM10
Soil_Mineral
Lab ID: 18e",1B3,ACSA,Soil,Mineral,pmoa,30.2139739990234,604.279479980469,15145,384,14761,Manual,strict,265.3,Plate 1
"ACSA_SM10
Soil_Mineral
Lab ID: 18e",1B3,ACSA,Soil,Mineral,mmox,0.135226503014565,2.70453000068665,17401,2,17399,Manual,strict,265.3,Plate 1
"ACSA_SM10
Soil_Mineral
Lab ID: 18e",1B3,ACSA,Soil,Mineral,mmox,1.01457786560059,20.2915573120117,17401,15,17386,Manual,loose,265.3,Plate 1
"ACSA_SM5
Soil_Mineral
Lab ID: 26e",1B4,ACSA,Soil,Mineral,mmox,6.68388414382935,133.677688598633,16063,91,15972,Manual,strict,256.5,Plate 1
"ACSA_SM5
Soil_Mineral
Lab ID: 26e",1B4,ACSA,Soil,Mineral,pmoa,835.867126464844,16717.341796875,14892,7574,7318,Manual,loose,256.5,Plate 1
"ACSA_SM5
Soil_Mineral
Lab ID: 26e",1B4,ACSA,Soil,Mineral,mcra_probe,0,0,19128,0,19128,Manual,loose,256.5,Plate 1
"ACSA_SM5
Soil_Mineral
Lab ID: 26e",1B4,ACSA,Soil,Mineral,mmox,21.8069667816162,436.139343261719,16063,295,15768,Manual,loose,256.5,Plate 1
"ACSA_SM5
Soil_Mineral
Lab ID: 26e",1B4,ACSA,Soil,Mineral,pmoa,30.4907932281494,609.815856933594,14892,381,14511,Manual,strict,256.5,Plate 1
"BEAL_YB11
Soil_Mineral
Lab ID: 34e",1B5,BEAL,Soil,Mineral,mmox,0,0,15637,0,15637,Manual,strict,252.3,Plate 1
"BEAL_YB11
Soil_Mineral
Lab ID: 34e",1B5,BEAL,Soil,Mineral,mcra_probe,0,0,18208,0,18208,Manual,loose,252.3,Plate 1
"BEAL_YB11
Soil_Mineral
Lab ID: 34e",1B5,BEAL,Soil,Mineral,pmoa,0,0,16531,0,16531,Manual,strict,252.3,Plate 1
"BEAL_YB11
Soil_Mineral
Lab ID: 34e",1B5,BEAL,Soil,Mineral,pmoa,0.0711696967482567,1.42339396476746,16531,1,16530,Manual,loose,252.3,Plate 1
"BEAL_YB11
Soil_Mineral
Lab ID: 34e",1B5,BEAL,Soil,Mineral,mmox,1.50568985939026,30.1137962341309,15637,20,15617,Manual,loose,252.3,Plate 1
"BEAL_YB4
Soil_Mineral
Lab ID: 42e",1B6,BEAL,Soil,Mineral,mmox,2.86388564109802,57.2777137756348,18097,44,18053,Manual,loose,250,Plate 1
"BEAL_YB4
Soil_Mineral
Lab ID: 42e",1B6,BEAL,Soil,Mineral,mcra_probe,1.253819466,25.07638931,19715,21,19694,Manual,loose,250,Plate 1
"BEAL_YB4
Soil_Mineral
Lab ID: 42e",1B6,BEAL,Soil,Mineral,mmox,0.195043608546257,3.90087223052979,18097,3,18094,Manual,strict,250,Plate 1
"BEAL_YB4
Soil_Mineral
Lab ID: 42e",1B6,BEAL,Soil,Mineral,pmoa,36.0315628051758,720.631225585938,14024,423,13601,Manual,strict,250,Plate 1
"BEAL_YB4
Soil_Mineral
Lab ID: 42e",1B6,BEAL,Soil,Mineral,pmoa,273.076232910156,5461.5244140625,14024,2905,11119,Manual,loose,250,Plate 1
"BELE_BB11
Soil_Mineral
Lab ID: 50e",1B7,BELE,Soil,Mineral,mcra_probe,0.061693832,1.233876705,19070,1,19069,Manual,loose,251.5,Plate 1
"BELE_BB11
Soil_Mineral
Lab ID: 50e",1B7,BELE,Soil,Mineral,pmoa,67.5335998535156,1350.67199707031,16079,897,15182,Manual,strict,251.5,Plate 1
"BELE_BB11
Soil_Mineral
Lab ID: 50e",1B7,BELE,Soil,Mineral,mmox,3.4443941116333,68.8878784179688,16761,49,16712,Manual,loose,251.5,Plate 1
"BELE_BB11
Soil_Mineral
Lab ID: 50e",1B7,BELE,Soil,Mineral,pmoa,513.616455078125,10272.3291015625,16079,5688,10391,Manual,loose,251.5,Plate 1
"BELE_BB11
Soil_Mineral
Lab ID: 50e",1B7,BELE,Soil,Mineral,mmox,0.561661660671234,11.2332334518433,16761,8,16753,Manual,strict,251.5,Plate 1
"BELE_BB6
Soil_Mineral
Lab ID: 58e",1B8,BELE,Soil,Mineral,pmoa,207.848876953125,4156.9775390625,14437,2338,12099,Manual,loose,255.1,Plate 1
"BELE_BB6
Soil_Mineral
Lab ID: 58e",1B8,BELE,Soil,Mineral,pmoa,41.6361083984375,832.72216796875,14437,502,13935,Manual,strict,255.1,Plate 1
"BELE_BB6
Soil_Mineral
Lab ID: 58e",1B8,BELE,Soil,Mineral,mcra_probe,0.118214488,2.364289761,19905,2,19903,Manual,loose,255.1,Plate 1
"BELE_BB6
Soil_Mineral
Lab ID: 58e",1B8,BELE,Soil,Mineral,mmox,2.09485554695129,41.8971099853516,16863,30,16833,Manual,loose,255.1,Plate 1
"BELE_BB6
Soil_Mineral
Lab ID: 58e",1B8,BELE,Soil,Mineral,mmox,0.558263540267944,11.1652708053589,16863,8,16855,Manual,strict,255.1,Plate 1
"BEPA_PB1
Soil_Mineral
Lab ID: 66e",1B9,BEPA,Soil,Mineral,pmoa,161.363708496094,3227.27416992188,14715,1886,12829,Manual,loose,269.4,Plate 1
"BEPA_PB1
Soil_Mineral
Lab ID: 66e",1B9,BEPA,Soil,Mineral,mcra_probe,0,0,17241,0,17241,Manual,loose,269.4,Plate 1
"BEPA_PB1
Soil_Mineral
Lab ID: 66e",1B9,BEPA,Soil,Mineral,mmox,0.289165705442429,5.78331422805786,16276,4,16272,Manual,strict,269.4,Plate 1
"BEPA_PB1
Soil_Mineral
Lab ID: 66e",1B9,BEPA,Soil,Mineral,pmoa,46.3115196228027,926.230407714844,14715,568,14147,Manual,strict,269.4,Plate 1
"BEPA_PB1
Soil_Mineral
Lab ID: 66e",1B9,BEPA,Soil,Mineral,mmox,2.09806323051453,41.9612655639648,16276,29,16247,Manual,loose,269.4,Plate 1
"ACRU_RM14
Soil_Mineral
Lab ID: 3e",1C1,ACRU,Soil,Mineral,mmox,4.01537799835205,80.3075561523438,17316,59,17257,Manual,loose,251.5,Plate 1
"ACRU_RM14
Soil_Mineral
Lab ID: 3e",1C1,ACRU,Soil,Mineral,mmox,0.747591197490692,14.9518241882324,17316,11,17305,Manual,strict,251.5,Plate 1
"ACRU_RM14
Soil_Mineral
Lab ID: 3e",1C1,ACRU,Soil,Mineral,pmoa,71.3017044067383,1426.03405761719,17192,1011,16181,Manual,strict,251.5,Plate 1
"ACRU_RM14
Soil_Mineral
Lab ID: 3e",1C1,ACRU,Soil,Mineral,mcra_probe,0,0,17757,0,17757,Manual,loose,251.5,Plate 1
"ACRU_RM14
Soil_Mineral
Lab ID: 3e",1C1,ACRU,Soil,Mineral,pmoa,593.943969726563,11878.87890625,17192,6815,10377,Manual,loose,251.5,Plate 1
"FAGR_AB11
Soil_Mineral
Lab ID: 75e",1C10,FAGR,Soil,Mineral,mmox,0.0712429583072662,1.42485916614532,16514,1,16513,Manual,strict,250,Plate 1
"FAGR_AB11
Soil_Mineral
Lab ID: 75e",1C10,FAGR,Soil,Mineral,mmox,1.56834256649017,31.3668518066406,16514,22,16492,Manual,loose,250,Plate 1
"FAGR_AB11
Soil_Mineral
Lab ID: 75e",1C10,FAGR,Soil,Mineral,pmoa,186.797393798828,3735.94775390625,16824,2470,14354,Manual,loose,250,Plate 1
"FAGR_AB11
Soil_Mineral
Lab ID: 75e",1C10,FAGR,Soil,Mineral,mcra_probe,0.061947215,1.238944292,18992,1,18991,Manual,loose,250,Plate 1
"FAGR_AB11
Soil_Mineral
Lab ID: 75e",1C10,FAGR,Soil,Mineral,pmoa,52.9925003051758,1059.84997558594,16824,741,16083,Manual,strict,250,Plate 1
"FAGR_AB6
Soil_Mineral
Lab ID: 83e",1C11,FAGR,Soil,Mineral,pmoa,129.788696289063,2595.77392578125,17472,1825,15647,Manual,loose,251.8,Plate 1
"FAGR_AB6
Soil_Mineral
Lab ID: 83e",1C11,FAGR,Soil,Mineral,mmox,0.275101274251938,5.50202560424805,17108,4,17104,Manual,strict,251.8,Plate 1
"FAGR_AB6
Soil_Mineral
Lab ID: 83e",1C11,FAGR,Soil,Mineral,mmox,2.40931987762451,48.1863975524902,17108,35,17073,Manual,loose,251.8,Plate 1
"FAGR_AB6
Soil_Mineral
Lab ID: 83e",1C11,FAGR,Soil,Mineral,pmoa,33.1191215515137,662.382446289063,17472,485,16987,Manual,strict,251.8,Plate 1
"FAGR_AB6
Soil_Mineral
Lab ID: 83e",1C11,FAGR,Soil,Mineral,mcra_probe,0.302531809,6.050636292,15557,4,15553,Manual,loose,251.8,Plate 1
"ACRU_RM4
Soil_Mineral
Lab ID: 11e",1C2,ACRU,Soil,Mineral,mcra_probe,0,0,17635,0,17635,Manual,loose,253.5,Plate 1
"ACRU_RM4
Soil_Mineral
Lab ID: 11e",1C2,ACRU,Soil,Mineral,pmoa,17.9262142181396,358.524291992188,17326,262,17064,Manual,loose,253.5,Plate 1
"ACRU_RM4
Soil_Mineral
Lab ID: 11e",1C2,ACRU,Soil,Mineral,mmox,2.44519233703613,48.9038467407227,15894,33,15861,Manual,loose,253.5,Plate 1
"ACRU_RM4
Soil_Mineral
Lab ID: 11e",1C2,ACRU,Soil,Mineral,mmox,0.074022114276886,1.48044228553772,15894,1,15893,Manual,strict,253.5,Plate 1
"ACRU_RM4
Soil_Mineral
Lab ID: 11e",1C2,ACRU,Soil,Mineral,pmoa,3.33191323280334,66.6382675170898,17326,49,17277,Manual,strict,253.5,Plate 1
"ACSA_SM11
Soil_Mineral
Lab ID: 19e",1C3,ACSA,Soil,Mineral,mcra_probe,0.061050337,1.221006751,19271,1,19270,Manual,loose,289.2,Plate 1
"ACSA_SM11
Soil_Mineral
Lab ID: 19e",1C3,ACSA,Soil,Mineral,pmoa,33.908332824707,678.166625976563,14220,404,13816,Manual,strict,289.2,Plate 1
"ACSA_SM11
Soil_Mineral
Lab ID: 19e",1C3,ACSA,Soil,Mineral,mmox,4.39216184616089,87.8432388305664,15028,56,14972,Manual,strict,289.2,Plate 1
"ACSA_SM11
Soil_Mineral
Lab ID: 19e",1C3,ACSA,Soil,Mineral,mmox,18.7014598846436,374.029205322266,15028,237,14791,Manual,loose,289.2,Plate 1
"ACSA_SM11
Soil_Mineral
Lab ID: 19e",1C3,ACSA,Soil,Mineral,pmoa,764.466735839844,15289.3349609375,14220,6795,7425,Manual,loose,289.2,Plate 1
"ACSA_SM6
Soil_Mineral
Lab ID: 27e",1C4,ACSA,Soil,Mineral,mmox,14.7892656326294,295.785308837891,17611,220,17391,Manual,loose,260.2,Plate 1
"ACSA_SM6
Soil_Mineral
Lab ID: 27e",1C4,ACSA,Soil,Mineral,pmoa,571.235595703125,11424.7119140625,14715,5660,9055,Manual,loose,260.2,Plate 1
"ACSA_SM6
Soil_Mineral
Lab ID: 27e",1C4,ACSA,Soil,Mineral,mcra_probe,0.057978492,1.15956986,20292,1,20291,Manual,loose,260.2,Plate 1
"ACSA_SM6
Soil_Mineral
Lab ID: 27e",1C4,ACSA,Soil,Mineral,mmox,3.9480037689209,78.960075378418,17611,59,17552,Manual,strict,260.2,Plate 1
"ACSA_SM6
Soil_Mineral
Lab ID: 27e",1C4,ACSA,Soil,Mineral,pmoa,54.2384071350098,1084.76818847656,14715,663,14052,Manual,strict,260.2,Plate 1
"BEAL_YB5
Soil_Mineral
Lab ID: 43e",1C6,BEAL,Soil,Mineral,pmoa,7.72590684890747,154.518142700195,14361,94,14267,Manual,strict,259,Plate 1
"BEAL_YB5
Soil_Mineral
Lab ID: 43e",1C6,BEAL,Soil,Mineral,pmoa,250.378448486328,5007.56884765625,14361,2753,11608,Manual,loose,259,Plate 1
"BEAL_YB5
Soil_Mineral
Lab ID: 43e",1C6,BEAL,Soil,Mineral,mmox,0.642743527889252,12.8548707962036,16478,9,16469,Manual,strict,259,Plate 1
"BEAL_YB5
Soil_Mineral
Lab ID: 43e",1C6,BEAL,Soil,Mineral,mmox,3.86173892021179,77.2347793579102,16478,54,16424,Manual,loose,259,Plate 1
"BEAL_YB5
Soil_Mineral
Lab ID: 43e",1C6,BEAL,Soil,Mineral,mcra_probe,29.61538124,592.3076172,19309,480,18829,Manual,loose,259,Plate 1
"BELE_BB12
Soil_Mineral
Lab ID: 51e",1C7,BELE,Soil,Mineral,pmoa,64.6417388916016,1292.83471679688,16011,856,15155,Manual,strict,254,Plate 1
"BELE_BB12
Soil_Mineral
Lab ID: 51e",1C7,BELE,Soil,Mineral,mmox,2.64755630493164,52.9511260986328,16015,36,15979,Manual,loose,254,Plate 1
"BELE_BB12
Soil_Mineral
Lab ID: 51e",1C7,BELE,Soil,Mineral,mcra_probe,0.067274943,1.3454988,17488,1,17487,Manual,loose,254,Plate 1
"BELE_BB12
Soil_Mineral
Lab ID: 51e",1C7,BELE,Soil,Mineral,pmoa,462.993743896484,9259.875,16011,5209,10802,Manual,loose,254,Plate 1
"BELE_BB12
Soil_Mineral
Lab ID: 51e",1C7,BELE,Soil,Mineral,mmox,0.440845847129822,8.81691741943359,16015,6,16009,Manual,strict,254,Plate 1
"BELE_BB7
Soil_Mineral
Lab ID: 59e",1C8,BELE,Soil,Mineral,mcra_probe,0.059939913,1.198798299,19628,1,19627,Manual,loose,250.9,Plate 1
"BELE_BB7
Soil_Mineral
Lab ID: 59e",1C8,BELE,Soil,Mineral,mmox,0.339206695556641,6.78413391113281,17344,5,17339,Manual,strict,250.9,Plate 1
