Sample ID,Well,16S_per_ul,core_type,seq_id_raw,seq_id,Material
SH1Mineral,H09,225862,Mineral,SH1,SH1,Soil
AB4slash6Mineral,H10,74737,Mineral,AB4slash6,AB4/6,Soil
WA10Mineral,H11,235200,Mineral,WA10,WA10,Soil
None,H12,NA,None,NA,NA,Soil
None,A01,NA,None,NA,NA,Soil
WP103Mineral,A02,182749,Mineral,WP103,WP103,Soil
WP6Mineral,A03,42264,Mineral,WP6,WP6,Soil
None,A04,NA,None,NA,NA,Soil
RO101Mineral,A05,31379,Mineral,RO101,RO101,Soil
RO3Mineral,A06,26970,Mineral,RO3,RO3,Soil
H103Mineral,A07,10539,Mineral,H103,H103,Soil
H9Mineral,A08,45024,Mineral,H9,H9,Soil
RM14Organic,A09,104602,Organic,RM14,RM14,Soil
RM4Organic,A10,33810,Organic,RM4,RM4,Soil
SM11Organic,A11,1073172,Organic,SM11,SM11,Soil
SM6Organic,A12,209768,Organic,SM6,SM6,Soil
WA15Mineral,B01,190847,Mineral,WA15,WA15,Soil
WP2Mineral,B02,7959,Mineral,WP2,WP2,Soil
WP7Mineral,B03,39673,Mineral,WP7,WP7,Soil
BC1Mineral,B04,7654,Mineral,BC1,BC1,Soil
RO102Mineral,B05,119812,Mineral,RO102,RO102,Soil
None,B06,NA,None,NA,NA,Soil
H104Mineral,B07,20822,Mineral,H104,H104,Soil
HX2Mineral,B08,156852,Mineral,HX2,HX2,Soil
RM2Organic,B09,30305,Organic,RM2,RM2,Soil
RM5Organic,B10,27105,Organic,RM5,RM5,Soil
SM12Organic,B11,964645,Organic,SM12,SM12,Soil
SM7Organic,B12,212318,Organic,SM7,SM7,Soil
WA5Mineral,C01,206661,Mineral,WA5,WA5,Soil
None,C02,NA,None,NA,NA,Soil
WP8Mineral,C03,91519,Mineral,WP8,WP8,Soil
BC2Mineral,C04,13886,Mineral,BC2,BC2,Soil
RO103Mineral,C05,94627,Mineral,RO103,RO103,Soil
None,C06,NA,None,NA,NA,Soil
H2Mineral,C07,2029,Mineral,H2,H2,Soil
HX3Mineral,C08,85787,Mineral,HX3,HX3,Soil
RM3Organic,C09,35183,Organic,RM3,RM3,Soil
RM501Organic,C10,34027,Organic,RM501,RM501,Soil
SM13Organic,C11,616451,Organic,SM13,SM13,Soil
SM8Organic,C12,323537,Organic,SM8,SM8,Soil
None,D01,NA,None,NA,NA,Soil
None,D02,NA,None,NA,NA,Soil
WP9Mineral,D03,52945,Mineral,WP9,WP9,Soil
BC4Mineral,D04,47625,Mineral,BC4,BC4,Soil
RO104Mineral,D05,87015,Mineral,RO104,RO104,Soil
RO9Mineral,D06,53209,Mineral,RO9,RO9,Soil
None,D07,NA,None,NA,NA,Soil
HX4Mineral,D08,135199,Mineral,HX4,HX4,Soil
None,D09,NA,None,NA,NA,Soil
RM502Organic,D10,60902,Organic,RM502,RM502,Soil
SM14Organic,D11,1059530,Organic,SM14,SM14,Soil
SM9Organic,D12,273450,Organic,SM9,SM9,Soil
ML2Mineral,E01,40615,Mineral,ML2,ML2,Soil
WP401Mineral,E02,150731,Mineral,WP401,WP401,Soil
None,E03,NA,None,NA,NA,Soil
WO1Mineral,E04,29019,Mineral,WO1,WO1,Soil
RO105Mineral,E05,70757,Mineral,RO105,RO105,Soil
BO1Mineral,E06,78941,Mineral,BO1,BO1,Soil
H301Mineral,E07,13,Mineral,H301,H301,Soil
None,E08,NA,None,NA,NA,Soil
None,E09,NA,None,NA,NA,Soil
RM503Organic,E10,85726,Organic,RM503,RM503,Soil
None,E11,NA,None,NA,NA,Soil
SM4Organic,E12,148393,Organic,SM4,SM4,Soil
MLGPMineral,F01,143212,Mineral,MLGP,MLGP,Soil
WP402Mineral,F02,52086,Mineral,WP402,WP402,Soil
WPX2Mineral,F03,232706,Mineral,WPX2,WPX2,Soil
None,F04,NA,None,NA,NA,Soil
None,F05,NA,None,NA,NA,Soil
SA1Mineral,F06,252705,Mineral,SA1,SA1,Soil
None,F07,NA,None,NA,NA,Soil
HZ1Mineral,F08,153761,Mineral,HZ1,HZ1,Soil
RM302Organic,F09,116619,Organic,RM302,RM302,Soil
RMS1Organic,F10,65296,Organic,RMS1,RMS1,Soil
SM2Organic,F11,259993,Organic,SM2,SM2,Soil
CUL8ROrganic,F12,293518,Organic,CUL8R,CUL8R,Soil
WP101Mineral,G01,36378,Mineral,WP101,WP101,Soil
WP403Mineral,G02,55370,Mineral,WP403,WP403,Soil
None,G03,NA,None,NA,NA,Soil
RO1Mineral,G04,58360,Mineral,RO1,RO1,Soil
RO13Mineral,G05,89057,Mineral,RO13,RO13,Soil
H101Mineral,G06,32169,Mineral,H101,H101,Soil
H5Mineral,G07,26233,Mineral,H5,H5,Soil
RM1Organic,G08,103714,Organic,RM1,RM1,Soil
RM303Organic,G09,114402,Organic,RM303,RM303,Soil
SM1Organic,G10,1446490,Organic,SM1,SM1,Soil
SM3Organic,G11,521625,Organic,SM3,SM3,Soil
YB10Organic,G12,39030,Organic,YB10,YB10,Soil
None,H01,NA,None,NA,NA,Soil
WP5Mineral,H02,33955,Mineral,WP5,WP5,Soil
WPX5Mineral,H03,258152,Mineral,WPX5,WPX5,Soil
RO10Mineral,H04,45120,Mineral,RO10,RO10,Soil
RO2Mineral,H05,33882,Mineral,RO2,RO2,Soil
H102Mineral,H06,21,Mineral,H102,H102,Soil
None,H07,NA,None,NA,NA,Soil
None,H08,NA,None,NA,NA,Soil
RM304Organic,H09,160460,Organic,RM304,RM304,Soil
SM10Organic,H10,233534,Organic,SM10,SM10,Soil
SM5Organic,H11,660920,Organic,SM5,SM5,Soil
YB11Organic,H12,65996,Organic,YB11,YB11,Soil
RM1Outer,A01,1676,Outer,RM1,RM1,Wood
RM303Outer,A02,1313,Outer,RM303,RM303,Wood
SM1Outer,A03,391,Outer,SM1,SM1,Wood
SM3Outer,A04,654,Outer,SM3,SM3,Wood
YB10Outer,A05,134,Outer,YB10,YB10,Wood
None,A06,NA,None,NA,NA,Wood
None,A07,NA,None,NA,NA,Wood
BB5Outer,A08,130,Outer,BB5,BB5,Wood
