"SampleName","species","core_type","material","d13CH4","ch4_ppm","d13CO2","co2_ppm","tissue","alpha_C","eps_C"
"BB12","BELE","Outer","Wood",-91.8557056905174,2.65376048909583,-18.4880855374444,1114.6250055941,"Sapwood",1.08078850532102,80.7885053210171
"BB12","BELE","Mineral","Soil",-91.8557056905174,2.65376048909583,-18.4880855374444,1114.6250055941,"Other",1.08078850532102,80.7885053210171
"BB12","BELE","Organic","Soil",-91.8557056905174,2.65376048909583,-18.4880855374444,1114.6250055941,"Other",1.08078850532102,80.7885053210171
"BB12","BELE","Inner","Wood",-91.8557056905174,2.65376048909583,-18.4880855374444,1114.6250055941,"Heartwood",1.08078850532102,80.7885053210171
"BB13","BELE","Inner","Wood",-217.357684123687,763.979266928833,-62.4716551618833,4404.07980991131,"Heartwood",1.19790142421366,197.901424213665
"BB13","BELE","Outer","Wood",-217.357684123687,763.979266928833,-62.4716551618833,4404.07980991131,"Sapwood",1.19790142421366,197.901424213665
"BB13","BELE","Organic","Soil",-217.357684123687,763.979266928833,-62.4716551618833,4404.07980991131,"Other",1.19790142421366,197.901424213665
"BB13","BELE","Mineral","Soil",-217.357684123687,763.979266928833,-62.4716551618833,4404.07980991131,"Other",1.19790142421366,197.901424213665
"BB14","BELE","Inner","Wood",-201.770445009236,31.2525673936982,-22.8064097781454,1847.10673854691,"Heartwood",1.22420121393922,224.201213939218
"BB14","BELE","Outer","Wood",-201.770445009236,31.2525673936982,-22.8064097781454,1847.10673854691,"Sapwood",1.22420121393922,224.201213939218
"BB14","BELE","Organic","Soil",-201.770445009236,31.2525673936982,-22.8064097781454,1847.10673854691,"Other",1.22420121393922,224.201213939218
"BB14","BELE","Mineral","Soil",-201.770445009236,31.2525673936982,-22.8064097781454,1847.10673854691,"Other",1.22420121393922,224.201213939218
"BB16","BELE","Organic","Soil",-64.1572551810554,3.84623066505675,-17.2098408113841,714.833719991524,"Other",1.0501659222445,50.165922244505
"BB16","BELE","Mineral","Soil",-64.1572551810554,3.84623066505675,-17.2098408113841,714.833719991524,"Other",1.0501659222445,50.165922244505
"BB16","BELE","Inner","Wood",-64.1572551810554,3.84623066505675,-17.2098408113841,714.833719991524,"Heartwood",1.0501659222445,50.165922244505
"BB16","BELE","Outer","Wood",-64.1572551810554,3.84623066505675,-17.2098408113841,714.833719991524,"Sapwood",1.0501659222445,50.165922244505
"BB16'","BELE","Organic","Soil",-54.9019643885764,1.60608415943264,-15.0421109305625,480.342423935416,"Other",1.04217536377824,42.175363778242
"BB16'","BELE","Outer","Wood",-54.9019643885764,1.60608415943264,-15.0421109305625,480.342423935416,"Sapwood",1.04217536377824,42.175363778242
"BB16'","BELE","Inner","Wood",-54.9019643885764,1.60608415943264,-15.0421109305625,480.342423935416,"Heartwood",1.04217536377824,42.175363778242
"BB16'","BELE","Mineral","Soil",-54.9019643885764,1.60608415943264,-15.0421109305625,480.342423935416,"Other",1.04217536377824,42.175363778242
"BB3","BELE","Organic","Soil",28.8487198693958,1.65877786761111,-22.5201681602222,1036.01055922431,"Other",0.950071485693116,-49.9285143068836
"BB3","BELE","Mineral","Soil",28.8487198693958,1.65877786761111,-22.5201681602222,1036.01055922431,"Other",0.950071485693116,-49.9285143068836
"BB3","BELE","Inner","Wood",28.8487198693958,1.65877786761111,-22.5201681602222,1036.01055922431,"Heartwood",0.950071485693116,-49.9285143068836
"BB3","BELE","Outer","Wood",28.8487198693958,1.65877786761111,-22.5201681602222,1036.01055922431,"Sapwood",0.950071485693116,-49.9285143068836
"BB6","BELE","Inner","Wood",41.5453267065801,1.55242816943125,-20.2074311297986,711.803799822847,"Heartwood",0.940710446052651,-59.2895539473488
"BB6","BELE","Outer","Wood",41.5453267065801,1.55242816943125,-20.2074311297986,711.803799822847,"Sapwood",0.940710446052651,-59.2895539473488
"BB6","BELE","Organic","Soil",41.5453267065801,1.55242816943125,-20.2074311297986,711.803799822847,"Other",0.940710446052651,-59.2895539473488
"BB6","BELE","Mineral","Soil",41.5453267065801,1.55242816943125,-20.2074311297986,711.803799822847,"Other",0.940710446052651,-59.2895539473488
"BB7","BELE","Organic","Soil",-28.271412070618,1.59019487035764,-14.8636625853438,582.610465425556,"Other",1.01379783372829,13.7978337282887
"BB7","BELE","Outer","Wood",-28.271412070618,1.59019487035764,-14.8636625853438,582.610465425556,"Sapwood",1.01379783372829,13.7978337282887
"BB7","BELE","Mineral","Soil",-28.271412070618,1.59019487035764,-14.8636625853438,582.610465425556,"Other",1.01379783372829,13.7978337282887
"BB7","BELE","Inner","Wood",-28.271412070618,1.59019487035764,-14.8636625853438,582.610465425556,"Heartwood",1.01379783372829,13.7978337282887
"BB8","BELE","Outer","Wood",-60.7185719078796,29.5527540313139,-17.7439826118905,933.298905695439,"Sapwood",1.04575262324017,45.7526232401717
