"SampleName","d13CH4","ch4_ppm","d13CO2","co2_ppm","alpha_C","eps_C","invCH4"
"SM7",-75.4487166332271,26.8898481851209,-25.276440723696,9939.14795310183,1.05426662296853,54.2666229685256,0.0371887558871878
"SM8",-60.6100688435556,2.65251737997083,-21.8934419706319,1137.48501401667,1.041214649624,41.2146496239971,0.377000357302464
"SM9",-46.7722842615882,2.0121073257647,-21.3246972588512,1399.11798566367,1.02669623069344,26.6962306934437,0.496991381719635
"CUL8R",-42.1256775789062,1.67769577167187,-20.1248977533403,941.412614548819,1.02296833656628,22.9683365662809,0.596055623960637
"YB10",-58.005877011073,138.819798664087,-21.4592107850438,5358.76256996094,1.03879712764032,38.7971276403163,0.00720358341982453
"YB11",-69.0710885508655,267.480334274837,-8.07337811068219,306.745204287164,1.06552348916227,65.5234891622725,0.00373859260611099
"YB11'",-46.9774571909305,3.28689760481667,-22.0408752243195,1939.69176978195,1.02616578396258,26.1657839625802,0.304238257539446
"YB12",-97.7493035211522,4.0162653466263,-19.7871641986471,1422.14070499723,1.08640851110092,86.4085111009199,0.248987532868068
"YB13",-59.5286790239444,2.74036214721389,-21.5340492383056,1715.10368007778,1.04039956236646,40.3995623664597,0.364915272609751
"YB14",-45.7284418753876,2.05900450033667,-22.2010668227716,3598.74160278547,1.0246548006721,24.6548006720992,0.485671595101656
"YB15",-65.8257794868836,90.7039393488835,-18.1140375292255,1256.28789891563,1.05107370864018,51.0737086401842,0.0110248794834985
"YB3",-112.717958345264,4.288753589525,-22.2568119197153,3281.54595342986,1.10195309065068,101.953090650683,0.233167977391481
"YB4",-61.736908654489,205.752872985109,-0.42524091072243,194.369626575547,1.06534592302447,65.3459230244715,0.00486019944942577
"YB5",-74.2576954781059,592.237326605255,-16.9926994856131,1181.70444695474,1.06185846289272,61.8584628927243,0.00168851228228398
"YB9",-58.9988700565,3.83614752466667,-22.3641782606909,1647.49703498819,1.03893161297055,38.9316129705484,0.260678191745739
"YBYB",-71.7222609525238,66.7252600793018,-20.5587384760582,3187.57605347709,1.05511661038965,55.1166103896508,0.0149868280589917
"BB1",220.830491919123,1.52101727571544,-24.790047301193,15849.5152145193,0.798808646371369,-201.191353628631,0.657454728467585
"BB12",-91.8557056905174,2.65376048909583,-18.4880855374444,1114.6250055941,1.08078850532102,80.7885053210171,0.376823757874514
"BB13",-217.357684123687,763.979266928833,-62.4716551618833,4404.07980991131,1.19790142421366,197.901424213665,0.00130893604484839
"BB14",-201.770445009236,31.2525673936982,-22.8064097781454,1847.10673854691,1.22420121393922,224.201213939218,0.0319973712048259
"BB16",-64.1572551810554,3.84623066505675,-17.2098408113841,714.833719991524,1.0501659222445,50.165922244505,0.25999480714588
"BB16'",-54.9019643885764,1.60608415943264,-15.0421109305625,480.342423935416,1.04217536377824,42.175363778242,0.622632378338914
"BB3",28.8487198693958,1.65877786761111,-22.5201681602222,1036.01055922431,0.950071485693116,-49.9285143068836,0.602853473949558
"BB6",41.5453267065801,1.55242816943125,-20.2074311297986,711.803799822847,0.940710446052651,-59.2895539473488,0.644152186678216
"BB7",-28.271412070618,1.59019487035764,-14.8636625853438,582.610465425556,1.01379783372829,13.7978337282887,0.628853745311792
"BB8",-60.7185719078796,29.5527540313139,-17.7439826118905,933.298905695439,1.04575262324017,45.7526232401717,0.0338377938969887
"BB9",-64.0568915191667,4.74918757216667,-20.764279964993,1311.38511217847,1.04625560160857,46.2556016085673,0.210562329831033
"BBGT1",-82.482253906757,8.01673646778472,-23.0492169449167,2481.48827591389,1.0647758991201,64.7758991201031,0.124739038637294
"BBX6",-36.2884896239972,1.62173059606667,-25.6516501281979,2769.34049311181,1.01103736894421,11.0373689442074,0.616625228891526
"PB1",-44.7952992499166,6.77098177206111,-21.0271024589167,7287.4254117382,1.0248828306355,24.8828306355022,0.147689069866687
"PB2",23.3373064897915,2.64034208095689,-23.0493515188799,20021.2382913816,0.954671194224527,-45.3288057754729,0.378738803283243
"PB3",-40.933165478,43.7069959732277,-44.2019066208536,43194.7573151707,0.996591748327443,-3.40825167255709,0.0228796323730997
"PB4",171.717194647778,2.39525888481667,-22.7977467320174,1540.32917381111,0.833991561898802,-166.008438101198,0.417491406185323
"PB5",-23.5002621514306,12.5391498481667,-17.6849510329549,1536.70676751597,1.00595526132069,5.95526132069213,0.0797502232694195
"PB501",-99.685698553375,7.02651059259757,-17.9534567539583,5840.26773338646,1.090781898797,90.781898796997,0.142318151637528
"SH1_Redo",-62.3311010822401,131.666697904255,-9.35187767473891,260.414188814654,1.05650099248109,56.5009924810866,0.00759493490698141
"AB1",-71.7947263148468,239.893385579015,-4.39314244434116,237.11571510938,1.0726149546672,72.6149546672024,0.00416851843408007
"AB11",-74.2047319400417,3.47993585709583,-20.8766025259792,2181.26948258333,1.05760250808563,57.6025080856308,0.287361618450791
"AB2",-70.6352027381127,64.0592692237927,-8.24546310812799,194.185780869636,1.06713159333536,67.1315933353604,0.0156105433626861
"AB3",-67.8285388534066,212.019644093846,-21.8605657961685,8908.01164182564,1.04931278737143,49.312787371431,0.00471654409323209
"AB4",-85.2476044950986,327.24591924646,-21.609703136438,3306.00389538066,1.06956844461012,69.5684446101237,0.00305580586704541
"AB4/6",-47.8488497013473,1.96381930225556,-20.9937901859791,978.592485007777,1.02820461804509,28.2046180450917,0.509211819463962
"AB5",-67.0135401791319,5.72831171443959,-5.45896839115833,700.301916517811,1.06597584685183,65.975846851831,0.174571505506458
"AB501",-69.2477977478395,1049.49320346058,-20.6076084200183,5496.98706325037,1.0522590107336,52.2590107336041,0.000952840853759333
"AB6",-67.0397921751237,134.463289751891,-17.5863617280327,497.494085733237,1.05300700933686,53.0070093368589,0.00743697407556502
